 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
0 -4.000983547685784e-06 -4.191813340929408e-05 -8.497947095282212e-05 0.00012829381367464697 0.0003253018490039009 -0.00014379582020465515 -5.068923047070875e-05 7.688380853079017e-05 -5.769750081426317e-05 6.158105727323756e-05 0.0002977455300213641 -6.73971539752957e-05 1.4052978398855156e-05 -0.00017894727680741102 9999.0 9999.0 9999.0 9999.0 9999.0
1 -5.432254468419012e-06 -1.769893396446987e-06 -6.388705601658932e-05 0.00023074234656172117 3.357314632142984e-05 -6.83562073581306e-05 0.0002528165486596444 -6.812852731439688e-05 2.3815177584604355e-05 2.2988502262380044e-05 0.00021401801294637394 8.330357962803567e-05 -0.00015501505594274628 -0.00010903843311944502 9999.0 9999.0 9999.0 9999.0 9999.0
2 3.41000107233495e-06 2.08437500719315e-06 -0.00011691185085845163 0.00021274697903680254 0.0001705303599186827 0.00027580242379444 -0.00028678201741766797 9.720989273969892e-05 -8.33673690172152e-05 -1.659326958659793e-05 0.00018918644325930493 -9.412471122018299e-05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
3 3.935778511841869e-06 -1.1326134214072296e-05 5.323897079733134e-05 0.0002097042449881157 0.0002130506309361168 -0.00017428896067161017 0.0 0.00020930588848056033 -0.00017236553783567406 -2.3691405600542157e-05 0.0003168184566654433 9999.0 9999.0 -0.00021843019796516266 9999.0 9999.0 9999.0 9999.0 9999.0
4 1.5673570874395676e-05 -8.847804234575966e-05 1.3285818059849642e-05 0.0002023404173077224 8.68628093563955e-05 2.9506740582454413e-05 -7.529967425456024e-05 -2.2404277991092837e-05 -4.1387182584893834e-05 -8.153944072888097e-05 -7.308541006231984e-05 9999.0 9999.0 6.753089836998389e-05 9999.0 9999.0 9999.0 9999.0 9999.0
5 1.285241588845774e-05 -1.043201764017862e-05 0.0 0.00014957727633894974 0.00021234592542314877 -0.00012990231106548952 2.6858259763898647e-05 -0.0002542207796754615 0.0001191655025888229 0.0002088114876016457 -8.902212600435764e-05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
6 2.649081690662797e-06 -9.148129203338466e-07 6.311457505078217e-05 0.00015645544390674953 0.00020756909981166377 0.00013211940766300908 -0.00016701936110019187 -1.9222449778742794e-05 -2.0561868785538284e-05 0.0001142339169020201 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
7 1.4684697607248102e-05 3.811882098585778e-05 -2.1617388762851704e-05 0.00015622165991010725 0.0001444860224767841 -5.665711726916304e-05 5.4026139059689586e-05 -0.00014837472458137821 3.5871211645473475e-05 0.00026018024194388284 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
8 -4.574180268855061e-06 -3.667606325431725e-05 -5.0214795049431784e-05 9.583887142451694e-05 5.964267171002771e-05 0.00018385942086392306 -0.00018365497216172466 0.00011071400257205156 -0.00014063681715316116 -5.2890613100496096e-05 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
9 3.1141467687314e-06 1.9590448023036653e-05 2.8338378442325632e-05 -3.3672971110207e-05 0.00029178998537765527 -0.00021259563425436883 -4.8137996126223415e-05 0.0 3.480107848214744e-05 -0.00010887903490102406 -0.0001532114888189887 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
