 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
0 -4.312414082434431e-08 -7.019101864058123e-08 5.375340164566105e-07 -3.0678491869516675e-08 -5.450806065696707e-07 3.0832414365645264e-07 -3.8738081558013446e-07 1.0085287936788337e-06 -7.569744452848362e-07 2.979601725601399e-07 -9.983819767351133e-07 9999.0 9999.0 9999.0 9999.0
1 -8.758175427618106e-09 -2.7614557605093263e-08 4.5436140933733376e-07 3.237001883863527e-07 -1.024362371865818e-06 2.814097808606133e-07 1.578064470625013e-07 4.90674828267047e-07 -7.906963859131254e-07 -3.342585496989558e-07 3.16072617162704e-07 9999.0 9999.0 9999.0 9999.0
2 -1.6757569476603058e-08 -2.513528981154274e-07 8.541794001977596e-07 4.901916318976541e-07 -2.0978348929935718e-06 1.4059248463856432e-06 -8.001241471461817e-07 -4.520998668333652e-07 2.5009215410662263e-06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
3 4.214136032307554e-08 1.270195691115695e-07 4.933467360073005e-07 -2.9040484389620077e-07 -3.857176026109668e-07 2.76332736857034e-07 -7.73486604395947e-07 3.9290936122577146e-08 1.3598079912329406e-06 -1.6057546684583586e-06 7.037557391620186e-07 9999.0 9999.0 9999.0 9999.0
4 6.244487470100806e-08 -3.1774627670593e-08 4.477491952043936e-07 -4.827236113173862e-09 -7.945161323029754e-07 6.403469660466164e-08 -6.306766841238689e-08 1.3286693244462254e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
5 -8.948091511303274e-08 2.0083101652716587e-07 3.5089418419693603e-07 -1.946840096768572e-07 -8.136243296091337e-07 -3.099694279274127e-08 1.1584624178254308e-06 -2.6340948167070025e-07 -5.069629840555477e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
6 6.8367038811755755e-09 2.747049622786847e-07 2.0092924953792248e-07 3.109740715584775e-08 -8.428729581865753e-07 1.0618263574798122e-08 4.6431459255495326e-07 -8.89518323872182e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
7 8.577707475330802e-08 -7.395979169097527e-08 4.5858464312975806e-07 -4.2488946331329123e-07 -1.643105744084212e-06 2.1411721712182434e-06 -4.0250410861514517e-07 -5.420691565945167e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
8 -9.403308704303673e-08 1.2169391169478142e-07 1.9952994556809287e-07 9.455279102369941e-08 -7.017949851520246e-07 5.148874281818997e-07 -8.989015473498661e-07 8.347679380834723e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
9 5.482502770276869e-08 -8.159068395121865e-09 3.280908126088181e-08 3.331592636503274e-07 -1.1079022915337343e-06 7.89125701273086e-07 -1.7162721297324515e-07 -1.7446520534085466e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
10 2.3650016885690772e-07 -4.11473830337821e-07 2.8049101520729265e-07 3.8367317921421605e-07 -2.3926879962609456e-08 -7.135307763996733e-07 2.0470872441987004e-07 -4.9605627163881577e-08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
11 -8.343341996670474e-09 5.818575656303121e-09 -5.7663436471986457e-08 1.2257313363236281e-06 -3.3161099165814685e-06 3.0211920957014028e-06 -1.0146480565294285e-06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
12 4.7302264955695e-08 9.068704645042821e-08 -1.2008472344929585e-07 2.0050784391278883e-07 1.496902994720752e-07 -8.977293093355579e-07 5.751480540393245e-07 3.8786273077909507e-07 5.435435055428523e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
13 1.2104174207661526e-07 -1.263676365395363e-08 6.765278896597063e-08 4.7904263813541626e-08 -7.268496873980377e-07 -4.677636986988556e-07 1.6150841364517827e-06 -9.081233312281596e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
14 -8.360138453935629e-08 1.8163137542398878e-07 -3.694919448964961e-08 1.3291956951908402e-07 -1.5713282837606708e-07 7.571107955431409e-08 -3.8044751696164745e-07 -1.9730378631904454e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
15 -1.0528872419533003e-07 1.4831367899318516e-07 -4.1549537630861457e-08 2.6381254073166757e-07 -2.2037533520251958e-07 -5.270546247662018e-07 1.0491158713656325e-06 -1.564206033856835e-06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
16 -6.650082969706314e-08 2.0326500517472755e-07 -2.069768465396666e-07 5.225925119530709e-08 3.842258978777003e-07 -6.224658745998597e-07 -2.2338782486608869e-07 8.339561792994387e-07 -1.5495010464173053e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
17 -1.818024076182021e-07 8.250716755856894e-08 8.557358809531905e-08 -6.586842594272636e-08 3.6302292562322307e-07 -6.706460085369138e-07 1.7645517584735543e-07 -3.746648678531754e-07 1.5415398184648258e-06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
18 -1.5365652806524138e-07 2.231099791143596e-07 1.2653906595499258e-08 1.9276349622681628e-07 -5.81324072858244e-07 -7.634436393894512e-08 -5.568118892812927e-07 8.306480152058061e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
19 -2.9173133346825977e-07 1.2154952840933221e-08 7.338256969820898e-08 2.1313325325390561e-07 3.364554228114404e-08 -6.363446450107533e-07 3.091074232669492e-07 -4.243303525333706e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
20 -4.1198635622361346e-08 1.3713402317511897e-07 2.62591449072763e-07 1.5399957433967302e-07 -8.364041944585995e-07 4.4134850911026427e-07 -7.054997847796899e-09 -1.5882223421005612e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
21 7.580749449116921e-08 1.8665684562786433e-07 -4.209215031543469e-08 2.769662057827687e-07 -4.465180398217421e-07 -2.0174118121305587e-07 -3.9751598241653503e-07 1.0857520969287584e-06 -1.8188517945413005e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
22 -1.4193069939290023e-07 3.8315998609077525e-07 -2.4190255517950737e-07 8.507780886556112e-07 -1.3653931307579869e-06 1.924346499716543e-07 3.9536159018436594e-07 -1.6842192629682477e-07 1.8576728297035792e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
23 -1.6158486775105847e-07 4.931456283673284e-08 2.2290816879062426e-07 -7.758361693875886e-08 6.503197411398742e-08 -6.427778123738125e-07 4.813625466953455e-07 7.303282249583794e-07 -7.412648288392613e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
24 -2.1305838976060407e-07 2.4563637614770545e-07 1.7606161529657505e-07 1.1595498750860526e-07 -3.1525174261765477e-07 0.0 1.802632989417144e-07 -6.699166632564205e-07 7.015841663776687e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
25 -2.755154856693751e-07 9.765383434415104e-09 -5.499752856552215e-08 9.665309086837038e-08 -2.550595137093726e-07 4.7351164556102274e-07 -6.381345720330077e-07 4.56885320250915e-07 -3.228712863675536e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
26 -5.100630309044798e-08 1.2147112379644884e-07 1.3281868401944384e-07 6.142301574926622e-08 -2.1830436385671532e-07 -4.3644333974558225e-08 2.844847975890359e-07 -2.5970608955354077e-08 -5.937839602174982e-07 -1.560673877777553e-08 9999.0 9999.0 9999.0 9999.0 9999.0
27 -2.7748057099325145e-07 5.510758294686987e-07 -1.2370532472921622e-07 -1.859767595669531e-07 -4.821492245383563e-07 1.1859984791189525e-06 -4.6656366103641475e-07 3.0914533815981194e-09 -4.562560091529761e-09 -8.771510996304343e-08 9999.0 9999.0 9999.0 9999.0 9999.0
28 -6.916593612601273e-08 3.8115963395131434e-08 -2.549753729882429e-07 1.0188165462396123e-06 -1.3695806498968757e-06 2.3538869081042212e-07 8.481233069635632e-07 -2.8964184613389306e-07 -9.703951863548168e-08 1.0546472619716112e-07 9999.0 9999.0 9999.0 9999.0 9999.0
29 -1.4299989694723543e-07 -2.1051098213394297e-07 7.261843842813157e-08 1.1700038828752043e-06 -1.405775928705309e-06 2.518237236771721e-06 -3.0955497407511758e-06 1.8386899160623746e-06 6.93812400745646e-07 -1.9981473265413306e-06 4.157678599288029e-06 9999.0 9999.0 9999.0 9999.0
30 3.2561868271171516e-07 -1.2674002456892816e-06 3.743146144424557e-08 3.7301702708284496e-07 -3.083361458375478e-07 1.0495896092621623e-07 0.0 -2.94821321772124e-07 -7.695444129869612e-07 3.3105965923542554e-07 3.387983251339948e-07 5.330506750644332e-07 9999.0 9999.0 9999.0
31 -5.156777385085326e-08 -2.4966325875468575e-07 2.201465073572523e-06 -1.3964440240184635e-06 -5.5855380562237205e-08 -8.98997383857537e-08 -9.809732188858421e-07 2.111296679253959e-06 -1.382146428763722e-06 -1.0257585321995345e-07 -5.034633004173986e-07 6.61916405277682e-07 9999.0 9999.0 9999.0
