 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
0 -9.371095058259147e-08 4.955443351432218e-07 3.2925486528185665e-07 3.4066299293017943e-07 -5.270183895061435e-07 -1.121657543816207e-06 8.624173544374594e-07 -4.3295630100807467e-07 1.1831849190009402e-06 -1.0218074618759214e-06 2.3378560281188438e-08 -4.200475501312085e-07 9999.0 9999.0 9999.0 9999.0 9999.0
1 -5.149003952313166e-07 4.312101151086266e-07 7.887266868066283e-07 -9.133522954452566e-07 3.7078702521653805e-07 5.207850221709659e-07 -1.170881542437501e-06 7.100409957905491e-07 6.505468238930626e-07 -1.1796986254967146e-06 -5.2638154641833975e-08 1.9506711537146013e-07 9999.0 9999.0 9999.0 9999.0 9999.0
2 -4.426006756124677e-07 5.7674067685194e-07 6.804287143820681e-07 -1.743728286844393e-07 -3.7894850142401024e-07 -8.935458715410728e-07 8.36375005637804e-07 -6.618543723979357e-07 -6.785494554716682e-07 4.4553103376477905e-06 -4.571645519173411e-06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
3 -2.905558079918794e-07 6.677451349439768e-07 2.0034695433788402e-07 -2.0669399763316181e-07 1.0961848295282731e-07 -8.789973519627995e-07 4.1230591695334683e-07 -7.090401945082088e-07 1.300030824796486e-07 2.151870518142628e-06 -2.313790441307737e-06 -4.0911398215598085e-08 9999.0 9999.0 9999.0 9999.0 9999.0
4 -2.206149938253059e-07 4.940876791764741e-07 2.797736838139876e-07 -7.029960459385175e-07 5.69949590407735e-07 -7.873294947550645e-07 3.2873819182700863e-07 -5.126097246060723e-07 4.004765671072646e-07 -1.8239471069773523e-07 1.950142058849777e-06 -1.7872912135398082e-06 9999.0 9999.0 9999.0 9999.0 9999.0
5 -1.0481524337689723e-07 2.0528325367757137e-07 1.4445921140013207e-07 6.098771668520749e-07 -1.728057562105625e-06 4.896135685512385e-07 5.463406121620242e-07 -5.987225092187292e-07 1.0307296776743904e-06 -1.0095498425854745e-06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
6 -1.6924810113479034e-07 2.8541231596963625e-07 2.7675177310650604e-07 1.574670695389345e-08 -4.794429550225592e-07 -6.16366235343918e-07 7.166363891179476e-07 -1.0031850683873003e-07 -1.0390039968995014e-06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
7 -1.8731776224742173e-07 5.411128114362775e-07 1.907774204504412e-07 -5.881441547563757e-07 -8.346628312620704e-07 1.2772509471742898e-06 -6.321610776703552e-07 -9.061009460244582e-08 -1.9075243067086732e-08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
8 -3.8308205732665276e-07 8.384686998928553e-07 -2.0578121667902854e-07 -2.832930043665659e-07 -5.692787503003152e-07 3.5714911036659744e-07 8.788201730025794e-07 -2.351105264031031e-06 2.5626404726896285e-06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
9 -1.3111891248495627e-07 1.1916954057714599e-07 3.2416617578430864e-07 4.306337487740545e-07 -1.910645233531004e-06 1.7609580446268336e-06 -6.878224715625279e-07 -1.2608550679201357e-06 2.0430722105522568e-06 -2.0065140366079273e-06 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
10 -1.556451384089447e-07 -2.5457825289150597e-09 2.1091641495167783e-07 5.025008990343303e-07 -4.3527896557714344e-07 -7.217589715934613e-07 1.1201959079209367e-06 -5.355331159936002e-07 0.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
11 -2.4675615565452e-07 1.348190375172106e-07 1.1732568909734818e-07 4.0985393897659963e-07 -5.856609327984996e-08 -8.501028659509087e-07 1.0122914047290467e-06 -5.351775283646742e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
