 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78
0 -1.1837646548437737e-07 -2.3196411872650548e-07 -1.0514256084281881e-07 -5.5691465052219626e-08 2.562776418610196e-07 3.8866798550422897e-07 3.5003871357029883e-07 4.673184564192662e-07 4.393793135919648e-07 4.130651397487842e-07 4.261232359912831e-07 3.9770627558003076e-07 2.2308971111326027e-07 6.172693945026621e-08 1.3459534088840644e-07 -8.523449585588566e-08 -3.7779219215175507e-07 -5.702740861424953e-07 -4.794290808227839e-07 -4.5508502544053346e-07 -3.1829410571675466e-07 -1.8664349749115413e-07 -1.3144902237669866e-07 -1.0358225464180671e-07 -4.5428942693291924e-07 -3.212841578540348e-07 1.673395790945058e-08 1.9607583973287468e-07 1.5564394597512603e-07 8.328018360197806e-08 9.271750644350883e-08 -8.11037153945646e-08 -5.643501173940559e-08 1.3050752345920352e-07 2.6180831639649387e-07 2.1731331280865833e-07 5.281557696946679e-07 3.903921456638214e-07 3.7451752433815304e-07 1.9396676688236495e-07 2.223581624545332e-08 3.0808823090084446e-07 2.6090801665436543e-07 -1.8635465336206494e-07 -1.815240288842702e-07 -1.1518456985888066e-07 -6.141008123219312e-07 -4.7387831982396977e-07 -6.390788645957962e-07 -3.34209320886212e-07 -2.7934818781331914e-07 -6.166193591442603e-07 -5.11929680295916e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
1 -8.985294964212613e-08 1.24871967312376e-07 1.1143108841646319e-07 2.248419199932888e-08 7.989512307538207e-08 2.5677322944423707e-07 3.186646747084054e-07 3.136577304307493e-07 2.8651915994704956e-07 3.1273534884320393e-07 4.3664790256713355e-07 1.6464926455630624e-07 -1.0201226137682591e-07 -1.3384077219433922e-07 -1.2154033326613053e-07 -2.610996976328752e-07 -2.141535615214552e-07 -4.717484731504913e-08 -6.80047360211858e-08 7.692893238647389e-08 -3.88321612042807e-07 1.0476514298228263e-07 2.2786464445508363e-07 1.6907428163963988e-07 5.291634464956937e-08 9.005213201508181e-08 -9.427027868882426e-08 -3.1201693500598186e-07 -1.882555318015307e-07 -2.7511333059785675e-07 9.899295354987131e-08 -1.875583994828044e-07 -1.4579768787380088e-07 1.20372456622485e-08 2.3613987104841514e-07 1.288508530387643e-07 2.6779296672132236e-07 3.716641689986461e-07 -2.688789809076087e-07 2.103816263783889e-07 1.2065661686406482e-07 2.408231457311724e-07 2.578179663805597e-07 7.598642796402984e-08 -4.3514716182554086e-07 -4.797451597701583e-07 -4.867166356954164e-07 -4.775731152711119e-07 5.982467889517809e-07 -2.8268516091182363e-07 -2.3972178064315633e-07 -5.744580162326747e-07 -7.306701022954571e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
2 -1.4714084226862857e-07 -9.843918872790507e-08 -5.418963783342275e-08 6.244038034387241e-08 1.677527432657071e-07 1.8713284713207008e-07 3.9017218438071356e-07 3.970457956497969e-07 5.176705277281975e-07 5.054795977768118e-07 6.303057988018169e-07 5.500946873162631e-07 4.122454736599459e-07 3.2090507059545605e-07 1.9092243948209972e-08 -1.4589383930418003e-07 -5.490946688897762e-07 -4.960256525884945e-07 -5.652621926094847e-07 -4.775771767097988e-07 -8.817223958723538e-07 -7.682909267528119e-07 -6.199904775022819e-07 -6.082754513850684e-07 -3.154241415868644e-07 -2.1143719867798094e-07 2.5505028815649684e-07 1.246399735709657e-07 5.382598436418915e-08 6.093654281542699e-08 6.242925824045164e-07 3.516860213470913e-07 1.1623956650871e-07 -8.727571651737022e-08 -2.163422443051937e-07 -3.779982505314874e-08 -5.486853458160734e-09 2.34345930884114e-07 1.8309414840967102e-07 1.15722577245651e-06 1.4021502724577006e-07 2.277968765043049e-07 2.347476233809558e-07 9999.0 9.64537972663245e-07 9999.0 9999.0 9999.0 9999.0 9999.0 -7.95307405116121e-07 -6.86595719495034e-07 -2.4663419098161207e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
3 -5.39772582626797e-08 3.059593798373112e-08 1.6781732923803339e-07 2.205782589725558e-07 1.7692038688199828e-07 2.5974052478949703e-07 2.8980319564136086e-07 4.1038917740853446e-07 4.3429452595671393e-07 3.2358934001299416e-07 3.692810610362954e-07 2.4473868601869838e-08 -1.5280412692089653e-07 7.955100972982273e-08 -5.6910622696323887e-08 -1.3314129436318747e-07 -2.953093141744089e-07 -5.653460868035344e-07 -4.5200597124139246e-07 -2.531621218320297e-07 -3.701960910117834e-07 4.3791841434958775e-08 2.3050725064633876e-07 -2.6288862409263605e-07 -2.58947355816925e-07 -2.5452352936926356e-07 -1.2338782540130954e-07 1.900975582349784e-07 -4.527208805129105e-08 -1.722924814428958e-07 1.343364488903407e-07 -3.565045752937058e-07 -5.289312111024398e-07 -3.037656714937142e-07 -2.0385326633578507e-07 3.8398503494790893e-07 4.099268150652306e-07 2.9887527107774374e-07 3.3833993554710337e-07 4.7383558371610445e-07 -5.919368747284688e-08 9999.0 9999.0 9999.0 6.247352333549983e-07 -5.359102956526158e-07 -7.256150743627998e-07 -5.280648382759698e-07 -4.4279192926677596e-07 -6.285143786267307e-07 -1.0057509531620824e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
4 -7.566493226309164e-08 3.213245070804874e-08 1.1524553543580919e-07 2.263794663561124e-07 1.9299623942215983e-07 4.465176554777824e-07 3.60159170849212e-07 4.05344922253266e-07 4.183250634004927e-07 1.445271017348386e-07 3.040836863279787e-07 2.8468179414583785e-08 -3.755325048947596e-08 -6.223097650905501e-08 -1.3946533666095719e-07 -4.759392978509899e-07 -5.023230822467222e-07 -3.4729081164833475e-07 -4.909018223768634e-07 -9.206660206940915e-08 -4.4877828675991847e-07 -1.8472229836074675e-07 -2.2106472878085375e-07 -3.018559388658309e-07 -1.714043695771115e-07 -1.1717900922354176e-07 -7.848613330033059e-09 -1.5512842183606237e-08 5.171206615215665e-08 -1.5523922656344227e-07 8.348982572300754e-08 6.653474411701898e-08 -4.610497431177954e-08 -1.0658472882929018e-08 -7.289543716586496e-08 1.488281692951358e-07 -3.519083481971527e-08 -1.0012933151190258e-07 -5.0085100928448093e-08 3.194402357586139e-08 9999.0 9999.0 9999.0 9999.0 5.401318100165533e-07 2.465562290894706e-07 2.939142869206519e-07 5.074476305149178e-07 9999.0 4.980802886986752e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
5 5.711967165271457e-08 4.2830675191823244e-08 1.4821052089535432e-09 3.248578755901662e-07 6.709471525486559e-08 2.4260785154151193e-07 3.2577437239979893e-07 3.3671044357894143e-07 2.810089023249514e-07 2.63296268353553e-07 1.0659164116400784e-07 5.40216837219423e-08 -1.302989043872379e-08 -1.0879606453560287e-07 -7.903364839684695e-08 -3.5084805610246863e-07 -4.515375082017999e-07 -4.118801010013706e-07 -4.557534434050971e-07 -5.078282706615665e-07 -2.7477986827774525e-07 -3.773509622195618e-07 -4.056207018054576e-07 -1.4792803125813147e-07 -6.385019263809732e-08 9.545273326738384e-08 2.4009068461306447e-07 -8.630684438938583e-08 1.0458882029992234e-07 2.083207101483574e-07 1.428373640171362e-07 4.870098595899562e-07 6.417050760084893e-07 1.662306725882022e-07 1.2290223045080585e-07 1.776269738104163e-07 2.4126670733721825e-08 2.425362529474713e-07 1.564247312302722e-08 5.900615860959133e-08 -2.1712641197451227e-08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 1.2421017989186872e-07 8.477376321744186e-08 1.8937555137625873e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
6 7.840453358125163e-08 9.608237272459556e-08 1.608151268132863e-07 9.017536860651671e-08 7.83646526047063e-08 7.654280908408445e-08 2.5420745531593226e-07 3.3340350015155807e-07 2.8464797019938535e-07 2.9739141762532186e-07 2.9555179214242844e-07 1.5633984225045871e-07 1.3641680476150517e-07 6.802955933511557e-08 -3.866121985985109e-08 -5.700951163096662e-08 -1.8908439461792726e-07 -4.204650288437826e-07 -3.343444271894323e-07 -4.4915934920483957e-07 -6.116759293180804e-07 -6.203704540508606e-07 -5.386302057672819e-07 -4.0832757944066594e-07 -2.2891531356037959e-07 -1.8163319805320635e-07 -2.1835710793578047e-07 3.593635434806849e-08 1.0245594915290692e-07 1.940762495396197e-07 3.616929519648023e-07 6.502613699658932e-07 3.3729789087406776e-07 -2.2921742402382233e-08 -1.3297974501547944e-07 1.3189167351923123e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
7 -2.3353742426314596e-08 1.309068021120095e-08 6.887128980248252e-08 1.5425326389715302e-07 1.8270164490993676e-07 1.484620690992519e-07 1.7716737538402483e-07 2.5389381776247067e-07 3.073024689079887e-07 2.134117679364439e-07 2.180648924966879e-07 1.7235502473634e-07 -3.300496000723448e-09 -1.5884886275795615e-07 -3.923930642504785e-07 -6.451362739726043e-07 -7.073306243369912e-07 -3.026427534230619e-07 -4.7552307371195013e-07 -2.521325222843347e-07 -3.0789842565228827e-07 -3.9363210485703113e-07 -1.6577129256895617e-07 0.0 2.2990576390403864e-07 6.90927415242485e-07 7.024379492192147e-07 -1.0593908036007334e-07 1.4856785554015554e-07 -5.0821281660289925e-08 3.3873234667478933e-07 4.923624548130553e-07 4.664672445416738e-07 2.994714914978014e-07 -2.0653040435793934e-07 -1.36355590562089e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
8 -2.6235480923547174e-08 -5.03010766390118e-08 -4.318392955600091e-09 1.0979247745004571e-07 1.824198412072917e-07 1.7127848186148812e-07 2.0085829132892402e-07 2.178257851446367e-07 1.451706559247305e-07 1.5340897036841472e-07 2.6128304958544187e-07 3.0796987796622504e-07 2.184162633699395e-07 -6.408174584730881e-09 -3.4248000020006593e-07 -2.1667917072740337e-07 -1.4515512888939525e-07 -1.9330137836170357e-07 -9.197511263081222e-08 -2.7180026965581003e-07 -5.248653597565986e-07 -4.928378815729301e-07 -2.4844952214034504e-07 -1.9707401338357856e-07 2.562674770157742e-07 1.3337559665647622e-07 -6.745708497950486e-08 -3.67296130644815e-08 -3.6065987583231686e-09 -9.74690510915478e-08 2.385368717896268e-07 5.563626570025804e-08 -2.263377313532291e-07 -1.674646560240242e-07 -4.0569742056282443e-07 -2.535027654657884e-07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
9 2.2873727097924403e-08 3.6345588747504698e-09 2.8008370688072534e-08 -4.3777326773855094e-09 4.8982259434419165e-08 1.6256372650741155e-07 1.5177857908634517e-07 1.8208787430972554e-07 1.5002072293511849e-07 2.787089080182853e-07 1.8607671285826412e-07 2.0182509970734267e-07 1.1288126198584228e-07 3.94874723576966e-08 -1.6523961939723853e-07 -2.598424941280567e-07 -3.474601506563946e-07 -4.4678151048386144e-07 -8.550095019340892e-08 -3.289541535306443e-07 -2.9474401294390895e-07 -2.940911911388856e-07 -1.744101979796291e-07 4.969683705715828e-08 2.227377272213568e-07 2.7186214302785143e-08 1.741223750965707e-07 2.7737751182591656e-07 -1.9283807525962828e-07 -2.6912645013381375e-07 -2.4060848284734707e-07 -1.5040086273057084e-07 -5.309682324088185e-08 -1.844361556153602e-07 -2.797120217605692e-07 -2.6809660619112684e-07 -3.274723916928377e-07 -4.0676504747397016e-07 -1.3993766516041101e-07 2.803789168812327e-07 9999.0 4.541652966709965e-08 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0
