WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629073500
ROBS
00100 135.0 008.6 -000.4 100 100 2.6e-021
00160 133.0 009.1 -000.4 100 100 5.4e-021
00220 132.0 009.3 -000.2 100 100 2.3e-021
00280 089.0 006.5 0000.0 100 100 3.0e-021
00340 092.0 004.0 -000.1 100 100 4.3e-021
00400 092.0 004.1 -000.1 100 100 2.8e-021
00460 100.0 004.6 -000.1 100 100 4.2e-021
00520 109.0 003.0 -000.1 100 100 6.4e-021
00580 109.0 002.6 -000.0 100 100 3.2e-021
00640 118.0 003.1 -000.1 100 100 8.7e-021
00700 132.0 005.9 -000.1 100 100 1.1e-020
00760 151.0 003.9 -000.1 100 100 2.8e-020
00820 171.0 003.4 -000.1 100 100 8.4e-020
00880 178.0 002.9 -000.1 100 100 7.3e-020
00940 178.0 001.6 -000.1 100 100 4.8e-020
01000 186.0 001.4 -000.2 100 100 6.6e-020
01060 238.0 001.9 -000.1 100 100 2.4e-020
01120 241.0 002.9 -000.1 100 100 1.2e-020
01180 244.0 004.3 -000.1 100 100 1.1e-020
01240 245.0 005.6 -000.0 100 100 8.3e-021
01300 249.0 006.4 -000.1 100 100 7.7e-021
01360 245.0 007.3 -000.2 100 100 1.3e-020
01420 242.0 008.3 -000.2 100 100 6.5e-021
01480 238.0 009.0 0000.1 100 100 5.6e-021
01540 238.0 009.6 0000.1 100 100 6.6e-021
01600 236.0 009.8 0000.2 100 100 6.8e-021
01660 237.0 010.3 0000.2 100 100 8.6e-021
01720 241.0 010.6 0000.2 100 100 5.3e-021
01780 239.0 011.7 0000.4 100 100 2.2e-021
01840 244.0 010.6 0000.1 100 100 2.9e-021
01900 242.0 010.9 0000.1 100 100 3.6e-021
01960 238.0 011.7 -000.0 100 100 3.4e-021
02020 239.0 012.8 0000.0 100 100 3.9e-021
02080 234.0 012.2 -000.0 100 100 4.4e-021
02140 247.0 011.5 -000.2 100 100 7.6e-021
02200 240.0 010.3 -000.2 100 100 1.1e-020
02260 239.0 011.4 -000.4 100 100 1.3e-020
02320 239.0 011.7 -000.4 100 100 1.1e-020
02380 237.0 010.8 -000.8 100 100 1.3e-020
02440 242.0 010.5 -000.6 100 100 1.5e-020
02500 242.0 010.3 -000.7 100 100 1.4e-020
02560 241.0 010.2 -000.6 100 100 2.0e-020
02620 239.0 010.5 -000.5 100 100 7.6e-021
02680 235.0 012.4 -000.7 100 100 3.9e-021
02740 239.0 012.8 0000.0 100 100 7.8e-022
02800 234.0 011.8 -000.9 100 100 1.5e-021
02860 239.0 012.4 0000.0 100 100 2.1e-021
02920 239.0 012.5 0000.0 100 100 2.3e-021
02980 240.0 012.2 0000.0 100 100 2.6e-021
03040 241.0 012.1 0000.0 100 100 2.8e-021
03100 240.0 012.2 0000.0 100 100 2.6e-021
03160 240.0 012.1 0000.0 100 100 2.9e-021
03220 239.0 012.3 0000.0 100 100 2.5e-021
03280 240.0 012.4 0000.0 100 100 2.8e-021
03340 235.0 009.9 0000.0 100 100 2.1e-021
03400 236.0 010.0 0000.0 100 100 2.8e-021
03460 ///// ///// 0000.0 000 000 1.8e-021
03520 ///// ///// 0000.0 000 000 2.5e-021
03580 ///// ///// 0000.0 000 000 2.0e-021
03640 ///// ///// 0000.0 000 000 1.8e-021
03700 ///// ///// 0000.0 000 000 1.5e-021
03760 ///// ///// 0000.0 000 000 1.9e-021
03820 ///// ///// 0000.0 000 000 9.9e-022
03880 ///// ///// 0001.0 000 000 2.8e-021
03940 ///// ///// 0000.0 000 000 1.1e-021
04000 ///// ///// 0000.0 000 000 1.8e-021
04060 ///// ///// 0000.3 000 000 2.6e-021
04120 ///// ///// 0000.0 000 000 2.1e-021
04180 ///// ///// 0000.0 000 000 2.2e-021
04240 ///// ///// 0000.0 000 000 1.0e-021
04300 ///// ///// 0000.0 000 000 2.4e-021
04360 ///// ///// 0000.0 000 000 1.6e-021
04420 ///// ///// 0000.0 000 000 2.8e-021
04480 ///// ///// 0000.0 000 000 7.5e-022
04540 ///// ///// 0000.0 000 000 1.0e-021
04600 ///// ///// 0000.0 000 000 2.8e-021
04660 ///// ///// 0000.0 000 000 1.1e-021
04720 ///// ///// 0000.0 000 000 1.3e-021
04780 ///// ///// 0000.0 000 000 1.0e-021
04840 ///// ///// 0000.0 000 000 3.8e-021
04900 ///// ///// 0000.0 000 000 1.6e-021
04960 ///// ///// 0000.0 000 000 1.3e-021
05020 ///// ///// 0000.0 000 000 4.8e-022
05080 ///// ///// 0000.0 000 000 2.3e-021
05140 ///// ///// 0000.0 000 000 1.1e-021
05200 ///// ///// 0000.0 000 000 1.1e-021
05260 ///// ///// 0000.0 000 000 3.9e-021
05320 ///// ///// -001.1 000 000 1.9e-021
05380 ///// ///// 0000.0 000 000 4.7e-021
05440 ///// ///// 0000.0 000 000 4.7e-021
05500 ///// ///// 0000.0 000 000 1.5e-021
05560 ///// ///// 0000.0 000 000 6.4e-021
05620 ///// ///// 0000.0 000 000 3.8e-021
05680 ///// ///// 0000.0 000 000 1.6e-021
05740 ///// ///// 0000.0 000 000 3.5e-021
05800 ///// ///// 0001.4 000 000 5.4e-021
05860 ///// ///// 0000.0 000 000 5.4e-021
05920 ///// ///// 0000.0 000 000 1.6e-021
05980 ///// ///// 0000.0 000 000 2.0e-021
NNNN
