WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629195000
ROBS
00100 129.0 006.3 0002.0 100 100 3.2e-021
00160 ///// ///// 0002.0 000 000 6.6e-021
00220 ///// ///// 0002.1 000 000 2.9e-021
00280 130.0 003.9 0000.0 100 100 1.2e-020
00340 144.0 003.6 0000.1 100 100 1.2e-020
00400 140.0 004.1 0000.0 100 100 2.9e-020
00460 152.0 006.8 0000.0 100 100 1.2e-019
00520 161.0 007.8 0000.0 100 100 1.5e-019
00580 169.0 008.4 -000.1 100 100 6.9e-020
00640 169.0 008.5 -000.2 100 100 4.1e-020
00700 183.0 008.4 -000.3 100 100 7.7e-020
00760 194.0 008.4 -000.2 100 100 9.8e-020
00820 198.0 008.3 -000.4 100 100 5.9e-020
00880 196.0 007.7 0000.1 100 100 4.5e-020
00940 306.0 002.7 0000.0 100 100 3.7e-020
01000 323.0 003.7 -001.3 100 100 2.7e-020
01060 327.0 005.2 0000.3 100 100 6.5e-021
01120 239.0 003.2 0000.2 100 100 1.2e-020
01180 228.0 003.6 -000.2 100 100 9.5e-021
01240 226.0 003.5 -000.3 100 100 5.4e-021
01300 212.0 004.8 -000.3 100 100 3.5e-021
01360 215.0 006.0 -000.1 100 100 8.9e-021
01420 215.0 006.4 -000.2 100 100 1.3e-020
01480 216.0 007.0 -000.4 100 100 9.7e-021
01540 218.0 008.0 -000.4 100 100 5.4e-021
01600 219.0 009.1 -000.5 100 100 5.1e-021
01660 218.0 010.5 -000.6 100 100 6.9e-021
01720 218.0 011.0 -000.5 100 100 5.6e-021
01780 219.0 011.9 -000.6 100 100 5.4e-021
01840 224.0 011.9 -000.4 100 100 4.2e-021
01900 220.0 010.1 -000.5 100 100 3.7e-021
01960 223.0 009.6 -000.6 100 100 7.2e-021
02020 220.0 010.2 -000.3 100 100 4.1e-021
02080 217.0 009.9 -000.4 100 100 4.1e-021
02140 220.0 009.9 -000.3 100 100 3.1e-021
02200 218.0 009.5 0000.0 100 100 4.0e-021
02260 219.0 009.5 0000.0 100 100 3.6e-021
02320 219.0 009.6 -000.1 100 100 4.8e-021
02380 215.0 009.2 0000.0 100 100 2.3e-021
02440 216.0 010.1 0000.0 100 100 3.5e-021
02500 209.0 009.4 0000.0 100 100 2.9e-021
02560 236.0 003.1 0000.0 100 100 2.5e-021
02620 267.0 005.2 -000.1 100 100 2.5e-021
02680 236.0 003.0 0000.0 100 100 2.8e-021
02740 206.0 009.2 -000.4 100 100 3.6e-021
02800 202.0 011.8 -000.1 100 100 3.7e-021
02860 ///// ///// 0000.1 000 000 1.6e-021
02920 ///// ///// 0000.0 000 000 1.2e-021
02980 ///// ///// -000.3 000 000 2.1e-021
03040 ///// ///// -000.2 000 000 2.4e-021
03100 ///// ///// 0000.0 000 000 1.9e-021
03160 ///// ///// 0000.0 000 000 3.2e-021
03220 ///// ///// 0000.2 000 000 3.1e-021
03280 ///// ///// 0000.0 000 000 1.4e-021
03340 ///// ///// 0000.5 000 000 1.8e-021
03400 ///// ///// 0000.1 000 000 2.0e-021
03460 229.0 010.4 0000.1 100 100 6.3e-021
03520 228.0 010.4 0000.3 100 100 1.3e-020
03580 224.0 010.4 0000.3 100 100 1.5e-020
03640 223.0 010.6 0000.2 100 100 1.3e-020
03700 224.0 010.7 0000.3 100 100 8.8e-021
03760 221.0 010.7 0000.6 100 100 9.3e-021
03820 222.0 011.3 0000.6 100 100 1.3e-020
03880 215.0 010.2 0000.6 100 100 1.5e-020
03940 211.0 009.7 0000.5 100 100 2.5e-020
04000 205.0 009.7 0000.1 100 100 4.6e-020
04060 208.0 009.1 -000.1 100 100 7.9e-020
04120 207.0 009.4 -000.3 100 100 5.2e-020
04180 209.0 009.3 -000.0 100 100 3.0e-020
04240 209.0 009.3 0000.1 100 100 1.5e-020
04300 211.0 009.5 0000.2 100 100 1.4e-020
04360 211.0 008.6 0000.0 100 100 2.4e-021
04420 217.0 008.6 0000.0 100 100 5.5e-021
04480 226.0 008.9 0000.0 100 100 5.1e-021
04540 ///// ///// -001.2 000 000 2.7e-021
04600 ///// ///// 0000.0 000 000 1.1e-021
04660 ///// ///// 0000.0 000 000 1.2e-021
04720 ///// ///// 0000.0 000 000 1.1e-021
04780 ///// ///// 0000.0 000 000 4.1e-022
04840 ///// ///// 0000.0 000 000 1.2e-021
04900 ///// ///// 0000.0 000 000 1.4e-021
04960 ///// ///// 0000.0 000 000 1.1e-021
05020 ///// ///// 0000.0 000 000 1.9e-021
05080 ///// ///// 0000.0 000 000 3.2e-021
05140 ///// ///// 0000.0 000 000 4.6e-021
05200 ///// ///// 0001.3 000 000 2.3e-021
05260 ///// ///// 0000.0 000 000 4.0e-021
05320 ///// ///// -000.4 000 000 4.8e-021
05380 ///// ///// 0000.0 000 000 3.4e-021
05440 ///// ///// 0000.0 000 000 1.8e-021
05500 ///// ///// 0000.0 000 000 5.7e-021
05560 ///// ///// 0000.0 000 000 2.2e-021
05620 ///// ///// 0000.0 000 000 5.6e-021
05680 ///// ///// 0000.0 000 000 1.1e-021
05740 ///// ///// 0000.3 000 000 4.8e-021
05800 ///// ///// 0000.0 000 000 4.1e-021
05860 ///// ///// 0000.0 000 000 1.2e-021
05920 ///// ///// 0000.0 000 000 3.8e-021
05980 ///// ///// 0000.0 000 000 2.9e-021
NNNN
