WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629064500
ROBS
00100 006.0 002.2 0000.1 100 100 9.8e-022
00160 016.0 001.2 -000.0 100 100 6.0e-021
00220 016.0 001.4 -000.0 100 100 6.4e-021
00280 084.0 001.1 0000.1 100 100 5.8e-021
00340 083.0 001.2 0000.1 100 100 5.1e-021
00400 076.0 002.6 0000.2 100 100 3.2e-021
00460 086.0 003.7 0000.3 100 100 3.3e-021
00520 101.0 004.0 0000.3 100 100 7.7e-021
00580 111.0 003.4 0000.3 100 100 1.9e-020
00640 218.0 004.0 0000.2 100 100 8.1e-021
00700 218.0 005.6 0000.1 100 100 2.1e-020
00760 221.0 005.2 -000.0 100 100 2.7e-020
00820 218.0 004.2 0000.0 100 100 2.3e-020
00880 211.0 003.8 -002.2 100 100 8.7e-021
00940 231.0 005.0 0000.1 100 100 7.9e-021
01000 246.0 005.7 -000.0 100 100 9.0e-021
01060 204.0 003.0 0000.2 100 100 4.3e-021
01120 213.0 004.1 0000.1 100 100 9.9e-021
01180 226.0 004.8 0000.3 100 100 6.3e-021
01240 231.0 006.2 -000.2 100 100 1.6e-021
01300 227.0 006.7 -000.0 100 100 2.9e-021
01360 228.0 007.2 0000.0 100 100 7.2e-021
01420 229.0 007.9 0000.0 100 100 4.7e-021
01480 229.0 008.4 0000.2 100 100 4.0e-021
01540 230.0 008.8 0000.3 100 100 3.6e-021
01600 227.0 009.1 0000.2 100 100 5.1e-021
01660 231.0 009.1 -000.0 100 100 1.6e-020
01720 231.0 010.1 -000.1 100 100 3.9e-020
01780 235.0 010.8 -000.0 100 100 3.3e-020
01840 237.0 011.1 0000.0 100 100 1.3e-020
01900 246.0 011.3 0000.3 100 100 3.8e-021
01960 250.0 011.7 -000.1 100 100 2.3e-021
02020 251.0 012.9 0000.3 100 100 3.4e-021
02080 253.0 014.3 0000.1 100 100 3.3e-021
02140 259.0 014.4 -002.7 100 100 2.4e-021
02200 258.0 014.5 -000.2 100 100 3.7e-021
02260 256.0 014.5 -000.3 100 100 3.0e-021
02320 258.0 015.8 -000.1 100 100 2.5e-021
02380 254.0 016.1 0000.1 100 100 2.0e-021
02440 253.0 013.8 0000.0 100 100 1.9e-021
02500 254.0 013.9 -000.2 100 100 9.3e-022
02560 254.0 014.0 0000.2 100 100 2.2e-021
02620 253.0 014.2 0000.0 100 100 9.6e-022
02680 251.0 012.6 -000.3 100 100 2.6e-021
02740 251.0 012.1 -000.7 100 100 9.0e-022
02800 248.0 011.1 0000.2 100 100 1.4e-021
02860 245.0 011.4 -001.3 100 100 1.8e-021
02920 240.0 012.0 0000.0 100 100 1.3e-021
02980 233.0 013.3 0000.0 100 100 1.4e-021
03040 218.0 014.5 -001.0 100 100 1.8e-021
03100 221.0 017.8 0000.0 100 100 1.4e-021
03160 233.0 015.7 -001.3 100 100 2.0e-021
03220 250.0 011.1 0000.0 100 100 1.9e-021
03280 242.0 004.3 0000.0 100 100 2.0e-021
03340 243.0 006.2 0000.0 100 100 1.1e-021
03400 227.0 004.8 0000.0 100 100 1.9e-021
03460 240.0 007.2 0000.0 100 100 2.8e-021
03520 249.0 011.0 0000.0 100 100 1.9e-021
03580 242.0 011.5 0000.0 100 100 2.5e-021
03640 252.0 011.0 0001.3 100 100 2.5e-021
03700 253.0 011.1 0000.0 100 100 9.7e-022
03760 ///// ///// 0000.0 000 000 2.7e-021
03820 ///// ///// 0000.0 000 000 2.1e-022
03880 ///// ///// 0000.0 000 000 1.2e-021
03940 ///// ///// 0000.0 000 000 1.9e-021
04000 ///// ///// 0000.0 000 000 8.9e-022
04060 ///// ///// 0000.0 000 000 2.2e-021
04120 ///// ///// 0000.0 000 000 9.8e-022
04180 ///// ///// 0000.0 000 000 8.1e-022
04240 ///// ///// 0000.0 000 000 3.4e-021
04300 ///// ///// 0000.0 000 000 1.7e-021
04360 ///// ///// 0000.0 000 000 4.1e-021
04420 ///// ///// 0000.0 000 000 8.7e-022
04480 ///// ///// 0000.0 000 000 2.7e-021
04540 ///// ///// 0000.0 000 000 1.5e-021
04600 ///// ///// 0000.0 000 000 1.9e-021
04660 ///// ///// 0000.0 000 000 4.1e-021
04720 ///// ///// 0000.0 000 000 3.5e-021
04780 ///// ///// 0000.0 000 000 1.5e-021
04840 ///// ///// 0000.0 000 000 2.6e-021
04900 ///// ///// 0000.6 000 000 2.1e-021
04960 ///// ///// 0001.3 000 000 3.4e-021
05020 ///// ///// 0000.0 000 000 2.6e-021
05080 ///// ///// 0000.0 000 000 3.5e-021
05140 ///// ///// 0000.0 000 000 3.5e-021
05200 ///// ///// 0000.0 000 000 3.7e-021
05260 ///// ///// 0000.0 000 000 5.5e-021
05320 ///// ///// 0000.0 000 000 3.6e-021
05380 ///// ///// 0000.0 000 000 3.1e-021
05440 ///// ///// 0000.0 000 000 5.0e-021
05500 ///// ///// 0000.0 000 000 3.9e-021
05560 ///// ///// 0000.0 000 000 2.3e-021
05620 ///// ///// 0000.0 000 000 5.5e-021
05680 ///// ///// 0000.0 000 000 3.6e-021
05740 ///// ///// -000.0 000 000 5.5e-021
05800 ///// ///// 0000.0 000 000 1.4e-021
05860 ///// ///// 0000.0 000 000 5.0e-021
05920 ///// ///// 0000.7 000 000 5.1e-021
05980 ///// ///// 0000.0 000 000 5.3e-021
NNNN
