WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629151500
ROBS
00100 090.0 002.1 0000.5 100 100 2.5e-020
00160 081.0 002.3 0000.4 100 100 9.3e-020
00220 079.0 002.6 0000.1 100 100 6.2e-020
00280 062.0 002.8 -000.0 100 100 3.8e-020
00340 114.0 003.0 0000.0 100 100 1.4e-020
00400 109.0 003.7 0000.1 100 100 1.5e-020
00460 140.0 005.7 -000.0 100 100 8.9e-020
00520 151.0 007.7 -000.0 100 100 1.3e-019
00580 158.0 009.1 -000.2 100 100 9.8e-021
00640 167.0 010.6 -000.1 100 100 1.2e-020
00700 172.0 011.1 -000.1 100 100 2.7e-020
00760 175.0 011.2 -000.0 100 100 3.1e-020
00820 177.0 012.0 0000.0 100 100 3.7e-020
00880 180.0 012.8 0000.0 100 100 4.3e-020
00940 180.0 013.2 -000.0 100 100 1.0e-019
01000 182.0 012.6 0000.1 100 100 1.4e-019
01060 185.0 013.5 -000.2 100 100 5.8e-020
01120 185.0 011.6 0000.2 100 100 4.6e-020
01180 191.0 010.3 0000.2 100 100 9.7e-020
01240 193.0 009.1 0000.1 100 100 8.3e-020
01300 199.0 008.1 0000.1 100 100 4.4e-020
01360 202.0 007.3 0000.1 100 100 5.0e-020
01420 202.0 007.5 0000.3 100 100 3.4e-020
01480 206.0 007.4 0000.4 100 100 2.6e-020
01540 208.0 007.9 0000.2 100 100 2.1e-020
01600 209.0 008.1 0000.2 100 100 2.0e-020
01660 209.0 008.3 0000.1 100 100 1.1e-020
01720 211.0 009.4 0000.3 100 100 9.7e-021
01780 213.0 009.8 0000.1 100 100 1.0e-020
01840 217.0 010.7 0000.2 100 100 7.9e-021
01900 219.0 010.9 0000.3 100 100 8.7e-021
01960 222.0 010.6 0000.2 100 100 1.2e-020
02020 223.0 011.7 0000.0 100 100 1.0e-020
02080 222.0 011.8 0000.0 100 100 1.1e-020
02140 222.0 011.2 0000.0 100 100 9.2e-021
02200 222.0 012.0 0000.0 100 100 7.8e-021
02260 222.0 011.9 0000.3 100 100 7.6e-021
02320 221.0 011.5 0000.2 100 100 7.2e-021
02380 224.0 011.7 -000.0 100 100 6.7e-021
02440 223.0 010.5 0000.3 100 100 7.6e-021
02500 221.0 009.2 0000.2 100 100 3.1e-021
02560 217.0 009.8 0000.1 100 100 4.1e-021
02620 216.0 009.1 0000.1 100 100 4.7e-021
02680 222.0 008.9 0000.2 100 100 4.6e-021
02740 223.0 007.9 -000.0 100 100 3.0e-021
02800 230.0 008.1 0000.0 100 100 3.3e-021
02860 231.0 009.2 0000.0 100 100 3.3e-021
02920 235.0 008.9 0000.3 100 100 3.8e-021
02980 233.0 009.0 -000.1 100 100 4.5e-021
03040 236.0 008.9 -000.4 100 100 5.9e-021
03100 238.0 009.3 0000.0 100 100 5.3e-021
03160 238.0 010.0 0000.0 100 100 2.6e-021
03220 241.0 009.2 0000.0 100 100 3.0e-021
03280 275.0 008.8 0000.8 100 100 9.9e-022
03340 264.0 008.3 0000.0 100 100 1.4e-021
03400 264.0 008.4 -000.1 100 100 3.1e-021
03460 264.0 008.7 0000.1 100 100 4.4e-021
03520 241.0 009.5 0000.0 100 100 4.7e-021
03580 239.0 009.9 0000.0 100 100 3.7e-021
03640 241.0 009.2 0000.0 100 100 1.5e-021
03700 241.0 008.6 0000.0 100 100 2.9e-021
03760 267.0 007.9 0000.0 100 100 1.0e-021
03820 256.0 008.3 0000.0 100 100 2.0e-021
03880 260.0 008.3 0000.0 100 100 1.1e-021
03940 267.0 008.4 0000.0 100 100 1.3e-021
04000 ///// ///// 0000.4 000 000 2.4e-021
04060 ///// ///// -000.1 000 000 2.4e-021
04120 267.0 006.0 0000.3 100 100 2.9e-021
04180 ///// ///// 0000.4 000 000 3.3e-021
04240 ///// ///// -000.3 000 000 3.6e-021
04300 ///// ///// 0000.0 000 000 9.1e-022
04360 203.0 008.5 0000.1 100 100 5.3e-021
04420 208.0 008.6 0000.0 100 100 3.0e-021
04480 202.0 008.0 0000.2 100 100 4.8e-021
04540 196.0 007.4 0000.0 100 100 3.8e-021
04600 227.0 006.7 0000.0 100 100 3.5e-021
04660 202.0 008.1 0000.0 100 100 3.6e-021
04720 213.0 006.7 0000.5 100 100 4.7e-021
04780 ///// ///// 0000.0 000 000 1.7e-021
04840 ///// ///// 0000.0 000 000 2.5e-021
04900 ///// ///// 0000.0 000 000 1.1e-021
04960 ///// ///// -000.0 000 000 2.7e-021
05020 ///// ///// -000.9 000 000 3.7e-021
05080 ///// ///// 0000.0 000 000 2.8e-021
05140 ///// ///// 0000.0 000 000 1.6e-021
05200 ///// ///// 0000.0 000 000 2.5e-021
05260 ///// ///// 0000.0 000 000 3.8e-021
05320 ///// ///// 0000.0 000 000 1.5e-021
05380 ///// ///// 0000.0 000 000 1.6e-021
05440 ///// ///// -001.3 000 000 1.6e-021
05500 ///// ///// 0000.4 000 000 4.7e-021
05560 ///// ///// 0000.0 000 000 3.3e-021
05620 ///// ///// 0000.0 000 000 1.5e-021
05680 ///// ///// 0000.0 000 000 6.3e-022
05740 ///// ///// 0000.0 000 000 6.2e-022
05800 ///// ///// 0000.0 000 000 1.7e-021
05860 ///// ///// 0000.0 000 000 5.2e-021
05920 ///// ///// 0000.2 000 000 5.2e-021
05980 ///// ///// 0000.5 000 000 5.3e-021
NNNN
