WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130628014000
ROBS
00100 345.0 003.7 0000.7 100 100 2.7e-021
00160 329.0 004.6 0000.4 100 100 3.1e-020
00220 330.0 004.9 0000.4 100 100 5.4e-020
00280 335.0 005.0 0000.3 100 100 4.0e-020
00340 343.0 003.3 0000.2 100 100 2.5e-020
00400 338.0 003.0 0000.1 100 100 5.5e-020
00460 344.0 001.8 -000.0 100 100 1.8e-020
00520 061.0 001.1 -000.1 100 100 1.2e-020
00580 237.0 000.5 -000.2 100 100 1.2e-020
00640 196.0 002.5 0000.0 100 100 9.7e-021
00700 205.0 002.6 -000.2 100 100 1.4e-020
00760 204.0 003.3 -000.2 100 100 1.5e-020
00820 193.0 003.0 -000.2 100 100 1.8e-020
00880 197.0 003.0 -000.2 100 100 4.4e-020
00940 204.0 003.1 -000.3 100 100 5.3e-020
01000 198.0 004.3 0000.1 100 100 5.6e-020
01060 204.0 005.4 -000.2 100 100 2.2e-020
01120 201.0 005.7 0000.3 100 100 3.2e-020
01180 210.0 006.3 -000.2 100 100 5.0e-020
01240 229.0 007.1 0000.3 100 100 6.2e-020
01300 230.0 008.7 -000.2 100 100 5.1e-020
01360 222.0 010.3 -000.4 100 100 1.2e-020
01420 224.0 010.9 -000.4 100 100 7.4e-021
01480 224.0 011.8 -000.3 100 100 8.1e-021
01540 225.0 012.4 -000.2 100 100 6.2e-021
01600 225.0 012.8 -000.0 100 100 6.3e-021
01660 230.0 013.5 0000.0 100 100 8.6e-021
01720 231.0 014.3 -000.2 100 100 6.0e-021
01780 229.0 013.7 -000.2 100 100 3.5e-021
01840 233.0 013.9 0000.4 100 100 2.4e-021
01900 234.0 014.4 -000.2 100 100 3.2e-021
01960 235.0 014.2 0000.3 100 100 4.1e-021
02020 237.0 014.7 0000.4 100 100 4.7e-021
02080 234.0 014.3 -000.3 100 100 6.1e-021
02140 232.0 014.0 0000.0 100 100 7.3e-021
02200 233.0 014.0 -000.1 100 100 6.9e-021
02260 229.0 013.7 -000.2 100 100 4.5e-021
02320 227.0 012.9 0000.1 100 100 4.0e-021
02380 231.0 013.7 0000.0 100 100 3.5e-021
02440 232.0 014.1 0000.1 100 100 3.4e-021
02500 230.0 013.7 -000.0 100 100 3.4e-021
02560 229.0 014.0 0000.1 100 100 4.3e-021
02620 231.0 012.3 0000.1 100 100 5.0e-021
02680 232.0 012.2 0000.2 100 100 3.5e-021
02740 235.0 012.2 0001.1 100 100 5.8e-021
02800 234.0 013.2 0000.0 100 100 8.3e-021
02860 234.0 012.4 0000.0 100 100 6.3e-021
02920 235.0 012.1 0000.2 100 100 5.3e-021
02980 233.0 012.4 -000.5 100 100 5.6e-021
03040 234.0 012.3 0000.0 100 100 6.7e-021
03100 234.0 012.4 0000.0 100 100 7.8e-021
03160 233.0 012.0 0000.0 100 100 8.7e-021
03220 234.0 012.4 -000.1 100 100 1.0e-020
03280 232.0 011.0 0000.0 100 100 1.7e-021
03340 232.0 011.0 0000.2 100 100 3.9e-021
03400 235.0 011.9 0000.0 100 100 3.6e-021
03460 239.0 011.4 0000.0 100 100 3.9e-021
03520 240.0 012.4 0000.0 100 100 3.4e-021
03580 240.0 012.7 0000.0 100 100 2.7e-021
03640 ///// ///// 0000.0 000 000 2.0e-021
03700 ///// ///// 0000.0 000 000 5.3e-022
03760 ///// ///// 0000.0 000 000 1.6e-021
03820 ///// ///// 0000.0 000 000 9.2e-022
03880 ///// ///// 0000.0 000 000 3.2e-021
03940 ///// ///// -000.4 000 000 1.2e-021
04000 ///// ///// 0000.0 000 000 3.8e-021
04060 ///// ///// 0000.0 000 000 1.7e-021
04120 ///// ///// -000.9 000 000 3.3e-021
04180 ///// ///// 0000.0 000 000 1.1e-021
04240 ///// ///// 0000.0 000 000 2.5e-021
04300 ///// ///// 0001.1 000 000 2.5e-021
04360 ///// ///// 0000.0 000 000 3.5e-021
04420 ///// ///// 0000.0 000 000 3.0e-021
04480 ///// ///// 0000.0 000 000 2.9e-021
04540 ///// ///// -000.4 000 000 2.8e-021
04600 ///// ///// 0000.0 000 000 2.0e-021
04660 ///// ///// 0000.0 000 000 4.9e-022
04720 ///// ///// 0000.0 000 000 4.0e-021
04780 ///// ///// 0002.4 000 000 4.0e-021
04840 ///// ///// 0000.0 000 000 2.8e-021
04900 ///// ///// 0000.9 000 000 3.5e-021
04960 ///// ///// 0000.0 000 000 3.2e-021
05020 ///// ///// 0000.0 000 000 3.2e-021
05080 ///// ///// 0000.0 000 000 7.9e-022
05140 ///// ///// 0000.0 000 000 4.5e-021
05200 ///// ///// 0000.0 000 000 4.4e-021
05260 ///// ///// 0000.0 000 000 3.4e-021
05320 ///// ///// -000.2 000 000 3.6e-021
05380 ///// ///// 0000.0 000 000 2.5e-021
05440 ///// ///// -000.0 000 000 4.2e-021
05500 ///// ///// -000.6 000 000 3.9e-021
05560 ///// ///// 0000.0 000 000 6.9e-022
05620 ///// ///// 0000.5 000 000 6.0e-021
05680 ///// ///// -000.3 000 000 5.2e-021
05740 ///// ///// -000.6 000 000 3.7e-021
05800 ///// ///// 0000.0 000 000 3.3e-021
05860 ///// ///// 0000.0 000 000 2.7e-021
05920 ///// ///// 0000.0 000 000 5.5e-021
05980 ///// ///// 0000.0 000 000 4.4e-021
NNNN
