WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629075000
ROBS
00100 088.0 004.2 0001.9 100 100 3.3e-021
00160 099.0 002.5 0001.9 100 100 7.1e-021
00220 089.0 002.3 0001.9 100 100 4.0e-021
00280 113.0 003.3 0000.2 100 100 1.2e-020
00340 115.0 002.4 0000.2 100 100 9.3e-021
00400 097.0 005.9 0000.2 100 100 4.0e-021
00460 098.0 005.4 0000.2 100 100 5.3e-021
00520 104.0 005.4 0000.3 100 100 1.1e-020
00580 130.0 006.1 0000.4 100 100 3.1e-021
00640 152.0 008.2 0000.4 100 100 4.5e-021
00700 155.0 007.5 0000.4 100 100 2.5e-020
00760 159.0 006.7 0000.4 100 100 1.0e-019
00820 163.0 006.0 0000.3 100 100 1.5e-019
00880 166.0 005.2 0000.1 100 100 1.0e-019
00940 173.0 004.1 0000.0 100 100 4.4e-020
01000 164.0 003.6 0000.3 100 100 5.6e-020
01060 170.0 003.5 0000.2 100 100 2.3e-020
01120 206.0 002.7 0000.3 100 100 2.7e-020
01180 203.0 003.0 0000.3 100 100 2.7e-020
01240 212.0 004.1 0000.2 100 100 1.6e-020
01300 222.0 005.3 0000.3 100 100 7.3e-021
01360 223.0 006.6 0000.1 100 100 4.5e-021
01420 225.0 007.1 0000.1 100 100 1.2e-020
01480 227.0 007.4 0000.2 100 100 1.7e-020
01540 226.0 008.1 0000.2 100 100 1.3e-020
01600 228.0 008.8 0000.3 100 100 1.0e-020
01660 234.0 009.7 0000.2 100 100 2.1e-020
01720 235.0 010.6 0000.1 100 100 2.0e-020
01780 236.0 011.7 0000.1 100 100 8.2e-021
01840 237.0 013.2 0000.3 100 100 8.2e-021
01900 238.0 013.1 0000.2 100 100 9.6e-021
01960 236.0 012.6 0000.4 100 100 7.7e-021
02020 237.0 013.0 0000.3 100 100 5.2e-021
02080 240.0 013.6 0000.1 100 100 4.1e-021
02140 237.0 012.3 0000.5 100 100 4.6e-021
02200 240.0 011.9 0000.3 100 100 3.3e-021
02260 237.0 012.4 0000.1 100 100 4.3e-021
02320 236.0 011.8 -000.1 100 100 4.7e-021
02380 239.0 012.3 -000.0 100 100 7.0e-021
02440 242.0 011.9 0000.0 100 100 7.8e-021
02500 247.0 012.9 0000.2 100 100 9.7e-021
02560 249.0 011.8 0000.3 100 100 9.4e-021
02620 248.0 012.2 -000.4 100 100 3.9e-021
02680 242.0 011.9 0000.0 100 100 1.9e-021
02740 244.0 012.0 -000.1 100 100 2.5e-021
02800 243.0 011.8 0000.0 100 100 3.8e-021
02860 244.0 012.0 0000.0 100 100 3.9e-021
02920 236.0 011.6 0001.3 100 100 3.1e-021
02980 244.0 011.8 0000.0 100 100 2.7e-021
03040 244.0 011.9 0000.1 100 100 3.7e-021
03100 239.0 009.8 0000.9 100 100 2.9e-021
03160 234.0 008.5 0000.0 100 100 1.1e-021
03220 233.0 006.4 -000.5 100 100 3.1e-021
03280 ///// ///// -000.0 000 000 1.9e-021
03340 234.0 003.7 0000.7 100 100 1.8e-021
03400 233.0 003.8 0000.1 100 100 1.9e-021
03460 239.0 003.8 -001.3 100 100 9.3e-022
03520 234.0 004.0 0000.0 100 100 5.8e-022
03580 233.0 003.8 0000.0 100 100 2.0e-021
03640 ///// ///// 0000.0 000 000 2.4e-021
03700 234.0 001.5 0000.0 100 100 9.0e-022
03760 ///// ///// 0000.0 000 000 2.6e-021
03820 ///// ///// 0000.0 000 000 1.5e-021
03880 ///// ///// -000.6 000 000 4.4e-021
03940 ///// ///// 0000.0 000 000 2.3e-021
04000 ///// ///// 0000.0 000 000 2.7e-021
04060 ///// ///// -000.0 000 000 1.7e-021
04120 ///// ///// -001.0 000 000 1.7e-021
04180 ///// ///// 0000.0 000 000 2.5e-021
04240 ///// ///// 0000.0 000 000 1.2e-021
04300 ///// ///// 0000.0 000 000 3.9e-022
04360 ///// ///// 0000.0 000 000 2.6e-021
04420 ///// ///// 0000.0 000 000 1.5e-021
04480 ///// ///// 0000.0 000 000 1.1e-021
04540 ///// ///// 0000.0 000 000 2.4e-021
04600 ///// ///// 0000.0 000 000 1.3e-021
04660 ///// ///// 0000.0 000 000 1.2e-021
04720 ///// ///// 0001.3 000 000 4.1e-021
04780 ///// ///// 0000.0 000 000 2.9e-021
04840 ///// ///// -000.2 000 000 3.6e-021
04900 ///// ///// 0000.0 000 000 4.4e-021
04960 ///// ///// 0000.0 000 000 3.3e-021
05020 ///// ///// -000.4 000 000 1.5e-021
05080 ///// ///// 0000.0 000 000 3.1e-021
05140 ///// ///// 0000.0 000 000 1.6e-021
05200 ///// ///// 0000.0 000 000 3.3e-021
05260 ///// ///// 0000.0 000 000 3.2e-021
05320 ///// ///// 0000.0 000 000 1.3e-021
05380 ///// ///// 0000.0 000 000 3.2e-021
05440 ///// ///// 0000.0 000 000 6.7e-022
05500 ///// ///// 0000.0 000 000 4.1e-021
05560 ///// ///// 0000.0 000 000 3.7e-021
05620 ///// ///// 0000.0 000 000 1.8e-021
05680 ///// ///// 0000.3 000 000 1.6e-021
05740 ///// ///// 0000.0 000 000 5.5e-021
05800 ///// ///// 0000.0 000 000 1.4e-021
05860 ///// ///// 0000.0 000 000 4.8e-021
05920 ///// ///// 0001.4 000 000 5.8e-021
05980 ///// ///// -000.2 000 000 5.6e-021
NNNN
