WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629011500
ROBS
00100 052.0 001.8 0000.0 100 100 1.2e-021
00160 038.0 001.6 0000.0 100 100 2.7e-021
00220 023.0 001.4 0000.0 100 100 3.7e-021
00280 038.0 001.0 -000.0 100 100 8.1e-021
00340 046.0 001.0 0000.5 100 100 9.5e-021
00400 040.0 002.0 0000.0 100 100 6.7e-021
00460 090.0 001.7 0000.1 100 100 8.4e-021
00520 216.0 002.1 0000.1 100 100 8.1e-021
00580 220.0 001.9 0000.0 100 100 8.7e-021
00640 250.0 003.6 -000.4 100 100 2.9e-021
00700 221.0 005.5 -000.2 100 100 3.6e-021
00760 242.0 005.5 -000.3 100 100 7.0e-021
00820 232.0 007.3 -000.3 100 100 7.1e-021
00880 234.0 008.7 -000.4 100 100 7.6e-021
00940 239.0 013.3 -000.5 100 100 5.2e-021
01000 232.0 011.2 -000.6 100 100 8.7e-021
01060 230.0 011.1 -000.3 100 100 3.0e-021
01120 231.0 011.3 -000.3 100 100 2.9e-021
01180 230.0 011.8 -000.3 100 100 2.5e-021
01240 231.0 012.8 -000.2 100 100 2.9e-021
01300 228.0 013.5 -000.3 100 100 3.5e-021
01360 227.0 013.8 -000.3 100 100 3.6e-021
01420 228.0 014.5 -000.4 100 100 4.6e-021
01480 230.0 015.6 -000.4 100 100 7.1e-021
01540 229.0 017.1 -000.4 100 100 7.2e-021
01600 231.0 018.1 -000.2 100 100 9.1e-021
01660 230.0 017.2 -000.3 100 100 6.0e-021
01720 231.0 016.4 -000.1 100 100 3.8e-021
01780 235.0 016.4 -000.0 100 100 2.9e-021
01840 237.0 014.1 -000.4 100 100 5.3e-021
01900 239.0 015.4 -000.1 100 100 7.2e-021
01960 237.0 016.8 -000.3 100 100 4.9e-021
02020 243.0 017.1 -000.1 100 100 6.0e-021
02080 241.0 017.1 -000.3 100 100 5.1e-021
02140 238.0 017.1 -000.2 100 100 3.8e-021
02200 240.0 017.1 0000.0 100 100 3.2e-021
02260 237.0 014.5 -000.1 100 100 3.5e-021
02320 235.0 014.9 0000.0 100 100 3.3e-021
02380 237.0 014.7 0000.0 100 100 3.4e-021
02440 237.0 014.9 -000.1 100 100 4.5e-021
02500 237.0 015.0 0000.0 100 100 3.7e-021
02560 232.0 013.0 0000.0 100 100 3.4e-021
02620 235.0 013.7 -000.2 100 100 3.8e-021
02680 153.0 007.9 -000.6 100 100 2.1e-021
02740 ///// ///// 0000.0 000 000 6.3e-022
02800 ///// ///// 0000.0 000 000 1.4e-021
02860 ///// ///// 0000.0 000 000 1.8e-022
02920 ///// ///// 0000.0 000 000 5.2e-022
02980 ///// ///// -000.1 000 000 1.8e-021
03040 ///// ///// -000.6 000 000 2.1e-021
03100 239.0 012.1 0000.0 100 100 2.1e-021
03160 239.0 012.7 0000.1 100 100 3.2e-021
03220 242.0 012.0 -000.2 100 100 2.5e-021
03280 ///// ///// -001.0 000 000 2.9e-021
03340 234.0 012.9 0000.0 100 100 3.1e-021
03400 247.0 012.3 -000.3 100 100 2.9e-021
03460 ///// ///// 0000.0 000 000 2.7e-021
03520 246.0 010.8 0000.1 100 100 4.2e-021
03580 245.0 012.2 0000.0 100 100 5.9e-021
03640 245.0 010.9 0000.3 100 100 8.8e-021
03700 245.0 012.5 0000.0 100 100 6.6e-021
03760 251.0 011.5 0000.0 100 100 3.0e-021
03820 248.0 011.5 0000.5 100 100 4.5e-021
03880 250.0 012.2 0000.1 100 100 1.4e-021
03940 ///// ///// -000.1 000 000 5.1e-021
04000 266.0 012.0 0000.0 100 100 8.6e-022
04060 261.0 012.2 0000.0 100 100 2.8e-021
04120 256.0 012.5 0000.1 100 100 4.5e-021
04180 ///// ///// 0000.2 000 000 3.0e-021
04240 ///// ///// -000.1 000 000 3.7e-021
04300 ///// ///// -000.1 000 000 5.9e-021
04360 258.0 012.9 -000.2 100 100 8.7e-021
04420 267.0 012.7 -000.1 100 100 1.6e-020
04480 257.0 012.4 -000.0 100 100 1.9e-020
04540 258.0 012.2 0000.2 100 100 2.8e-020
04600 260.0 012.1 0000.3 100 100 4.0e-020
04660 260.0 012.4 0000.3 100 100 5.0e-020
04720 263.0 012.1 0000.2 100 100 4.3e-020
04780 261.0 012.0 0000.2 100 100 1.4e-020
04840 266.0 010.5 0000.2 100 100 1.2e-020
04900 263.0 010.8 0000.0 100 100 1.0e-020
04960 265.0 012.1 0000.0 100 100 1.2e-020
05020 ///// ///// 0000.2 000 000 5.4e-021
05080 ///// ///// 0000.1 000 000 8.9e-021
05140 ///// ///// -000.0 000 000 7.1e-021
05200 ///// ///// -000.0 000 000 9.3e-021
05260 ///// ///// -000.3 000 000 9.4e-021
05320 ///// ///// 0000.2 000 000 4.9e-021
05380 ///// ///// 0000.0 000 000 4.0e-021
05440 ///// ///// -000.0 000 000 4.2e-021
05500 ///// ///// 0000.1 000 000 5.2e-021
05560 ///// ///// 0001.1 000 000 5.6e-021
05620 ///// ///// 0000.0 000 000 3.2e-021
05680 ///// ///// 0000.0 000 000 5.6e-021
05740 ///// ///// 0000.0 000 000 7.8e-022
05800 ///// ///// 0000.0 000 000 2.4e-021
05860 ///// ///// -000.2 000 000 5.8e-021
05920 ///// ///// 0000.0 000 000 5.5e-021
05980 ///// ///// 0000.0 000 000 2.0e-021
NNNN
