WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629112500
ROBS
00100 110.0 006.7 0001.7 100 100 1.2e-021
00160 112.0 006.9 -000.1 100 100 4.1e-021
00220 115.0 007.0 0000.4 100 100 4.7e-021
00280 113.0 008.2 -000.1 100 100 3.3e-021
00340 126.0 006.6 -000.0 100 100 4.4e-021
00400 139.0 005.8 0000.3 100 100 4.5e-021
00460 144.0 006.5 0000.1 100 100 2.5e-020
00520 160.0 007.2 0000.1 100 100 3.9e-020
00580 161.0 008.1 -000.1 100 100 1.1e-020
00640 160.0 008.8 -000.2 100 100 1.9e-020
00700 161.0 009.4 -000.4 100 100 6.0e-021
00760 168.0 009.1 -000.2 100 100 1.1e-020
00820 169.0 010.1 -000.2 100 100 8.7e-021
00880 173.0 009.6 -000.1 100 100 1.6e-020
00940 174.0 008.3 -000.0 100 100 1.8e-020
01000 203.0 008.7 -000.0 100 100 4.4e-020
01060 183.0 008.2 -000.3 100 100 4.9e-020
01120 186.0 007.6 -000.1 100 100 3.3e-020
01180 188.0 006.1 -000.1 100 100 1.6e-020
01240 187.0 005.5 -000.0 100 100 2.5e-020
01300 191.0 005.3 0000.2 100 100 2.0e-020
01360 199.0 005.8 0000.2 100 100 1.3e-020
01420 212.0 006.8 -000.0 100 100 1.1e-020
01480 218.0 006.6 0000.2 100 100 1.5e-020
01540 222.0 007.9 0000.1 100 100 2.7e-020
01600 227.0 008.4 0000.1 100 100 2.8e-020
01660 229.0 009.4 0000.2 100 100 3.2e-020
01720 232.0 010.3 0000.1 100 100 1.6e-020
01780 233.0 010.9 0000.1 100 100 9.8e-021
01840 232.0 010.3 0000.2 100 100 1.3e-020
01900 231.0 010.3 0000.0 100 100 1.0e-020
01960 232.0 010.2 0000.0 100 100 1.0e-020
02020 233.0 010.5 -000.0 100 100 1.0e-020
02080 233.0 010.2 0000.0 100 100 8.0e-021
02140 231.0 010.0 -000.1 100 100 6.5e-021
02200 228.0 009.9 -003.0 100 100 4.9e-021
02260 230.0 009.9 -000.2 100 100 3.6e-021
02320 230.0 009.9 0000.0 100 100 3.0e-021
02380 231.0 009.9 -000.1 100 100 3.3e-021
02440 229.0 009.5 -000.2 100 100 4.4e-021
02500 231.0 009.4 0000.0 100 100 3.2e-021
02560 236.0 009.0 -000.5 100 100 4.4e-021
02620 233.0 009.4 -000.3 100 100 5.3e-021
02680 233.0 009.6 -000.1 100 100 4.3e-021
02740 232.0 010.3 -000.5 100 100 3.0e-021
02800 229.0 009.6 -000.2 100 100 3.6e-021
02860 233.0 009.4 0000.0 100 100 2.2e-021
02920 233.0 009.3 -000.3 100 100 2.7e-021
02980 231.0 009.2 0000.0 100 100 2.2e-021
03040 232.0 009.4 0000.0 100 100 3.4e-021
03100 231.0 009.3 0000.0 100 100 2.7e-021
03160 231.0 009.5 0000.0 100 100 3.3e-021
03220 233.0 009.2 0000.0 100 100 1.6e-021
03280 234.0 009.3 0000.0 100 100 8.6e-022
03340 237.0 009.5 0000.0 100 100 2.9e-021
03400 237.0 008.9 0000.0 100 100 1.4e-021
03460 230.0 006.8 0000.0 100 100 1.1e-021
03520 229.0 004.8 -000.2 100 100 2.6e-021
03580 237.0 004.7 0000.0 100 100 2.2e-021
03640 266.0 003.6 0000.0 100 100 2.0e-021
03700 ///// ///// 0000.0 000 000 6.0e-022
03760 ///// ///// 0000.0 000 000 1.9e-021
03820 ///// ///// 0000.0 000 000 1.5e-021
03880 ///// ///// 0000.0 000 000 1.8e-021
03940 ///// ///// 0000.0 000 000 1.9e-021
04000 ///// ///// 0001.1 000 000 2.2e-021
04060 ///// ///// -001.3 000 000 9.2e-022
04120 ///// ///// 0000.0 000 000 1.6e-021
04180 ///// ///// -000.2 000 000 2.9e-021
04240 ///// ///// -000.0 000 000 4.1e-021
04300 237.0 011.3 -000.0 100 100 3.7e-021
04360 237.0 011.2 -000.3 100 100 1.0e-020
04420 236.0 012.0 -000.1 100 100 2.2e-020
04480 235.0 011.7 -000.0 100 100 2.5e-020
04540 237.0 011.9 -000.1 100 100 1.7e-020
04600 242.0 010.7 0000.0 100 100 1.1e-020
04660 240.0 011.1 0000.0 100 100 5.5e-021
04720 239.0 011.5 -000.1 100 100 8.1e-021
04780 242.0 012.3 0000.0 100 100 5.3e-021
04840 ///// ///// 0000.0 000 000 1.4e-021
04900 ///// ///// 0000.9 000 000 4.3e-021
04960 ///// ///// 0000.0 000 000 1.4e-021
05020 ///// ///// 0000.0 000 000 1.2e-021
05080 ///// ///// 0000.5 000 000 1.6e-021
05140 ///// ///// 0000.4 000 000 4.7e-021
05200 ///// ///// 0000.4 000 000 4.6e-021
05260 ///// ///// 0000.6 000 000 5.4e-021
05320 ///// ///// 0000.6 000 000 5.4e-021
05380 ///// ///// 0000.6 000 000 5.6e-021
05440 ///// ///// 0000.0 000 000 4.5e-021
05500 ///// ///// 0000.4 000 000 6.0e-021
05560 ///// ///// 0000.7 000 000 5.9e-021
05620 ///// ///// 0000.3 000 000 6.6e-021
05680 ///// ///// 0000.0 000 000 5.7e-021
05740 ///// ///// 0000.0 000 000 3.6e-021
05800 ///// ///// 0000.0 000 000 2.6e-021
05860 ///// ///// 0000.0 000 000 4.2e-021
05920 ///// ///// 0000.0 000 000 1.9e-021
05980 ///// ///// 0000.0 000 000 5.1e-021
NNNN
