WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130628002000
ROBS
00100 112.0 002.1 0000.8 100 100 8.6e-022
00160 119.0 000.9 0000.4 100 100 1.7e-021
00220 191.0 001.1 0000.0 100 100 2.8e-021
00280 242.0 000.5 0000.4 100 100 5.3e-021
00340 119.0 000.5 0000.3 100 100 2.0e-020
00400 241.0 001.2 0000.2 100 100 4.2e-020
00460 192.0 001.2 0000.2 100 100 2.8e-020
00520 270.0 002.2 0000.0 100 100 5.1e-020
00580 245.0 003.8 0000.1 100 100 9.1e-020
00640 236.0 003.7 -000.2 100 100 2.1e-019
00700 235.0 005.1 -000.3 100 100 3.4e-019
00760 228.0 007.0 -000.2 100 100 1.8e-019
00820 227.0 009.0 0000.1 100 100 6.7e-020
00880 225.0 010.6 -000.0 100 100 1.6e-020
00940 227.0 013.1 -000.0 100 100 8.8e-021
01000 222.0 011.9 -000.1 100 100 6.0e-021
01060 226.0 012.9 0000.1 100 100 2.1e-021
01120 228.0 013.0 -000.1 100 100 2.3e-021
01180 229.0 013.1 -000.1 100 100 2.4e-021
01240 231.0 013.8 -000.4 100 100 2.7e-021
01300 232.0 014.5 -000.3 100 100 4.0e-021
01360 234.0 014.8 -000.2 100 100 8.1e-021
01420 237.0 015.4 -000.1 100 100 7.5e-021
01480 237.0 015.8 -000.4 100 100 6.2e-021
01540 237.0 016.1 -000.2 100 100 5.2e-021
01600 242.0 016.3 -000.5 100 100 6.9e-021
01660 243.0 017.2 -000.2 100 100 8.1e-021
01720 240.0 016.8 -000.0 100 100 7.8e-021
01780 242.0 017.7 0001.0 100 100 6.8e-021
01840 236.0 015.1 0000.6 100 100 2.6e-021
01900 244.0 014.3 -000.0 100 100 2.9e-021
01960 238.0 014.1 0000.0 100 100 1.7e-021
02020 241.0 015.8 0000.0 100 100 1.9e-021
02080 242.0 017.0 0000.0 100 100 2.1e-021
02140 240.0 016.1 0000.0 100 100 1.6e-021
02200 240.0 015.0 0000.1 100 100 1.7e-021
02260 240.0 014.9 0000.2 100 100 2.0e-021
02320 238.0 014.4 0000.2 100 100 3.1e-021
02380 237.0 014.8 0000.5 100 100 3.4e-021
02440 237.0 014.0 0001.3 100 100 3.9e-021
02500 237.0 014.0 0000.0 100 100 2.2e-021
02560 234.0 013.1 0000.0 100 100 5.2e-021
02620 237.0 014.2 -000.1 100 100 5.9e-021
02680 237.0 014.1 0000.1 100 100 7.2e-021
02740 237.0 013.6 0000.1 100 100 6.8e-021
02800 233.0 013.4 0000.1 100 100 6.6e-021
02860 236.0 013.2 0000.5 100 100 8.7e-021
02920 235.0 013.4 0000.5 100 100 1.9e-020
02980 233.0 013.9 0000.4 100 100 5.8e-020
03040 232.0 014.6 0000.3 100 100 4.2e-020
03100 234.0 015.8 0000.0 100 100 8.2e-021
03160 233.0 013.6 0000.0 100 100 1.5e-020
03220 231.0 014.1 0000.0 100 100 1.2e-020
03280 231.0 014.3 0000.0 100 100 1.2e-020
03340 231.0 014.4 0000.0 100 100 1.4e-020
03400 232.0 014.4 0000.0 100 100 1.4e-020
03460 230.0 012.7 0000.0 100 100 2.8e-021
03520 227.0 012.1 0000.0 100 100 3.0e-021
03580 226.0 011.8 -002.5 100 100 1.3e-021
03640 228.0 012.4 0000.4 100 100 3.1e-021
03700 ///// ///// 0000.3 000 000 3.1e-021
03760 ///// ///// 0000.0 000 000 8.3e-022
03820 ///// ///// 0000.0 000 000 3.3e-021
03880 ///// ///// 0000.0 000 000 2.4e-021
03940 244.0 014.9 -000.0 100 100 2.8e-021
04000 240.0 013.7 -000.1 100 100 5.9e-021
04060 237.0 012.8 0000.0 100 100 4.0e-021
04120 244.0 011.6 0000.2 100 100 3.7e-021
04180 ///// ///// 0000.0 000 000 2.8e-021
04240 243.0 015.1 0000.0 100 100 2.5e-021
04300 246.0 016.9 0000.0 100 100 2.2e-021
04360 251.0 014.5 0000.0 100 100 1.5e-021
04420 248.0 013.9 0000.0 100 100 3.6e-021
04480 ///// ///// 0000.0 000 000 1.3e-021
04540 ///// ///// 0000.0 000 000 4.6e-022
04600 ///// ///// 0000.0 000 000 1.1e-021
04660 ///// ///// 0000.0 000 000 3.3e-021
04720 ///// ///// 0000.0 000 000 1.2e-021
04780 ///// ///// 0000.0 000 000 3.1e-021
04840 ///// ///// 0000.0 000 000 1.2e-021
04900 ///// ///// 0000.0 000 000 3.5e-021
04960 ///// ///// 0000.0 000 000 4.0e-021
05020 ///// ///// 0000.1 000 000 4.3e-021
05080 ///// ///// -001.0 000 000 3.1e-021
05140 ///// ///// 0000.0 000 000 3.1e-021
05200 ///// ///// 0000.0 000 000 1.3e-021
05260 ///// ///// 0001.3 000 000 3.3e-021
05320 ///// ///// 0000.0 000 000 2.8e-021
05380 ///// ///// 0000.0 000 000 3.8e-021
05440 ///// ///// 0000.0 000 000 9.6e-022
05500 ///// ///// -000.1 000 000 3.8e-021
05560 ///// ///// 0000.0 000 000 1.9e-021
05620 ///// ///// 0000.0 000 000 2.5e-021
05680 ///// ///// 0000.0 000 000 1.6e-021
05740 ///// ///// 0000.0 000 000 2.2e-021
05800 ///// ///// 0000.0 000 000 1.4e-021
05860 ///// ///// 0000.0 000 000 4.9e-021
05920 ///// ///// 0000.0 000 000 2.7e-021
05980 ///// ///// 0000.0 000 000 1.3e-021
NNNN
