WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130628005500
ROBS
00100 028.0 001.7 -000.4 100 100 5.5e-021
00160 001.0 001.6 0000.5 100 100 2.2e-020
00220 026.0 001.6 0000.2 100 100 2.1e-020
00280 040.0 001.3 0000.2 100 100 8.6e-021
00340 040.0 001.5 0000.2 100 100 1.5e-020
00400 347.0 002.1 -000.0 100 100 2.1e-020
00460 053.0 001.6 -000.0 100 100 5.1e-020
00520 288.0 002.0 -000.0 100 100 3.5e-020
00580 284.0 001.9 0000.1 100 100 2.2e-020
00640 280.0 002.3 -000.0 100 100 2.5e-020
00700 254.0 002.6 -000.1 100 100 1.8e-020
00760 235.0 003.4 -000.1 100 100 4.0e-020
00820 229.0 005.4 -000.2 100 100 8.5e-020
00880 234.0 006.6 -000.2 100 100 3.6e-020
00940 235.0 008.1 -000.3 100 100 1.7e-020
01000 242.0 010.2 0000.1 100 100 4.3e-021
01060 234.0 009.2 -000.1 100 100 8.8e-022
01120 233.0 009.3 -000.6 100 100 7.4e-022
01180 230.0 009.8 0000.2 100 100 1.4e-021
01240 230.0 010.4 -000.2 100 100 1.4e-021
01300 230.0 010.4 -000.5 100 100 1.8e-021
01360 230.0 011.9 -000.5 100 100 3.2e-021
01420 231.0 012.1 -000.5 100 100 3.5e-021
01480 227.0 013.1 -000.1 100 100 5.0e-021
01540 229.0 013.9 -000.2 100 100 4.7e-021
01600 231.0 014.5 -000.0 100 100 5.4e-021
01660 229.0 015.8 -000.2 100 100 3.6e-021
01720 236.0 014.7 -000.1 100 100 3.5e-021
01780 237.0 015.6 -000.3 100 100 2.8e-021
01840 232.0 018.1 -000.2 100 100 2.7e-021
01900 244.0 018.0 0000.1 100 100 2.0e-021
01960 238.0 018.3 -000.1 100 100 5.0e-021
02020 235.0 017.6 0000.1 100 100 7.2e-021
02080 231.0 018.7 -000.2 100 100 4.3e-021
02140 234.0 016.8 0000.1 100 100 2.9e-021
02200 218.0 015.2 -000.3 100 100 3.6e-021
02260 221.0 016.0 0001.0 100 100 3.1e-021
02320 230.0 014.9 0000.0 100 100 1.9e-021
02380 227.0 014.0 0000.2 100 100 3.2e-021
02440 229.0 013.8 0000.3 100 100 5.3e-021
02500 233.0 013.3 0000.2 100 100 6.1e-021
02560 232.0 013.6 0000.2 100 100 8.8e-021
02620 233.0 013.6 0000.1 100 100 9.1e-021
02680 232.0 012.9 -000.3 100 100 7.7e-021
02740 234.0 013.0 0000.0 100 100 8.5e-021
02800 233.0 012.8 0000.0 100 100 7.5e-021
02860 234.0 012.7 0000.0 100 100 7.9e-021
02920 231.0 012.8 0000.0 100 100 5.1e-021
02980 231.0 013.0 0000.0 100 100 5.9e-021
03040 233.0 012.8 0000.0 100 100 5.5e-021
03100 237.0 010.9 0000.0 100 100 2.0e-021
03160 242.0 009.6 0000.0 100 100 1.1e-021
03220 246.0 009.6 0000.0 100 100 1.5e-021
03280 272.0 007.1 0000.0 100 100 1.8e-021
03340 ///// ///// 0000.0 000 000 1.5e-021
03400 263.0 005.3 0000.0 100 100 2.5e-021
03460 256.0 010.1 0000.0 100 100 2.6e-021
03520 263.0 012.3 0000.0 100 100 2.5e-021
03580 ///// ///// 0000.0 000 000 6.3e-022
03640 ///// ///// 0000.0 000 000 2.2e-021
03700 ///// ///// 0000.0 000 000 2.2e-021
03760 ///// ///// 0000.0 000 000 2.0e-021
03820 ///// ///// 0000.0 000 000 9.2e-022
03880 ///// ///// 0000.0 000 000 1.0e-021
03940 ///// ///// -000.3 000 000 3.5e-021
04000 ///// ///// -000.3 000 000 3.5e-021
04060 ///// ///// -000.1 000 000 2.5e-021
04120 ///// ///// 0000.0 000 000 4.1e-021
04180 ///// ///// -000.4 000 000 7.6e-021
04240 ///// ///// 0000.0 000 000 3.3e-021
04300 ///// ///// 0000.2 000 000 1.3e-021
04360 ///// ///// 0000.0 000 000 2.6e-021
04420 ///// ///// 0000.0 000 000 4.8e-021
04480 ///// ///// 0000.0 000 000 1.1e-021
04540 ///// ///// 0000.0 000 000 1.3e-021
04600 ///// ///// 0000.0 000 000 9.3e-022
04660 ///// ///// 0000.0 000 000 2.7e-021
04720 ///// ///// 0000.0 000 000 2.1e-021
04780 ///// ///// 0000.0 000 000 4.5e-022
04840 ///// ///// 0001.0 000 000 3.6e-021
04900 ///// ///// 0000.0 000 000 3.5e-021
04960 ///// ///// 0000.0 000 000 2.5e-021
05020 ///// ///// 0000.0 000 000 8.6e-022
05080 ///// ///// 0001.2 000 000 4.4e-021
05140 ///// ///// 0000.0 000 000 1.6e-021
05200 ///// ///// 0000.0 000 000 4.7e-021
05260 ///// ///// 0000.0 000 000 4.0e-021
05320 ///// ///// 0001.2 000 000 2.1e-021
05380 ///// ///// -001.1 000 000 4.3e-021
05440 ///// ///// 0000.0 000 000 3.0e-021
05500 ///// ///// 0000.8 000 000 5.2e-021
05560 ///// ///// 0000.0 000 000 1.1e-021
05620 ///// ///// 0000.0 000 000 3.4e-021
05680 ///// ///// 0000.0 000 000 1.0e-021
05740 ///// ///// 0000.3 000 000 5.1e-021
05800 ///// ///// 0000.0 000 000 5.0e-021
05860 ///// ///// 0000.0 000 000 1.4e-021
05920 ///// ///// 0000.3 000 000 6.4e-021
05980 ///// ///// 0000.0 000 000 8.2e-022
NNNN
