WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629030500
ROBS
00100 040.0 001.5 0002.6 100 100 1.6e-021
00160 072.0 001.2 0002.6 100 100 3.0e-021
00220 063.0 000.9 0002.6 100 100 3.2e-021
00280 104.0 002.1 0000.1 100 100 5.9e-021
00340 091.0 000.9 0000.1 100 100 4.5e-021
00400 144.0 001.2 0000.3 100 100 3.5e-021
00460 168.0 001.2 0000.1 100 100 3.9e-021
00520 176.0 002.0 0000.2 100 100 7.5e-021
00580 194.0 002.4 0000.1 100 100 1.1e-020
00640 219.0 001.9 0000.2 100 100 1.8e-020
00700 237.0 003.7 -000.0 100 100 2.5e-020
00760 232.0 006.7 -000.3 100 100 2.5e-020
00820 228.0 008.5 -000.4 100 100 2.4e-020
00880 226.0 010.4 -000.5 100 100 1.1e-020
00940 225.0 010.8 -000.3 100 100 6.6e-021
01000 229.0 011.2 -000.2 100 100 4.1e-021
01060 228.0 011.4 -000.2 100 100 2.0e-021
01120 229.0 012.6 -000.2 100 100 1.2e-021
01180 227.0 012.3 -000.2 100 100 1.7e-021
01240 231.0 012.5 -000.2 100 100 2.2e-021
01300 231.0 012.1 -000.1 100 100 3.3e-021
01360 233.0 013.4 -000.0 100 100 5.3e-021
01420 235.0 014.0 -000.1 100 100 9.0e-021
01480 237.0 015.2 -000.1 100 100 1.2e-020
01540 236.0 016.5 -000.1 100 100 1.3e-020
01600 238.0 018.0 -000.3 100 100 1.1e-020
01660 241.0 018.7 -000.3 100 100 5.3e-021
01720 244.0 016.5 -000.5 100 100 2.6e-021
01780 244.0 016.0 -000.1 100 100 1.9e-021
01840 249.0 016.7 -000.5 100 100 1.9e-021
01900 247.0 015.8 0000.0 100 100 9.1e-022
01960 247.0 015.9 0001.4 100 100 1.4e-021
02020 250.0 015.9 0000.0 100 100 2.1e-021
02080 254.0 016.7 0000.0 100 100 2.0e-021
02140 250.0 014.8 0000.1 100 100 3.2e-021
02200 250.0 014.9 0000.0 100 100 1.1e-021
02260 250.0 015.0 0000.0 100 100 2.5e-021
02320 248.0 015.4 -000.4 100 100 2.6e-021
02380 259.0 015.2 -000.6 100 100 2.8e-021
02440 245.0 013.1 -000.3 100 100 2.9e-021
02500 245.0 013.5 0000.0 100 100 1.7e-021
02560 241.0 013.6 0000.0 100 100 1.7e-021
02620 244.0 012.5 -001.3 100 100 2.0e-021
02680 244.0 012.6 0000.0 100 100 9.7e-022
02740 244.0 012.8 0000.0 100 100 2.3e-021
02800 244.0 012.9 0000.4 100 100 2.8e-021
02860 245.0 013.7 0000.0 100 100 2.0e-021
02920 242.0 014.1 -000.1 100 100 2.2e-021
02980 239.0 011.6 -000.0 100 100 2.2e-021
03040 ///// ///// 0000.0 000 000 2.1e-021
03100 ///// ///// 0000.0 000 000 2.2e-021
03160 ///// ///// 0000.0 000 000 1.0e-021
03220 ///// ///// 0000.2 000 000 2.8e-021
03280 ///// ///// -000.2 000 000 2.0e-021
03340 ///// ///// 0000.0 000 000 1.7e-021
03400 ///// ///// 0000.0 000 000 7.5e-022
03460 ///// ///// 0000.0 000 000 1.3e-021
03520 ///// ///// -000.2 000 000 2.1e-021
03580 ///// ///// 0000.0 000 000 1.5e-021
03640 ///// ///// 0000.0 000 000 2.6e-021
03700 ///// ///// 0000.0 000 000 2.7e-022
03760 ///// ///// 0000.8 000 000 2.3e-021
03820 ///// ///// 0000.1 000 000 2.4e-021
03880 ///// ///// 0000.0 000 000 8.8e-022
03940 ///// ///// 0000.0 000 000 3.3e-022
04000 ///// ///// 0000.0 000 000 2.0e-021
04060 ///// ///// 0000.0 000 000 1.8e-021
04120 ///// ///// 0000.0 000 000 4.8e-021
04180 ///// ///// 0000.0 000 000 4.7e-021
04240 ///// ///// -001.4 000 000 4.7e-021
04300 ///// ///// -000.2 000 000 3.6e-021
04360 ///// ///// 0000.0 000 000 2.7e-021
04420 ///// ///// 0000.0 000 000 1.4e-021
04480 ///// ///// 0000.0 000 000 1.0e-021
04540 ///// ///// 0000.0 000 000 9.0e-022
04600 ///// ///// 0000.0 000 000 3.2e-021
04660 ///// ///// -000.7 000 000 4.6e-021
04720 ///// ///// -001.2 000 000 5.6e-021
04780 ///// ///// -000.9 000 000 3.9e-021
04840 ///// ///// 0000.1 000 000 2.1e-021
04900 ///// ///// 0000.0 000 000 1.3e-021
04960 ///// ///// 0000.0 000 000 4.5e-021
05020 ///// ///// 0000.0 000 000 5.2e-022
05080 ///// ///// 0000.0 000 000 1.4e-021
05140 ///// ///// 0000.0 000 000 1.4e-021
05200 ///// ///// -000.3 000 000 4.4e-021
05260 ///// ///// 0000.0 000 000 2.9e-021
05320 ///// ///// 0000.2 000 000 3.6e-021
05380 ///// ///// -000.2 000 000 4.6e-021
05440 ///// ///// 0000.0 000 000 1.1e-021
05500 ///// ///// 0000.4 000 000 5.6e-021
05560 ///// ///// 0000.4 000 000 5.0e-021
05620 ///// ///// 0000.0 000 000 5.8e-021
05680 ///// ///// 0000.0 000 000 9.5e-022
05740 ///// ///// 0000.9 000 000 6.0e-021
05800 ///// ///// 0000.5 000 000 4.8e-021
05860 ///// ///// 0000.0 000 000 4.3e-021
05920 ///// ///// 0000.9 000 000 5.0e-021
05980 ///// ///// 0000.0 000 000 4.6e-021
NNNN
