WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130628001000
ROBS
00100 082.0 002.6 -000.4 100 100 3.0e-021
00160 076.0 001.3 -000.5 100 100 7.0e-021
00220 120.0 001.1 -000.3 100 100 6.6e-021
00280 185.0 000.8 -000.3 100 100 3.9e-021
00340 073.0 000.6 -000.2 100 100 6.6e-021
00400 174.0 001.4 0000.1 100 100 1.5e-020
00460 231.0 001.3 0000.3 100 100 4.0e-020
00520 230.0 000.5 0000.1 100 100 6.8e-020
00580 258.0 002.0 0000.0 100 100 4.0e-020
00640 257.0 003.4 0000.0 100 100 9.3e-020
00700 249.0 004.6 0000.1 100 100 2.2e-019
00760 242.0 005.9 0000.0 100 100 2.0e-019
00820 235.0 007.3 -000.1 100 100 4.1e-020
00880 228.0 009.5 -000.3 100 100 3.1e-020
00940 226.0 010.6 -000.2 100 100 1.3e-020
01000 226.0 012.4 -000.2 100 100 9.2e-021
01060 224.0 012.0 -000.3 100 100 3.0e-021
01120 224.0 012.9 -000.2 100 100 3.5e-021
01180 227.0 013.9 -000.1 100 100 2.2e-021
01240 228.0 014.3 -000.3 100 100 3.2e-021
01300 231.0 015.1 -000.4 100 100 3.3e-021
01360 233.0 015.4 -000.5 100 100 1.9e-021
01420 234.0 014.7 -000.2 100 100 2.3e-021
01480 234.0 015.0 -000.3 100 100 5.9e-021
01540 236.0 016.0 -000.4 100 100 9.4e-021
01600 238.0 016.5 -000.5 100 100 9.6e-021
01660 241.0 017.0 -000.5 100 100 1.5e-020
01720 240.0 017.3 -001.2 100 100 7.2e-021
01780 244.0 016.5 -000.4 100 100 2.8e-021
01840 241.0 017.4 -000.3 100 100 3.0e-021
01900 250.0 015.6 0000.0 100 100 2.3e-021
01960 250.0 015.7 -000.9 100 100 3.2e-021
02020 249.0 016.0 0000.0 100 100 4.0e-021
02080 249.0 016.1 -000.7 100 100 3.2e-021
02140 243.0 015.7 0000.0 100 100 1.3e-021
02200 242.0 015.9 0000.0 100 100 9.5e-022
02260 234.0 012.2 -000.5 100 100 4.7e-022
02320 236.0 012.6 -000.3 100 100 1.3e-021
02380 239.0 013.7 0000.0 100 100 8.6e-022
02440 237.0 013.9 0000.0 100 100 5.0e-022
02500 236.0 014.7 -000.6 100 100 2.8e-021
02560 239.0 014.7 0000.0 100 100 4.2e-021
02620 241.0 014.1 -000.1 100 100 3.3e-021
02680 242.0 014.1 0000.0 100 100 2.7e-021
02740 239.0 014.4 -000.3 100 100 3.2e-021
02800 239.0 015.0 0000.1 100 100 5.4e-021
02860 238.0 013.9 -000.0 100 100 8.9e-021
02920 237.0 013.6 -000.1 100 100 8.6e-021
02980 236.0 015.5 -001.3 100 100 4.9e-021
03040 235.0 015.5 0000.0 100 100 2.1e-021
03100 245.0 014.3 -001.1 100 100 1.4e-021
03160 241.0 012.1 0000.0 100 100 1.8e-021
03220 236.0 011.3 0000.0 100 100 1.8e-021
03280 226.0 009.7 0000.0 100 100 2.1e-021
03340 220.0 009.3 -000.2 100 100 2.8e-021
03400 234.0 012.8 0000.0 100 100 2.4e-021
03460 241.0 014.3 0000.0 100 100 3.7e-021
03520 246.0 015.7 0000.0 100 100 2.2e-021
03580 239.0 016.4 0000.0 100 100 1.8e-021
03640 279.0 013.2 0000.0 100 100 1.8e-021
03700 261.0 012.4 0000.0 100 100 1.2e-021
03760 254.0 012.8 0000.0 100 100 1.1e-021
03820 242.0 014.1 0000.0 100 100 9.8e-022
03880 ///// ///// 0000.4 000 000 3.0e-021
03940 265.0 012.1 0000.0 100 100 2.4e-021
04000 ///// ///// 0000.0 000 000 2.8e-021
04060 ///// ///// 0000.4 000 000 9.1e-022
04120 ///// ///// 0000.0 000 000 8.6e-022
04180 ///// ///// -000.4 000 000 2.4e-021
04240 ///// ///// -000.6 000 000 4.4e-021
04300 243.0 013.0 0000.0 100 100 4.3e-021
04360 238.0 014.0 0000.0 100 100 5.9e-021
04420 238.0 013.9 0000.0 100 100 6.2e-021
04480 ///// ///// 0000.6 000 000 3.5e-021
04540 ///// ///// 0000.0 000 000 1.0e-021
04600 ///// ///// -000.6 000 000 1.4e-021
04660 ///// ///// 0000.7 000 000 3.2e-021
04720 ///// ///// 0000.0 000 000 2.6e-021
04780 ///// ///// 0000.0 000 000 2.8e-021
04840 ///// ///// 0000.0 000 000 1.4e-021
04900 ///// ///// 0000.0 000 000 3.3e-021
04960 ///// ///// 0000.0 000 000 1.9e-021
05020 ///// ///// 0000.0 000 000 2.5e-021
05080 ///// ///// 0000.0 000 000 1.5e-021
05140 ///// ///// -000.8 000 000 4.1e-021
05200 ///// ///// 0000.0 000 000 4.9e-021
05260 ///// ///// 0000.0 000 000 1.5e-021
05320 ///// ///// 0000.0 000 000 1.5e-021
05380 ///// ///// 0000.0 000 000 5.0e-021
05440 ///// ///// 0000.0 000 000 4.3e-021
05500 ///// ///// 0000.2 000 000 2.6e-021
05560 ///// ///// 0000.0 000 000 1.9e-021
05620 ///// ///// 0000.0 000 000 1.1e-021
05680 ///// ///// 0000.0 000 000 1.7e-021
05740 ///// ///// 0000.0 000 000 4.2e-021
05800 ///// ///// 0000.0 000 000 2.1e-021
05860 ///// ///// 0000.0 000 000 2.3e-021
05920 ///// ///// 0000.0 000 000 2.7e-021
05980 ///// ///// 0000.0 000 000 1.8e-021
NNNN
