WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629024000
ROBS
00100 010.0 004.5 0000.2 100 100 1.2e-021
00160 012.0 004.3 0000.2 100 100 2.2e-021
00220 037.0 002.0 0000.2 100 100 2.1e-021
00280 113.0 001.7 0000.1 100 100 4.1e-021
00340 125.0 001.2 0000.2 100 100 6.3e-021
00400 112.0 001.7 0000.2 100 100 3.2e-021
00460 099.0 002.1 0000.3 100 100 4.2e-021
00520 121.0 002.3 0000.3 100 100 1.5e-020
00580 146.0 001.4 0000.3 100 100 2.2e-020
00640 205.0 001.1 -000.0 100 100 1.3e-020
00700 249.0 003.3 -000.2 100 100 2.1e-020
00760 233.0 006.3 0000.3 100 100 3.0e-020
00820 228.0 007.7 0000.1 100 100 3.9e-020
00880 222.0 010.3 0000.3 100 100 1.4e-020
00940 224.0 010.7 0000.0 100 100 4.5e-021
01000 229.0 011.4 0000.3 100 100 5.6e-021
01060 223.0 011.6 0000.1 100 100 8.2e-022
01120 225.0 011.6 0000.1 100 100 1.4e-021
01180 227.0 012.1 0000.0 100 100 3.0e-021
01240 228.0 012.4 -000.1 100 100 7.4e-021
01300 231.0 013.5 0000.0 100 100 1.1e-020
01360 235.0 014.6 0000.0 100 100 9.6e-021
01420 237.0 014.9 -000.0 100 100 9.4e-021
01480 239.0 015.9 -000.2 100 100 4.8e-021
01540 241.0 017.4 -000.4 100 100 2.1e-021
01600 239.0 019.5 -000.1 100 100 2.7e-021
01660 240.0 019.9 0000.0 100 100 2.6e-021
01720 240.0 020.9 -000.3 100 100 3.8e-021
01780 239.0 017.4 0000.2 100 100 1.8e-021
01840 240.0 016.5 -000.0 100 100 2.1e-021
01900 241.0 015.4 -000.6 100 100 2.7e-021
01960 236.0 013.6 -000.1 100 100 2.5e-021
02020 237.0 013.9 -000.2 100 100 2.4e-021
02080 245.0 014.3 -000.4 100 100 3.2e-021
02140 239.0 011.8 -000.1 100 100 2.2e-021
02200 221.0 008.8 0000.0 100 100 1.9e-021
02260 225.0 008.3 -000.2 100 100 1.8e-021
02320 230.0 009.4 -000.3 100 100 2.0e-021
02380 237.0 012.6 -000.3 100 100 3.2e-021
02440 230.0 011.3 0000.0 100 100 2.1e-021
02500 230.0 010.9 -000.8 100 100 9.7e-022
02560 228.0 011.4 -000.5 100 100 4.1e-021
02620 229.0 011.3 -000.2 100 100 2.3e-021
02680 230.0 011.3 0000.0 100 100 3.0e-021
02740 230.0 011.4 0000.0 100 100 3.0e-021
02800 238.0 014.4 0000.0 100 100 2.6e-021
02860 241.0 015.6 -000.8 100 100 1.8e-021
02920 223.0 009.7 0001.2 100 100 2.4e-021
02980 231.0 010.4 0000.0 100 100 1.3e-021
03040 198.0 005.5 0000.0 100 100 2.0e-022
03100 235.0 010.1 0000.1 100 100 1.1e-021
03160 238.0 009.9 0000.0 100 100 8.0e-022
03220 244.0 010.1 0000.0 100 100 1.1e-021
03280 244.0 010.5 0000.0 100 100 6.9e-022
03340 246.0 010.5 0000.0 100 100 7.7e-022
03400 246.0 010.7 0000.0 100 100 9.2e-022
03460 250.0 013.6 -000.5 100 100 9.4e-022
03520 232.0 006.8 0001.1 100 100 5.8e-022
03580 ///// ///// 0000.0 000 000 7.3e-022
03640 ///// ///// 0000.7 000 000 8.5e-022
03700 ///// ///// -000.0 000 000 2.6e-021
03760 ///// ///// 0000.0 000 000 1.8e-021
03820 ///// ///// 0000.0 000 000 1.9e-021
03880 ///// ///// 0000.0 000 000 9.9e-022
03940 ///// ///// 0000.3 000 000 2.6e-021
04000 ///// ///// 0000.3 000 000 3.3e-021
04060 ///// ///// 0000.0 000 000 3.8e-021
04120 ///// ///// 0000.0 000 000 1.6e-021
04180 ///// ///// 0000.7 000 000 2.6e-021
04240 ///// ///// 0000.0 000 000 7.6e-022
04300 ///// ///// -000.4 000 000 3.1e-021
04360 ///// ///// 0000.0 000 000 2.2e-021
04420 ///// ///// 0000.4 000 000 1.0e-021
04480 ///// ///// -000.5 000 000 3.8e-021
04540 ///// ///// 0000.0 000 000 1.7e-021
04600 ///// ///// -000.6 000 000 1.6e-021
04660 ///// ///// 0000.0 000 000 3.9e-021
04720 ///// ///// 0000.0 000 000 2.8e-021
04780 ///// ///// 0000.0 000 000 1.4e-021
04840 ///// ///// 0000.0 000 000 1.1e-021
04900 ///// ///// -000.2 000 000 3.8e-021
04960 ///// ///// 0000.0 000 000 1.6e-021
05020 ///// ///// 0000.4 000 000 3.1e-021
05080 ///// ///// 0000.0 000 000 3.5e-021
05140 ///// ///// 0000.0 000 000 1.4e-021
05200 ///// ///// 0000.0 000 000 1.5e-021
05260 ///// ///// 0000.0 000 000 3.5e-021
05320 ///// ///// 0000.2 000 000 4.0e-021
05380 ///// ///// 0000.0 000 000 4.1e-021
05440 ///// ///// 0000.0 000 000 2.4e-021
05500 ///// ///// 0000.0 000 000 3.5e-021
05560 ///// ///// 0000.0 000 000 5.4e-022
05620 ///// ///// 0000.0 000 000 7.1e-022
05680 ///// ///// 0001.3 000 000 5.3e-021
05740 ///// ///// -000.3 000 000 5.7e-021
05800 ///// ///// -000.8 000 000 4.7e-021
05860 ///// ///// 0000.8 000 000 1.7e-021
05920 ///// ///// 0000.0 000 000 4.7e-021
05980 ///// ///// 0000.0 000 000 3.0e-021
NNNN
