WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130628010500
ROBS
00100 328.0 003.0 0000.6 100 100 6.7e-021
00160 015.0 003.1 0000.2 100 100 2.4e-020
00220 345.0 003.1 0000.3 100 100 3.0e-020
00280 011.0 002.5 0000.4 100 100 1.7e-020
00340 008.0 002.0 0000.3 100 100 1.5e-020
00400 099.0 002.6 0000.4 100 100 3.3e-020
00460 129.0 002.2 0000.5 100 100 1.2e-019
00520 023.0 002.3 0000.3 100 100 1.5e-019
00580 355.0 001.7 0000.3 100 100 7.1e-020
00640 247.0 003.8 0000.3 100 100 3.3e-020
00700 257.0 003.8 -000.7 100 100 2.9e-020
00760 241.0 003.8 -000.4 100 100 5.4e-020
00820 215.0 004.3 -000.6 100 100 6.1e-020
00880 221.0 004.5 -000.5 100 100 3.0e-020
00940 234.0 005.9 -000.6 100 100 7.4e-020
01000 233.0 007.3 -000.5 100 100 5.5e-020
01060 233.0 006.8 -000.5 100 100 2.1e-020
01120 229.0 008.1 -000.7 100 100 7.0e-021
01180 226.0 010.2 -000.6 100 100 3.1e-021
01240 226.0 009.9 -000.7 100 100 1.6e-021
01300 231.0 010.4 -000.1 100 100 1.2e-021
01360 228.0 011.9 -000.3 100 100 1.3e-021
01420 228.0 012.4 -000.1 100 100 2.0e-021
01480 229.0 011.2 0003.4 100 100 1.6e-021
01540 231.0 013.4 -000.1 100 100 2.7e-021
01600 232.0 013.5 -000.1 100 100 4.9e-021
01660 234.0 013.3 0000.0 100 100 7.2e-021
01720 231.0 014.6 0000.1 100 100 1.2e-020
01780 233.0 014.5 0000.1 100 100 1.2e-020
01840 235.0 014.5 0000.2 100 100 1.1e-020
01900 235.0 015.1 -000.0 100 100 9.7e-021
01960 237.0 016.2 0000.1 100 100 8.1e-021
02020 240.0 017.0 -000.0 100 100 2.7e-021
02080 240.0 017.4 -000.0 100 100 3.9e-021
02140 238.0 017.0 0000.0 100 100 5.2e-021
02200 235.0 017.4 0000.4 100 100 5.5e-021
02260 230.0 018.8 0000.0 100 100 3.1e-021
02320 224.0 018.2 0000.0 100 100 2.3e-021
02380 229.0 015.4 0000.0 100 100 2.0e-021
02440 225.0 015.5 0000.0 100 100 2.1e-021
02500 222.0 014.8 -000.1 100 100 2.9e-021
02560 221.0 014.8 0000.1 100 100 3.5e-021
02620 220.0 014.6 0000.0 100 100 3.1e-021
02680 231.0 012.5 -000.0 100 100 5.7e-021
02740 232.0 012.7 -000.1 100 100 7.8e-021
02800 234.0 012.7 0000.0 100 100 2.6e-021
02860 234.0 012.6 0000.0 100 100 4.3e-021
02920 236.0 013.0 0000.0 100 100 5.3e-021
02980 237.0 007.8 -000.1 100 100 1.8e-021
03040 237.0 008.0 -000.1 100 100 1.6e-021
03100 244.0 007.2 0000.0 100 100 1.3e-021
03160 235.0 004.2 0000.0 100 100 1.9e-021
03220 259.0 007.2 0000.0 100 100 4.3e-022
03280 228.0 009.9 -000.2 100 100 2.5e-021
03340 229.0 010.0 -000.1 100 100 4.3e-021
03400 234.0 011.2 -000.2 100 100 3.1e-021
03460 242.0 011.5 0000.0 100 100 1.8e-021
03520 261.0 018.1 0000.3 100 100 7.1e-022
03580 ///// ///// 0000.0 000 000 7.0e-022
03640 ///// ///// 0000.9 000 000 2.4e-021
03700 ///// ///// 0000.0 000 000 2.9e-021
03760 ///// ///// 0000.0 000 000 1.2e-021
03820 ///// ///// 0000.0 000 000 1.9e-021
03880 ///// ///// 0000.0 000 000 2.3e-021
03940 ///// ///// 0000.3 000 000 3.1e-021
04000 ///// ///// 0000.0 000 000 2.0e-021
04060 ///// ///// 0000.0 000 000 2.2e-021
04120 ///// ///// 0000.0 000 000 3.0e-021
04180 ///// ///// 0000.0 000 000 2.6e-021
04240 ///// ///// 0000.0 000 000 3.5e-021
04300 ///// ///// 0000.0 000 000 1.7e-021
04360 ///// ///// 0000.0 000 000 2.8e-021
04420 ///// ///// 0000.0 000 000 2.0e-021
04480 ///// ///// 0000.0 000 000 1.2e-021
04540 ///// ///// -000.7 000 000 3.3e-021
04600 ///// ///// 0000.0 000 000 2.3e-021
04660 ///// ///// 0000.0 000 000 1.5e-021
04720 ///// ///// 0000.0 000 000 1.4e-021
04780 ///// ///// -000.9 000 000 9.4e-022
04840 ///// ///// 0000.0 000 000 2.4e-021
04900 ///// ///// 0000.8 000 000 3.4e-021
04960 ///// ///// 0000.0 000 000 2.6e-021
05020 ///// ///// 0000.0 000 000 3.3e-021
05080 ///// ///// 0000.0 000 000 3.0e-021
05140 ///// ///// 0000.0 000 000 4.0e-021
05200 ///// ///// 0000.0 000 000 4.5e-021
05260 ///// ///// 0000.0 000 000 4.3e-021
05320 ///// ///// 0000.5 000 000 2.6e-021
05380 ///// ///// 0000.0 000 000 2.3e-021
05440 ///// ///// 0000.1 000 000 3.0e-021
05500 ///// ///// 0000.0 000 000 6.2e-022
05560 ///// ///// -001.4 000 000 4.0e-021
05620 ///// ///// 0000.0 000 000 1.8e-021
05680 ///// ///// 0000.0 000 000 3.8e-021
05740 ///// ///// 0000.0 000 000 3.9e-021
05800 ///// ///// 0000.0 000 000 4.6e-021
05860 ///// ///// 0001.1 000 000 1.8e-021
05920 ///// ///// 0000.0 000 000 4.9e-021
05980 ///// ///// 0000.0 000 000 2.5e-021
NNNN
