WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629023500
ROBS
00100 072.0 002.2 0000.1 100 100 1.1e-021
00160 082.0 002.4 -000.1 100 100 1.7e-021
00220 083.0 002.7 0000.1 100 100 3.0e-021
00280 083.0 002.7 -000.1 100 100 5.0e-021
00340 081.0 001.8 0000.2 100 100 5.2e-021
00400 143.0 001.1 0000.3 100 100 5.7e-021
00460 167.0 003.5 0000.3 100 100 9.3e-021
00520 081.0 000.6 0000.3 100 100 1.9e-020
00580 151.0 000.1 0000.4 100 100 1.3e-020
00640 167.0 004.8 0000.3 100 100 1.5e-020
00700 081.0 005.5 -000.1 100 100 6.2e-021
00760 151.0 007.4 -000.2 100 100 1.2e-020
00820 167.0 009.5 -000.4 100 100 1.4e-020
00880 081.0 010.6 -000.6 100 100 1.0e-020
00940 211.0 008.6 -000.2 100 100 3.9e-021
01000 216.0 009.5 0000.0 100 100 5.8e-021
01060 227.0 011.5 -000.1 100 100 4.7e-022
01120 224.0 010.8 -000.1 100 100 1.1e-021
01180 226.0 011.5 -000.1 100 100 2.6e-021
01240 229.0 012.1 -000.2 100 100 5.1e-021
01300 233.0 012.9 -000.2 100 100 7.2e-021
01360 234.0 014.1 -000.1 100 100 1.1e-020
01420 239.0 014.9 0000.0 100 100 9.1e-021
01480 241.0 015.6 -000.1 100 100 5.5e-021
01540 243.0 016.4 -000.3 100 100 3.4e-021
01600 242.0 017.9 0000.1 100 100 2.3e-021
01660 236.0 018.0 -000.3 100 100 1.9e-021
01720 238.0 018.0 -000.6 100 100 3.1e-021
01780 242.0 019.4 -000.4 100 100 2.4e-021
01840 239.0 017.1 -000.1 100 100 2.4e-021
01900 245.0 016.6 -000.1 100 100 2.3e-021
01960 240.0 015.1 -000.1 100 100 3.7e-021
02020 240.0 015.7 -000.2 100 100 2.5e-021
02080 244.0 012.9 -000.5 100 100 1.7e-021
02140 252.0 013.6 -000.1 100 100 2.6e-021
02200 249.0 012.7 -000.3 100 100 2.4e-021
02260 249.0 012.8 0000.0 100 100 2.9e-021
02320 245.0 013.2 -000.0 100 100 6.9e-022
02380 242.0 013.7 0000.2 100 100 2.7e-021
02440 239.0 013.6 0000.0 100 100 2.1e-021
02500 241.0 013.1 -000.3 100 100 3.4e-021
02560 241.0 013.2 -000.6 100 100 4.4e-021
02620 230.0 004.2 -001.0 100 100 4.6e-021
02680 268.0 012.2 -000.4 100 100 3.4e-021
02740 284.0 012.9 0000.0 100 100 2.4e-021
02800 ///// ///// 0000.0 000 000 9.3e-022
02860 332.0 022.7 0000.9 100 100 8.9e-022
02920 354.0 019.6 -000.0 100 100 1.3e-021
02980 355.0 021.0 0000.0 100 100 4.8e-022
03040 356.0 019.0 0000.0 100 100 1.7e-021
03100 356.0 018.3 -000.3 100 100 1.4e-021
03160 ///// ///// 0000.0 000 000 1.1e-021
03220 ///// ///// 0000.1 000 000 1.7e-021
03280 ///// ///// 0000.1 000 000 2.1e-021
03340 ///// ///// -000.4 000 000 1.5e-021
03400 ///// ///// 0000.0 000 000 1.4e-021
03460 ///// ///// 0000.0 000 000 1.6e-021
03520 ///// ///// 0000.0 000 000 1.8e-021
03580 ///// ///// 0000.0 000 000 1.7e-021
03640 ///// ///// 0000.0 000 000 1.7e-021
03700 ///// ///// 0000.0 000 000 1.5e-021
03760 ///// ///// -000.1 000 000 8.6e-022
03820 ///// ///// 0000.3 000 000 2.5e-021
03880 ///// ///// 0000.0 000 000 9.9e-022
03940 ///// ///// 0000.0 000 000 3.3e-021
04000 ///// ///// 0000.0 000 000 3.0e-021
04060 ///// ///// 0000.1 000 000 3.7e-021
04120 ///// ///// 0000.0 000 000 2.0e-021
04180 ///// ///// 0000.0 000 000 9.0e-022
04240 ///// ///// 0000.0 000 000 1.5e-021
04300 ///// ///// 0000.1 000 000 3.3e-021
04360 ///// ///// 0000.0 000 000 2.6e-021
04420 ///// ///// 0000.0 000 000 2.0e-021
04480 ///// ///// 0000.0 000 000 7.6e-022
04540 ///// ///// 0000.0 000 000 4.1e-022
04600 ///// ///// 0000.0 000 000 2.5e-021
04660 ///// ///// 0000.0 000 000 1.2e-021
04720 ///// ///// -000.1 000 000 2.7e-021
04780 ///// ///// 0000.0 000 000 2.9e-021
04840 ///// ///// 0000.0 000 000 3.8e-021
04900 ///// ///// 0000.0 000 000 3.1e-021
04960 ///// ///// 0000.0 000 000 9.2e-022
05020 ///// ///// 0000.0 000 000 1.4e-021
05080 ///// ///// 0000.2 000 000 4.6e-021
05140 ///// ///// 0000.0 000 000 1.4e-021
05200 ///// ///// 0000.0 000 000 1.7e-021
05260 ///// ///// 0000.0 000 000 1.7e-021
05320 ///// ///// 0000.0 000 000 4.3e-021
05380 ///// ///// 0000.7 000 000 5.0e-021
05440 ///// ///// 0000.0 000 000 4.2e-021
05500 ///// ///// 0000.0 000 000 2.8e-021
05560 ///// ///// 0000.6 000 000 4.6e-021
05620 ///// ///// 0000.0 000 000 4.3e-021
05680 ///// ///// 0000.2 000 000 7.2e-021
05740 ///// ///// 0000.0 000 000 2.0e-021
05800 ///// ///// -000.1 000 000 4.3e-021
05860 ///// ///// 0000.0 000 000 3.6e-021
05920 ///// ///// -000.1 000 000 8.2e-021
05980 ///// ///// -000.1 000 000 6.8e-021
NNNN
