WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130628005000
ROBS
00100 337.0 002.1 0000.0 100 100 4.3e-021
00160 060.0 002.2 0000.0 100 100 1.4e-020
00220 018.0 001.9 -000.0 100 100 8.1e-021
00280 053.0 001.2 0000.1 100 100 1.0e-020
00340 080.0 000.9 0000.0 100 100 2.0e-020
00400 329.0 000.8 0000.0 100 100 4.2e-020
00460 132.0 003.1 0000.2 100 100 9.4e-020
00520 176.0 002.0 0000.2 100 100 1.2e-020
00580 240.0 001.5 0000.2 100 100 2.5e-020
00640 243.0 002.8 -000.2 100 100 3.5e-020
00700 234.0 001.8 -000.1 100 100 5.7e-020
00760 229.0 003.3 -000.0 100 100 6.5e-020
00820 233.0 005.6 -000.0 100 100 6.9e-020
00880 234.0 007.6 -000.1 100 100 3.0e-020
00940 231.0 009.9 0000.2 100 100 1.1e-020
01000 239.0 010.2 -000.2 100 100 8.5e-021
01060 228.0 009.8 -000.0 100 100 1.1e-021
01120 230.0 011.4 -000.2 100 100 6.1e-022
01180 226.0 011.3 -000.2 100 100 9.1e-022
01240 228.0 011.0 -000.2 100 100 1.4e-021
01300 228.0 011.2 -000.3 100 100 1.9e-021
01360 228.0 012.2 -000.1 100 100 2.9e-021
01420 229.0 012.7 -000.1 100 100 3.7e-021
01480 227.0 013.6 -000.2 100 100 5.0e-021
01540 229.0 014.3 -000.0 100 100 6.9e-021
01600 232.0 014.3 -000.1 100 100 5.8e-021
01660 237.0 015.2 0000.2 100 100 5.8e-021
01720 237.0 015.5 -001.8 100 100 4.1e-021
01780 241.0 016.6 -000.8 100 100 3.6e-021
01840 234.0 017.5 -000.0 100 100 4.3e-021
01900 235.0 019.5 -000.1 100 100 4.2e-021
01960 240.0 019.1 0000.8 100 100 2.3e-021
02020 236.0 018.3 0000.1 100 100 3.4e-021
02080 235.0 018.0 -000.1 100 100 4.8e-021
02140 235.0 016.6 0000.1 100 100 4.3e-021
02200 237.0 016.5 0000.1 100 100 3.7e-021
02260 240.0 015.8 -000.1 100 100 3.7e-021
02320 239.0 016.3 0000.0 100 100 2.4e-021
02380 232.0 014.1 0000.0 100 100 3.1e-021
02440 230.0 014.5 0000.3 100 100 4.4e-021
02500 236.0 013.8 0000.2 100 100 6.7e-021
02560 236.0 013.9 0000.2 100 100 8.0e-021
02620 237.0 012.6 0000.1 100 100 7.5e-021
02680 233.0 011.2 0000.0 100 100 6.6e-021
02740 236.0 012.3 0000.3 100 100 1.3e-020
02800 236.0 012.9 0000.0 100 100 5.0e-021
02860 238.0 012.9 0000.0 100 100 7.2e-021
02920 239.0 013.4 0000.3 100 100 6.0e-021
02980 237.0 012.8 0000.4 100 100 8.0e-021
03040 236.0 012.6 0000.0 100 100 2.8e-021
03100 236.0 012.7 0000.0 100 100 7.1e-021
03160 241.0 012.2 0000.0 100 100 3.6e-021
03220 241.0 012.4 0000.0 100 100 4.8e-021
03280 234.0 009.8 0000.0 100 100 2.6e-021
03340 236.0 010.5 0000.0 100 100 2.7e-021
03400 233.0 010.3 0000.0 100 100 2.8e-021
03460 227.0 008.7 0000.9 100 100 9.1e-022
03520 241.0 012.3 0001.1 100 100 3.8e-021
03580 ///// ///// 0000.0 000 000 1.2e-021
03640 ///// ///// 0000.0 000 000 7.7e-022
03700 ///// ///// 0000.0 000 000 8.3e-022
03760 ///// ///// 0001.0 000 000 2.0e-021
03820 ///// ///// 0000.0 000 000 8.0e-022
03880 ///// ///// 0000.0 000 000 2.0e-021
03940 ///// ///// -000.3 000 000 3.2e-021
04000 ///// ///// -000.2 000 000 3.9e-021
04060 ///// ///// -000.1 000 000 4.0e-021
04120 ///// ///// 0000.0 000 000 4.5e-021
04180 ///// ///// 0000.0 000 000 5.9e-021
04240 ///// ///// -002.1 000 000 4.1e-021
04300 ///// ///// 0000.2 000 000 3.1e-021
04360 ///// ///// -000.1 000 000 1.5e-021
04420 ///// ///// 0000.0 000 000 2.9e-021
04480 ///// ///// 0001.3 000 000 3.4e-021
04540 ///// ///// 0000.0 000 000 1.9e-021
04600 ///// ///// 0000.0 000 000 2.4e-021
04660 ///// ///// 0000.0 000 000 7.4e-022
04720 ///// ///// 0000.0 000 000 4.3e-021
04780 ///// ///// -000.0 000 000 3.3e-021
04840 ///// ///// 0000.0 000 000 1.6e-021
04900 ///// ///// -001.1 000 000 3.2e-021
04960 ///// ///// -000.9 000 000 4.2e-021
05020 ///// ///// 0000.0 000 000 1.4e-021
05080 ///// ///// 0000.0 000 000 5.0e-022
05140 ///// ///// 0000.0 000 000 3.9e-021
05200 ///// ///// 0000.0 000 000 1.4e-021
05260 ///// ///// 0000.0 000 000 4.8e-021
05320 ///// ///// 0000.0 000 000 4.1e-021
05380 ///// ///// 0000.0 000 000 3.3e-021
05440 ///// ///// 0001.3 000 000 4.3e-021
05500 ///// ///// 0000.0 000 000 1.6e-021
05560 ///// ///// 0000.0 000 000 4.2e-021
05620 ///// ///// 0000.0 000 000 3.7e-021
05680 ///// ///// 0000.0 000 000 3.9e-021
05740 ///// ///// -000.7 000 000 6.8e-021
05800 ///// ///// 0000.0 000 000 5.7e-022
05860 ///// ///// 0007.5 000 000 6.6e-021
05920 ///// ///// 0000.0 000 000 3.9e-021
05980 ///// ///// 0001.3 000 000 2.1e-021
NNNN
