WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629152000
ROBS
00100 086.0 001.1 -000.5 100 100 5.5e-020
00160 080.0 001.4 -000.4 100 100 2.3e-019
00220 124.0 001.3 -000.2 100 100 1.1e-019
00280 141.0 002.0 0000.1 100 100 4.8e-020
00340 118.0 003.3 0000.2 100 100 3.2e-020
00400 124.0 004.9 0000.2 100 100 6.5e-020
00460 135.0 006.4 0000.1 100 100 1.7e-019
00520 145.0 008.3 0000.1 100 100 7.0e-020
00580 152.0 009.5 0000.3 100 100 8.5e-021
00640 166.0 009.9 0000.2 100 100 1.5e-020
00700 169.0 010.4 0000.3 100 100 2.9e-020
00760 170.0 011.1 0000.3 100 100 2.6e-020
00820 175.0 011.8 0000.4 100 100 3.4e-020
00880 175.0 013.0 0000.3 100 100 5.5e-020
00940 175.0 013.4 0000.3 100 100 1.2e-019
01000 176.0 012.6 0000.3 100 100 1.0e-019
01060 178.0 011.9 0000.3 100 100 5.1e-020
01120 181.0 010.2 0000.3 100 100 6.6e-020
01180 184.0 009.3 0000.4 100 100 7.1e-020
01240 185.0 008.8 0000.3 100 100 5.2e-020
01300 185.0 008.3 0000.3 100 100 3.3e-020
01360 192.0 007.1 0000.2 100 100 3.5e-020
01420 196.0 006.6 0000.1 100 100 3.0e-020
01480 200.0 006.0 0000.1 100 100 2.6e-020
01540 207.0 006.5 -000.0 100 100 2.6e-020
01600 209.0 007.4 -000.0 100 100 1.5e-020
01660 213.0 008.0 0000.1 100 100 9.2e-021
01720 210.0 009.2 0000.2 100 100 7.5e-021
01780 211.0 010.0 0000.2 100 100 8.9e-021
01840 215.0 009.9 -000.2 100 100 1.2e-020
01900 218.0 010.0 0000.0 100 100 1.2e-020
01960 222.0 011.3 0000.2 100 100 1.0e-020
02020 225.0 011.2 0000.0 100 100 1.1e-020
02080 227.0 011.6 -000.0 100 100 1.4e-020
02140 226.0 011.5 0000.1 100 100 1.3e-020
02200 225.0 012.1 0000.1 100 100 1.2e-020
02260 225.0 011.5 0000.2 100 100 9.5e-021
02320 227.0 011.1 -000.1 100 100 8.9e-021
02380 225.0 011.1 -000.1 100 100 9.8e-021
02440 226.0 011.2 -000.1 100 100 8.5e-021
02500 225.0 011.3 0000.0 100 100 8.8e-021
02560 221.0 011.0 0000.1 100 100 4.8e-021
02620 220.0 010.8 0000.0 100 100 2.6e-021
02680 226.0 011.2 0000.3 100 100 3.8e-021
02740 224.0 011.4 0000.0 100 100 3.5e-021
02800 224.0 010.3 0000.0 100 100 4.0e-021
02860 225.0 009.7 -000.2 100 100 5.2e-021
02920 227.0 010.2 -000.4 100 100 5.8e-021
02980 245.0 008.5 -000.2 100 100 5.5e-021
03040 245.0 008.6 -000.2 100 100 8.1e-021
03100 250.0 008.8 -000.3 100 100 1.1e-020
03160 237.0 010.4 0000.0 100 100 5.3e-021
03220 240.0 009.9 0000.0 100 100 3.5e-021
03280 239.0 009.7 0000.0 100 100 4.6e-021
03340 240.0 009.7 -001.6 100 100 5.6e-021
03400 235.0 009.9 0000.0 100 100 3.9e-021
03460 238.0 009.8 -000.1 100 100 5.0e-021
03520 236.0 010.1 0000.0 100 100 1.7e-021
03580 234.0 009.8 0000.0 100 100 5.5e-021
03640 245.0 009.2 0000.0 100 100 3.7e-021
03700 225.0 006.5 0000.0 100 100 2.1e-021
03760 225.0 006.6 0000.0 100 100 1.2e-021
03820 225.0 006.6 -000.4 100 100 3.1e-021
03880 225.0 006.7 0000.0 100 100 1.3e-021
03940 245.0 002.6 0000.0 100 100 9.2e-022
04000 ///// ///// 0000.0 000 000 1.4e-021
04060 ///// ///// -000.2 000 000 1.0e-021
04120 194.0 004.1 -000.2 100 100 3.1e-021
04180 214.0 006.9 -000.1 100 100 3.6e-021
04240 197.0 008.3 -000.1 100 100 5.5e-021
04300 ///// ///// 0000.0 000 000 2.5e-021
04360 ///// ///// -000.2 000 000 3.2e-021
04420 242.0 005.4 -000.4 100 100 3.8e-021
04480 230.0 005.4 -000.4 100 100 5.7e-021
04540 208.0 009.2 -000.2 100 100 7.6e-021
04600 214.0 010.2 0000.0 100 100 1.0e-021
04660 ///// ///// -000.3 000 000 3.9e-021
04720 ///// ///// 0000.0 000 000 4.2e-021
04780 ///// ///// -001.3 000 000 4.3e-021
04840 ///// ///// 0000.0 000 000 3.3e-021
04900 ///// ///// 0000.0 000 000 1.8e-021
04960 ///// ///// 0000.0 000 000 2.9e-021
05020 ///// ///// 0000.0 000 000 2.0e-021
05080 ///// ///// 0000.0 000 000 4.9e-022
05140 ///// ///// 0000.0 000 000 2.8e-021
05200 ///// ///// 0000.0 000 000 1.7e-021
05260 ///// ///// 0000.0 000 000 3.2e-021
05320 ///// ///// 0000.0 000 000 1.3e-021
05380 ///// ///// 0000.0 000 000 4.0e-022
05440 ///// ///// 0000.0 000 000 3.6e-021
05500 ///// ///// 0000.0 000 000 4.8e-021
05560 ///// ///// 0000.0 000 000 3.5e-021
05620 ///// ///// 0000.9 000 000 4.7e-021
05680 ///// ///// 0000.0 000 000 3.6e-021
05740 ///// ///// 0000.0 000 000 3.7e-021
05800 ///// ///// 0000.0 000 000 1.8e-021
05860 ///// ///// 0000.0 000 000 7.0e-021
05920 ///// ///// 0000.0 000 000 4.1e-021
05980 ///// ///// 0000.0 000 000 4.6e-021
NNNN
