WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629170500
ROBS
00100 099.0 004.8 0000.8 100 100 5.1e-021
00160 076.0 005.3 0000.9 100 100 1.4e-020
00220 111.0 006.4 0000.1 100 100 1.6e-020
00280 139.0 010.4 0000.1 100 100 1.0e-020
00340 119.0 006.0 0000.2 100 100 1.2e-020
00400 117.0 005.1 0000.3 100 100 2.0e-020
00460 141.0 006.2 0000.3 100 100 1.7e-020
00520 151.0 007.5 0000.3 100 100 3.1e-020
00580 161.0 008.1 0000.3 100 100 6.9e-020
00640 166.0 008.6 0000.3 100 100 8.8e-020
00700 176.0 009.4 0000.3 100 100 1.4e-019
00760 176.0 010.5 0000.2 100 100 1.3e-019
00820 177.0 010.8 0000.2 100 100 1.8e-019
00880 182.0 009.6 0000.4 100 100 1.0e-019
00940 187.0 008.3 0000.3 100 100 8.0e-020
01000 194.0 008.2 0000.5 100 100 5.9e-020
01060 190.0 007.3 0000.2 100 100 2.8e-020
01120 197.0 006.3 0000.7 100 100 2.7e-020
01180 198.0 005.3 0001.0 100 100 2.4e-020
01240 204.0 005.1 0000.9 100 100 3.0e-020
01300 205.0 004.9 0000.5 100 100 2.3e-020
01360 214.0 005.5 0000.4 100 100 8.6e-021
01420 214.0 006.5 0000.3 100 100 1.2e-020
01480 212.0 007.7 0000.1 100 100 1.5e-020
01540 211.0 008.4 0000.1 100 100 1.6e-020
01600 216.0 009.6 0000.2 100 100 9.9e-021
01660 220.0 010.6 0000.4 100 100 7.9e-021
01720 222.0 010.8 0000.3 100 100 8.3e-021
01780 228.0 010.9 -000.0 100 100 6.2e-021
01840 229.0 011.0 0000.1 100 100 8.3e-021
01900 231.0 011.1 0000.0 100 100 8.9e-021
01960 231.0 012.0 0000.1 100 100 5.2e-021
02020 228.0 011.8 -000.0 100 100 4.2e-021
02080 228.0 011.7 -000.0 100 100 3.0e-021
02140 228.0 011.9 -000.2 100 100 2.5e-021
02200 220.0 011.9 -000.1 100 100 3.5e-021
02260 220.0 011.5 -000.1 100 100 3.5e-021
02320 227.0 009.6 -000.1 100 100 3.3e-021
02380 220.0 009.4 0000.0 100 100 2.2e-021
02440 213.0 009.2 0000.0 100 100 1.9e-021
02500 216.0 008.7 -000.2 100 100 2.6e-021
02560 216.0 008.8 0000.0 100 100 2.4e-021
02620 218.0 008.5 0000.0 100 100 2.8e-021
02680 219.0 008.5 0000.0 100 100 2.2e-021
02740 194.0 006.6 0000.0 100 100 2.3e-021
02800 190.0 009.3 -000.5 100 100 2.7e-021
02860 190.0 009.4 -000.5 100 100 2.5e-021
02920 190.0 009.5 -000.7 100 100 2.7e-021
02980 218.0 007.2 -000.3 100 100 3.5e-021
03040 231.0 006.2 -000.2 100 100 5.4e-021
03100 239.0 007.8 -000.4 100 100 6.3e-021
03160 239.0 007.9 -000.3 100 100 6.1e-021
03220 239.0 007.8 -000.0 100 100 8.8e-021
03280 240.0 008.2 -000.0 100 100 1.4e-020
03340 236.0 008.6 -000.1 100 100 1.9e-020
03400 238.0 008.5 -000.1 100 100 2.0e-020
03460 235.0 008.3 -000.1 100 100 2.2e-020
03520 237.0 008.8 -000.2 100 100 2.4e-020
03580 237.0 008.0 0000.0 100 100 2.4e-020
03640 236.0 007.8 0000.0 100 100 2.3e-020
03700 224.0 009.8 0000.0 100 100 8.7e-021
03760 220.0 009.3 0000.0 100 100 3.6e-021
03820 218.0 009.2 -000.0 100 100 1.1e-020
03880 242.0 006.9 0000.0 100 100 2.1e-021
03940 242.0 006.9 -000.1 100 100 6.6e-021
04000 218.0 009.9 0000.1 100 100 1.1e-020
04060 217.0 010.4 0000.0 100 100 5.5e-021
04120 185.0 006.5 -000.1 100 100 1.3e-021
04180 201.0 008.5 0000.0 100 100 2.1e-021
04240 202.0 008.8 0000.0 100 100 3.3e-021
04300 192.0 008.8 0000.0 100 100 2.1e-021
04360 ///// ///// 0000.0 000 000 2.9e-022
04420 ///// ///// 0000.0 000 000 2.0e-021
04480 ///// ///// 0000.0 000 000 3.4e-021
04540 ///// ///// 0000.0 000 000 1.2e-021
04600 ///// ///// 0000.0 000 000 1.1e-021
04660 ///// ///// 0000.0 000 000 8.7e-022
04720 ///// ///// -000.6 000 000 2.7e-021
04780 ///// ///// 0000.0 000 000 2.9e-021
04840 ///// ///// 0000.0 000 000 3.6e-021
04900 ///// ///// 0000.0 000 000 4.9e-021
04960 213.0 006.4 -000.3 100 100 6.2e-021
05020 212.0 006.6 -000.1 100 100 4.3e-021
05080 212.0 007.2 -000.3 100 100 5.7e-021
05140 ///// ///// 0000.0 000 000 4.8e-021
05200 ///// ///// 0000.0 000 000 2.1e-021
05260 ///// ///// 0000.0 000 000 5.4e-021
05320 ///// ///// 0000.0 000 000 4.5e-021
05380 ///// ///// 0000.0 000 000 3.8e-021
05440 ///// ///// 0000.0 000 000 3.2e-021
05500 ///// ///// 0000.0 000 000 5.2e-022
05560 ///// ///// 0000.0 000 000 2.6e-021
05620 ///// ///// 0000.0 000 000 3.7e-021
05680 ///// ///// 0000.0 000 000 3.8e-021
05740 ///// ///// 0000.0 000 000 3.1e-021
05800 ///// ///// 0000.0 000 000 5.3e-021
05860 ///// ///// 0000.0 000 000 5.5e-022
05920 ///// ///// 0000.0 000 000 1.7e-021
05980 ///// ///// 0000.0 000 000 5.7e-021
NNNN
