WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629064000
ROBS
00100 069.0 004.1 -000.3 100 100 2.8e-021
00160 067.0 004.6 -000.5 100 100 8.5e-021
00220 064.0 005.0 -000.0 100 100 3.3e-021
00280 084.0 000.7 0000.1 100 100 1.1e-020
00340 083.0 001.3 0000.2 100 100 1.1e-020
00400 113.0 002.0 0000.1 100 100 1.8e-020
00460 103.0 001.6 0000.2 100 100 1.3e-020
00520 081.0 000.3 0000.2 100 100 2.1e-020
00580 173.0 003.1 0000.2 100 100 3.7e-020
00640 173.0 004.4 0000.1 100 100 5.8e-020
00700 181.0 005.2 -000.0 100 100 7.1e-020
00760 184.0 004.9 0000.4 100 100 3.5e-020
00820 196.0 005.4 0001.1 100 100 2.6e-020
00880 189.0 004.5 0001.0 100 100 1.8e-020
00940 215.0 003.0 0000.4 100 100 8.5e-021
01000 224.0 004.0 0001.1 100 100 9.7e-021
01060 217.0 003.1 -000.1 100 100 4.9e-021
01120 224.0 005.2 -000.2 100 100 7.7e-021
01180 228.0 006.1 0001.8 100 100 4.3e-021
01240 230.0 007.7 0000.3 100 100 2.5e-021
01300 222.0 006.8 0000.2 100 100 3.1e-021
01360 227.0 008.3 0000.1 100 100 3.5e-021
01420 230.0 008.4 0000.3 100 100 5.1e-021
01480 229.0 009.0 0000.2 100 100 2.4e-021
01540 231.0 009.5 0000.3 100 100 1.2e-021
01600 232.0 009.7 0000.2 100 100 4.8e-021
01660 233.0 010.1 0000.0 100 100 8.4e-021
01720 235.0 010.4 -000.0 100 100 2.9e-020
01780 236.0 011.0 -000.1 100 100 4.7e-020
01840 238.0 011.5 -000.1 100 100 2.6e-020
01900 239.0 012.0 0000.2 100 100 4.8e-021
01960 246.0 013.1 0000.1 100 100 1.8e-021
02020 248.0 013.2 0000.3 100 100 2.3e-021
02080 250.0 013.2 0000.2 100 100 2.4e-021
02140 254.0 013.7 0000.3 100 100 2.1e-021
02200 260.0 013.8 0000.3 100 100 3.4e-021
02260 260.0 014.2 -000.0 100 100 3.6e-021
02320 250.0 014.9 0000.2 100 100 3.5e-021
02380 249.0 014.5 -000.3 100 100 4.2e-021
02440 260.0 016.6 0000.5 100 100 3.8e-021
02500 262.0 016.9 0000.1 100 100 4.5e-021
02560 254.0 013.3 0000.0 100 100 2.8e-021
02620 250.0 013.7 0000.0 100 100 3.1e-021
02680 245.0 013.3 0000.0 100 100 2.5e-021
02740 245.0 014.3 -000.1 100 100 3.9e-021
02800 242.0 013.6 0000.0 100 100 1.4e-021
02860 243.0 013.6 -000.2 100 100 3.6e-021
02920 243.0 013.8 -000.4 100 100 4.9e-021
02980 243.0 013.9 0000.0 100 100 1.6e-021
03040 239.0 016.2 0000.0 100 100 2.6e-021
03100 ///// ///// 0000.0 000 000 2.1e-021
03160 ///// ///// 0000.0 000 000 6.0e-022
03220 ///// ///// 0000.0 000 000 1.3e-021
03280 ///// ///// 0000.0 000 000 1.5e-021
03340 ///// ///// -001.0 000 000 1.7e-021
03400 ///// ///// 0000.0 000 000 1.6e-021
03460 ///// ///// 0000.0 000 000 1.7e-021
03520 ///// ///// 0000.0 000 000 1.5e-021
03580 ///// ///// 0000.0 000 000 1.7e-021
03640 ///// ///// 0000.0 000 000 9.4e-022
03700 ///// ///// 0000.0 000 000 2.9e-021
03760 ///// ///// 0002.0 000 000 4.6e-021
03820 ///// ///// 0002.2 000 000 1.0e-020
03880 ///// ///// 0000.6 000 000 7.3e-021
03940 ///// ///// 0000.0 000 000 4.3e-021
04000 ///// ///// 0000.7 000 000 2.0e-021
04060 ///// ///// -000.3 000 000 3.1e-021
04120 ///// ///// 0000.0 000 000 1.9e-021
04180 ///// ///// 0000.0 000 000 1.0e-021
04240 ///// ///// 0000.0 000 000 1.8e-021
04300 ///// ///// 0000.0 000 000 2.0e-021
04360 ///// ///// -000.6 000 000 3.5e-021
04420 ///// ///// 0000.0 000 000 2.1e-021
04480 ///// ///// 0000.0 000 000 1.2e-021
04540 ///// ///// 0000.0 000 000 3.2e-021
04600 ///// ///// 0000.0 000 000 3.7e-022
04660 ///// ///// 0000.0 000 000 1.2e-021
04720 ///// ///// 0000.0 000 000 8.1e-022
04780 ///// ///// 0000.0 000 000 8.7e-022
04840 ///// ///// 0000.4 000 000 1.7e-021
04900 ///// ///// -000.4 000 000 1.2e-021
04960 ///// ///// 0000.0 000 000 5.5e-022
05020 ///// ///// -000.6 000 000 3.1e-021
05080 ///// ///// 0000.0 000 000 3.8e-021
05140 ///// ///// 0000.0 000 000 2.3e-021
05200 ///// ///// 0000.0 000 000 1.4e-021
05260 ///// ///// -001.3 000 000 4.8e-021
05320 ///// ///// 0000.0 000 000 3.3e-021
05380 ///// ///// 0000.0 000 000 2.9e-021
05440 ///// ///// 0000.0 000 000 1.5e-021
05500 ///// ///// 0000.0 000 000 5.5e-021
05560 ///// ///// 0000.0 000 000 1.2e-021
05620 ///// ///// 0000.0 000 000 2.0e-021
05680 ///// ///// 0000.0 000 000 9.6e-022
05740 ///// ///// 0000.1 000 000 3.8e-021
05800 ///// ///// 0000.0 000 000 2.3e-021
05860 ///// ///// 0000.2 000 000 4.8e-021
05920 ///// ///// 0000.0 000 000 3.8e-021
05980 ///// ///// 0000.0 000 000 1.9e-021
NNNN
