WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629061000
ROBS
00100 059.0 003.5 0000.4 100 100 3.3e-021
00160 078.0 003.6 0000.4 100 100 7.4e-021
00220 073.0 003.6 0000.4 100 100 5.0e-021
00280 109.0 001.2 0000.3 100 100 7.4e-021
00340 124.0 001.5 0000.1 100 100 5.3e-021
00400 111.0 002.4 0000.3 100 100 5.7e-021
00460 107.0 003.3 0000.3 100 100 4.2e-021
00520 138.0 003.9 0000.2 100 100 3.6e-021
00580 141.0 002.8 0000.4 100 100 1.2e-020
00640 155.0 005.3 0000.3 100 100 1.6e-020
00700 167.0 006.4 0000.4 100 100 4.5e-020
00760 181.0 005.9 0000.2 100 100 3.9e-020
00820 194.0 004.2 0000.2 100 100 2.9e-020
00880 206.0 003.8 -000.0 100 100 5.9e-020
00940 223.0 003.8 -000.2 100 100 3.4e-020
01000 236.0 004.4 -000.1 100 100 1.4e-020
01060 242.0 004.2 0000.0 100 100 4.7e-021
01120 235.0 006.3 -000.1 100 100 9.0e-022
01180 228.0 007.0 -000.0 100 100 1.7e-021
01240 231.0 007.7 -000.0 100 100 3.9e-021
01300 230.0 008.4 -000.0 100 100 9.9e-021
01360 228.0 009.4 -000.1 100 100 1.1e-020
01420 227.0 010.4 0000.1 100 100 5.5e-021
01480 229.0 009.9 0000.1 100 100 4.1e-021
01540 230.0 010.3 0000.1 100 100 2.0e-020
01600 232.0 010.6 0000.0 100 100 3.9e-020
01660 234.0 011.2 -000.1 100 100 1.5e-020
01720 232.0 012.2 0000.1 100 100 2.8e-021
01780 235.0 013.1 -000.1 100 100 1.8e-021
01840 235.0 013.6 -000.4 100 100 1.8e-021
01900 237.0 014.0 -000.3 100 100 1.9e-021
01960 224.0 010.8 0000.1 100 100 1.6e-021
02020 238.0 011.7 -000.0 100 100 2.9e-021
02080 238.0 013.2 0000.3 100 100 3.3e-021
02140 246.0 015.0 -000.1 100 100 3.0e-021
02200 247.0 016.2 -000.1 100 100 3.5e-021
02260 251.0 015.9 0000.0 100 100 2.5e-021
02320 254.0 017.0 -000.0 100 100 2.8e-021
02380 248.0 016.9 0000.7 100 100 1.8e-021
02440 247.0 014.1 0000.0 100 100 2.2e-021
02500 248.0 014.4 0000.0 100 100 2.5e-021
02560 249.0 015.5 0001.1 100 100 2.2e-021
02620 250.0 016.9 0000.3 100 100 3.1e-021
02680 243.0 014.2 -000.9 100 100 2.1e-022
02740 224.0 004.0 0000.1 100 100 1.4e-021
02800 227.0 006.2 0000.0 100 100 4.4e-022
02860 220.0 005.9 0000.0 100 100 1.5e-021
02920 ///// ///// 0000.0 000 000 1.2e-021
02980 ///// ///// 0001.4 000 000 1.5e-021
03040 ///// ///// -000.0 000 000 1.8e-021
03100 ///// ///// 0000.0 000 000 5.8e-022
03160 265.0 015.8 0000.0 100 100 5.3e-022
03220 ///// ///// 0000.0 000 000 6.7e-022
03280 ///// ///// 0000.0 000 000 1.7e-021
03340 ///// ///// 0000.0 000 000 1.8e-021
03400 ///// ///// -001.2 000 000 1.9e-021
03460 ///// ///// 0000.0 000 000 9.1e-022
03520 ///// ///// 0000.0 000 000 8.6e-022
03580 ///// ///// 0000.0 000 000 1.6e-021
03640 ///// ///// -000.2 000 000 7.8e-022
03700 ///// ///// 0000.0 000 000 8.0e-022
03760 ///// ///// 0000.0 000 000 7.5e-022
03820 ///// ///// 0000.0 000 000 1.9e-021
03880 ///// ///// 0000.0 000 000 1.8e-021
03940 ///// ///// -000.7 000 000 2.5e-021
04000 ///// ///// 0000.0 000 000 2.6e-021
04060 ///// ///// 0000.0 000 000 8.7e-022
04120 ///// ///// -000.1 000 000 2.7e-021
04180 ///// ///// 0000.0 000 000 1.0e-021
04240 ///// ///// 0000.1 000 000 2.9e-021
04300 ///// ///// 0000.0 000 000 2.6e-021
04360 ///// ///// 0000.0 000 000 2.3e-021
04420 ///// ///// 0000.0 000 000 1.1e-021
04480 ///// ///// 0000.0 000 000 1.4e-021
04540 ///// ///// 0000.0 000 000 2.9e-021
04600 ///// ///// -000.1 000 000 3.2e-021
04660 ///// ///// 0000.0 000 000 2.6e-021
04720 ///// ///// 0000.0 000 000 2.5e-021
04780 ///// ///// 0001.4 000 000 1.3e-021
04840 ///// ///// 0000.0 000 000 1.3e-021
04900 ///// ///// -001.8 000 000 4.8e-021
04960 ///// ///// 0000.0 000 000 2.5e-021
05020 ///// ///// 0000.0 000 000 3.7e-021
05080 ///// ///// 0000.0 000 000 2.8e-021
05140 ///// ///// 0000.0 000 000 1.2e-021
05200 ///// ///// -000.2 000 000 4.3e-021
05260 ///// ///// 0000.0 000 000 6.5e-022
05320 ///// ///// 0000.0 000 000 1.3e-021
05380 ///// ///// 0000.0 000 000 1.8e-021
05440 ///// ///// -002.3 000 000 5.5e-021
05500 ///// ///// 0000.0 000 000 1.8e-021
05560 ///// ///// 0000.0 000 000 5.3e-021
05620 ///// ///// 0000.0 000 000 1.7e-021
05680 ///// ///// 0000.0 000 000 7.1e-022
05740 ///// ///// 0000.0 000 000 3.8e-021
05800 ///// ///// 0000.0 000 000 1.5e-021
05860 ///// ///// 0000.0 000 000 1.9e-021
05920 ///// ///// 0000.0 000 000 2.0e-021
05980 ///// ///// -001.5 000 000 5.0e-021
NNNN
