WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629030000
ROBS
00100 073.0 002.2 0000.1 100 100 1.3e-021
00160 086.0 002.4 -000.1 100 100 2.5e-021
00220 085.0 002.6 -000.1 100 100 4.4e-021
00280 121.0 001.0 -000.1 100 100 5.6e-021
00340 116.0 001.2 -000.0 100 100 5.0e-021
00400 131.0 001.3 -000.2 100 100 3.2e-021
00460 145.0 001.7 -000.2 100 100 2.6e-021
00520 156.0 002.4 -000.3 100 100 4.9e-021
00580 186.0 003.7 -000.2 100 100 3.0e-020
00640 217.0 004.1 -000.1 100 100 3.9e-020
00700 224.0 004.5 -000.1 100 100 3.1e-020
00760 230.0 008.5 -000.0 100 100 2.4e-020
00820 224.0 009.1 -000.0 100 100 1.6e-020
00880 216.0 010.1 0000.8 100 100 4.1e-021
00940 220.0 009.9 0000.0 100 100 3.3e-021
01000 226.0 011.1 -000.0 100 100 5.1e-021
01060 225.0 010.3 -000.0 100 100 1.8e-021
01120 226.0 010.4 -000.2 100 100 2.0e-021
01180 228.0 010.7 -000.1 100 100 2.3e-021
01240 231.0 011.5 -000.0 100 100 4.0e-021
01300 230.0 011.6 0000.1 100 100 3.7e-021
01360 235.0 013.4 -000.1 100 100 7.1e-021
01420 237.0 014.0 -000.1 100 100 7.8e-021
01480 237.0 015.8 -000.0 100 100 9.9e-021
01540 237.0 016.9 -000.1 100 100 1.2e-020
01600 239.0 018.2 -000.4 100 100 8.6e-021
01660 240.0 017.7 0000.0 100 100 2.6e-021
01720 242.0 015.7 0000.0 100 100 1.9e-021
01780 242.0 016.3 -000.9 100 100 3.8e-021
01840 243.0 016.4 -000.6 100 100 4.1e-021
01900 242.0 016.1 -000.5 100 100 3.5e-021
01960 243.0 016.7 -000.2 100 100 4.1e-021
02020 251.0 015.1 -000.6 100 100 1.6e-021
02080 250.0 016.4 0000.8 100 100 1.9e-021
02140 260.0 015.6 0000.0 100 100 2.1e-021
02200 260.0 015.8 0000.1 100 100 2.5e-021
02260 255.0 016.2 -000.1 100 100 3.2e-021
02320 250.0 016.5 0000.1 100 100 4.2e-021
02380 250.0 014.0 0000.2 100 100 2.1e-021
02440 246.0 014.2 0000.0 100 100 2.4e-021
02500 246.0 013.9 0000.0 100 100 2.0e-021
02560 247.0 013.2 0000.0 100 100 2.3e-021
02620 249.0 013.2 0000.0 100 100 1.1e-021
02680 240.0 014.1 0000.0 100 100 2.9e-021
02740 247.0 013.5 0000.0 100 100 4.0e-021
02800 242.0 014.2 0000.0 100 100 2.9e-021
02860 239.0 013.2 0000.2 100 100 2.5e-021
02920 224.0 009.1 0000.0 100 100 2.3e-021
02980 220.0 008.5 0000.0 100 100 2.7e-021
03040 240.0 014.2 0000.0 100 100 1.0e-021
03100 235.0 015.1 0000.0 100 100 1.9e-021
03160 234.0 015.5 0000.0 100 100 1.7e-021
03220 ///// ///// 0000.0 000 000 1.6e-021
03280 ///// ///// 0000.0 000 000 1.5e-021
03340 ///// ///// 0000.0 000 000 2.0e-021
03400 ///// ///// -001.1 000 000 1.5e-021
03460 ///// ///// 0000.0 000 000 2.1e-021
03520 ///// ///// 0000.1 000 000 3.1e-021
03580 ///// ///// 0001.0 000 000 2.2e-021
03640 ///// ///// 0000.0 000 000 1.2e-021
03700 ///// ///// 0000.0 000 000 3.7e-021
03760 ///// ///// 0000.1 000 000 1.2e-021
03820 ///// ///// 0000.0 000 000 3.1e-021
03880 ///// ///// 0000.0 000 000 2.0e-021
03940 ///// ///// 0000.5 000 000 1.4e-021
04000 ///// ///// 0000.0 000 000 3.1e-021
04060 ///// ///// 0000.0 000 000 2.3e-021
04120 ///// ///// 0000.0 000 000 2.2e-021
04180 ///// ///// 0000.0 000 000 2.7e-021
04240 ///// ///// -000.6 000 000 2.1e-021
04300 ///// ///// 0000.3 000 000 2.9e-021
04360 ///// ///// 0000.0 000 000 1.1e-021
04420 ///// ///// 0000.0 000 000 2.1e-021
04480 ///// ///// 0000.0 000 000 1.2e-021
04540 ///// ///// 0000.0 000 000 1.9e-021
04600 ///// ///// 0000.0 000 000 2.9e-021
04660 ///// ///// 0001.0 000 000 5.4e-021
04720 ///// ///// 0000.0 000 000 3.7e-021
04780 ///// ///// 0000.0 000 000 8.1e-022
04840 ///// ///// 0000.0 000 000 2.7e-021
04900 ///// ///// -000.0 000 000 4.7e-021
04960 ///// ///// 0000.0 000 000 3.2e-021
05020 ///// ///// -001.1 000 000 3.8e-021
05080 ///// ///// 0001.2 000 000 3.8e-021
05140 ///// ///// 0000.7 000 000 4.6e-021
05200 ///// ///// 0001.0 000 000 4.1e-021
05260 ///// ///// 0000.0 000 000 2.7e-021
05320 ///// ///// 0001.0 000 000 4.9e-021
05380 ///// ///// 0000.0 000 000 4.5e-021
05440 ///// ///// 0000.0 000 000 4.3e-021
05500 ///// ///// 0000.5 000 000 4.8e-021
05560 ///// ///// 0001.0 000 000 5.6e-021
05620 ///// ///// 0000.6 000 000 6.2e-021
05680 ///// ///// 0000.2 000 000 6.3e-021
05740 ///// ///// 0000.0 000 000 5.1e-021
05800 ///// ///// 0000.9 000 000 5.9e-021
05860 ///// ///// 0000.0 000 000 6.1e-021
05920 ///// ///// 0000.7 000 000 8.9e-021
05980 ///// ///// 0001.8 000 000 8.0e-021
NNNN
