WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629132500
ROBS
00100 070.0 005.6 -000.2 100 100 5.7e-021
00160 092.0 006.0 -000.2 100 100 1.9e-020
00220 122.0 005.8 -000.3 100 100 2.3e-020
00280 134.0 005.1 -000.1 100 100 1.9e-020
00340 124.0 004.4 -000.1 100 100 2.5e-020
00400 128.0 006.0 -000.1 100 100 5.2e-020
00460 137.0 007.0 -000.2 100 100 1.6e-019
00520 145.0 007.5 -000.2 100 100 4.1e-020
00580 150.0 009.2 -000.2 100 100 5.6e-021
00640 179.0 011.2 -000.7 100 100 2.1e-021
00700 177.0 011.8 -000.3 100 100 2.8e-021
00760 168.0 012.1 -000.4 100 100 5.4e-021
00820 181.0 013.2 -000.4 100 100 9.0e-021
00880 174.0 013.6 -000.8 100 100 3.2e-020
00940 176.0 013.1 -000.8 100 100 6.3e-020
01000 175.0 011.7 -000.8 100 100 3.5e-020
01060 176.0 011.7 -000.7 100 100 1.5e-020
01120 181.0 009.7 -000.7 100 100 3.1e-020
01180 181.0 009.2 -001.1 100 100 4.1e-020
01240 184.0 008.2 -000.5 100 100 5.9e-020
01300 193.0 008.1 -000.4 100 100 5.2e-020
01360 195.0 007.1 -000.4 100 100 2.8e-020
01420 191.0 006.5 -000.6 100 100 2.1e-020
01480 194.0 005.1 -000.7 100 100 2.5e-020
01540 203.0 005.0 -000.5 100 100 2.7e-020
01600 205.0 005.2 -000.4 100 100 1.9e-020
01660 208.0 006.0 -000.5 100 100 1.6e-020
01720 218.0 007.2 -000.4 100 100 1.5e-020
01780 219.0 007.5 -000.4 100 100 1.6e-020
01840 230.0 008.6 -000.4 100 100 1.7e-020
01900 230.0 009.0 -000.2 100 100 1.6e-020
01960 233.0 010.0 -000.1 100 100 1.3e-020
02020 232.0 010.4 -000.3 100 100 9.7e-021
02080 231.0 009.6 -000.4 100 100 7.9e-021
02140 229.0 009.9 -000.2 100 100 4.7e-021
02200 225.0 010.0 -000.8 100 100 4.1e-021
02260 228.0 010.4 -000.7 100 100 3.5e-021
02320 222.0 012.6 -000.6 100 100 4.6e-021
02380 221.0 011.6 -000.6 100 100 5.4e-021
02440 221.0 011.3 0000.0 100 100 3.0e-021
02500 214.0 010.3 -000.0 100 100 3.5e-021
02560 217.0 009.8 -000.5 100 100 2.7e-021
02620 217.0 009.9 -000.5 100 100 9.2e-022
02680 224.0 010.7 -000.5 100 100 4.9e-021
02740 213.0 008.8 0000.2 100 100 1.9e-021
02800 219.0 010.4 -000.6 100 100 5.2e-021
02860 192.0 007.7 -000.8 100 100 2.6e-021
02920 211.0 009.1 0000.0 100 100 2.0e-021
02980 194.0 006.8 0000.0 100 100 5.9e-022
03040 196.0 006.2 0000.0 100 100 1.2e-021
03100 196.0 006.3 0000.0 100 100 1.3e-021
03160 207.0 005.8 0000.0 100 100 2.5e-021
03220 207.0 005.9 -000.3 100 100 3.1e-021
03280 237.0 010.3 0000.2 100 100 1.9e-021
03340 237.0 011.1 0000.2 100 100 4.2e-021
03400 236.0 010.6 0000.0 100 100 5.7e-022
03460 225.0 011.1 0000.0 100 100 2.4e-021
03520 215.0 009.8 0000.0 100 100 1.8e-021
03580 ///// ///// 0000.0 000 000 8.2e-022
03640 ///// ///// 0000.0 000 000 2.5e-021
03700 ///// ///// 0000.0 000 000 2.3e-021
03760 ///// ///// 0000.8 000 000 2.4e-021
03820 ///// ///// 0000.0 000 000 2.8e-021
03880 ///// ///// 0000.0 000 000 1.8e-021
03940 ///// ///// 0000.0 000 000 8.1e-022
04000 ///// ///// 0000.1 000 000 1.9e-021
04060 ///// ///// 0000.0 000 000 2.8e-021
04120 ///// ///// 0000.0 000 000 9.9e-022
04180 ///// ///// 0000.0 000 000 7.7e-022
04240 ///// ///// 0000.0 000 000 8.2e-022
04300 ///// ///// 0000.0 000 000 2.1e-021
04360 ///// ///// 0000.0 000 000 2.2e-021
04420 ///// ///// -001.2 000 000 2.6e-021
04480 ///// ///// 0000.0 000 000 2.9e-021
04540 ///// ///// -000.2 000 000 4.1e-021
04600 ///// ///// 0000.0 000 000 6.4e-021
04660 ///// ///// 0000.1 000 000 3.1e-021
04720 ///// ///// 0000.3 000 000 4.2e-021
04780 ///// ///// 0000.0 000 000 2.4e-021
04840 ///// ///// -000.1 000 000 3.1e-021
04900 ///// ///// 0000.0 000 000 3.4e-021
04960 ///// ///// 0000.0 000 000 8.3e-022
05020 ///// ///// 0000.9 000 000 3.5e-021
05080 ///// ///// 0000.0 000 000 4.2e-021
05140 ///// ///// 0000.0 000 000 1.2e-021
05200 ///// ///// 0000.0 000 000 3.3e-021
05260 ///// ///// 0000.0 000 000 3.0e-021
05320 ///// ///// -000.0 000 000 3.8e-021
05380 ///// ///// -000.9 000 000 1.8e-021
05440 ///// ///// 0000.0 000 000 3.7e-021
05500 ///// ///// 0000.0 000 000 3.7e-021
05560 ///// ///// 0000.9 000 000 4.5e-021
05620 ///// ///// 0000.0 000 000 1.5e-021
05680 ///// ///// 0000.0 000 000 4.2e-021
05740 ///// ///// 0000.4 000 000 2.4e-021
05800 ///// ///// 0000.0 000 000 3.0e-021
05860 ///// ///// 0000.3 000 000 5.3e-021
05920 ///// ///// 0000.0 000 000 3.9e-021
05980 ///// ///// 0000.0 000 000 1.6e-021
NNNN
