WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629100000
ROBS
00100 073.0 003.4 0001.6 100 100 2.9e-021
00160 071.0 003.2 0001.0 100 100 8.4e-021
00220 077.0 003.5 0000.1 100 100 5.6e-021
00280 111.0 003.6 -000.0 100 100 8.4e-021
00340 119.0 004.7 -000.1 100 100 8.3e-021
00400 117.0 005.3 -000.0 100 100 7.9e-021
00460 126.0 005.6 -000.1 100 100 1.1e-020
00520 145.0 005.8 0000.2 100 100 8.4e-021
00580 158.0 007.2 0000.1 100 100 5.5e-020
00640 164.0 008.0 0000.0 100 100 1.3e-019
00700 165.0 009.3 0000.0 100 100 4.0e-020
00760 172.0 009.1 -000.2 100 100 1.2e-019
00820 176.0 008.3 -000.3 100 100 1.4e-019
00880 181.0 007.6 -000.2 100 100 3.0e-020
00940 183.0 005.6 -000.4 100 100 6.5e-021
01000 187.0 003.8 -000.0 100 100 4.6e-021
01060 192.0 004.3 0001.6 100 100 1.5e-021
01120 200.0 002.6 0000.5 100 100 1.5e-021
01180 235.0 001.5 0000.4 100 100 1.1e-021
01240 240.0 001.8 -000.1 100 100 2.2e-021
01300 233.0 002.6 -000.1 100 100 4.6e-021
01360 227.0 003.7 -000.0 100 100 7.3e-021
01420 224.0 004.8 0000.1 100 100 1.2e-020
01480 229.0 006.7 0000.2 100 100 1.1e-020
01540 225.0 007.7 0000.1 100 100 1.6e-020
01600 227.0 008.3 0000.1 100 100 2.0e-020
01660 226.0 009.3 0000.3 100 100 1.3e-020
01720 228.0 011.3 0000.2 100 100 7.9e-021
01780 227.0 011.5 0000.2 100 100 7.3e-021
01840 227.0 011.1 0000.3 100 100 7.8e-021
01900 227.0 011.5 0000.1 100 100 5.2e-021
01960 231.0 011.5 0000.2 100 100 4.2e-021
02020 231.0 010.7 0000.3 100 100 7.2e-021
02080 232.0 011.5 0000.4 100 100 6.7e-021
02140 227.0 010.5 0000.2 100 100 3.9e-021
02200 231.0 011.0 0000.3 100 100 3.9e-021
02260 231.0 010.7 0000.3 100 100 4.3e-021
02320 233.0 010.9 0000.1 100 100 5.3e-021
02380 234.0 011.2 -000.0 100 100 7.8e-021
02440 236.0 011.5 0000.0 100 100 3.0e-021
02500 240.0 012.0 -000.2 100 100 4.6e-021
02560 237.0 012.9 0000.0 100 100 2.4e-021
02620 235.0 012.9 0000.0 100 100 1.7e-021
02680 233.0 012.4 0000.0 100 100 4.6e-021
02740 235.0 012.4 -000.2 100 100 7.6e-021
02800 235.0 012.6 -000.1 100 100 6.8e-021
02860 235.0 012.4 -000.1 100 100 5.6e-021
02920 237.0 012.6 -000.2 100 100 5.7e-021
02980 234.0 011.8 0000.0 100 100 5.1e-021
03040 235.0 011.8 -000.0 100 100 5.0e-021
03100 237.0 011.7 0000.0 100 100 4.3e-021
03160 237.0 011.8 0000.0 100 100 4.3e-021
03220 229.0 010.0 0000.0 100 100 2.1e-021
03280 193.0 006.4 0000.0 100 100 2.0e-021
03340 247.0 006.3 -000.4 100 100 1.6e-021
03400 231.0 006.3 -000.0 100 100 3.1e-021
03460 183.0 003.7 -000.6 100 100 3.2e-021
03520 245.0 010.3 -000.2 100 100 3.5e-021
03580 155.0 004.0 -000.9 100 100 1.3e-021
03640 172.0 003.8 0000.0 100 100 2.2e-021
03700 ///// ///// -000.3 000 000 4.1e-021
03760 108.0 002.1 -000.6 100 100 4.6e-021
03820 179.0 005.0 0000.0 100 100 3.6e-021
03880 157.0 008.5 0000.0 100 100 5.2e-021
03940 166.0 008.3 0000.0 100 100 5.4e-021
04000 154.0 008.7 -000.5 100 100 3.1e-021
04060 132.0 010.3 0000.0 100 100 4.5e-021
04120 ///// ///// 0000.2 000 000 3.5e-021
04180 ///// ///// 0000.0 000 000 2.2e-021
04240 ///// ///// 0000.0 000 000 2.7e-021
04300 ///// ///// -000.1 000 000 5.9e-021
04360 ///// ///// -000.2 000 000 6.5e-021
04420 ///// ///// -000.2 000 000 6.3e-021
04480 ///// ///// 0000.0 000 000 9.7e-021
04540 ///// ///// -000.4 000 000 1.1e-020
04600 ///// ///// 0000.0 000 000 9.7e-021
04660 ///// ///// 0000.0 000 000 8.5e-021
04720 ///// ///// 0000.4 000 000 1.3e-020
04780 ///// ///// -001.1 000 000 4.9e-021
04840 ///// ///// 0000.0 000 000 4.5e-021
04900 ///// ///// 0000.0 000 000 7.4e-022
04960 ///// ///// 0000.7 000 000 3.8e-021
05020 ///// ///// 0000.0 000 000 1.1e-021
05080 ///// ///// 0000.0 000 000 3.3e-021
05140 269.0 009.1 0000.2 100 100 5.1e-021
05200 269.0 008.2 0000.0 100 100 3.7e-021
05260 ///// ///// 0000.0 000 000 1.5e-021
05320 ///// ///// 0000.0 000 000 3.2e-021
05380 ///// ///// 0000.0 000 000 2.9e-021
05440 ///// ///// -000.6 000 000 5.8e-021
05500 ///// ///// 0000.0 000 000 4.0e-021
05560 ///// ///// -001.0 000 000 4.5e-021
05620 ///// ///// 0000.0 000 000 4.5e-021
05680 ///// ///// 0000.0 000 000 4.0e-021
05740 ///// ///// 0000.0 000 000 1.7e-021
05800 ///// ///// 0000.0 000 000 1.1e-021
05860 ///// ///// -001.6 000 000 6.0e-021
05920 ///// ///// 0000.0 000 000 2.1e-021
05980 ///// ///// 0000.0 000 000 2.0e-021
NNNN
