WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629142000
ROBS
00100 103.0 004.6 0000.0 100 100 9.7e-021
00160 102.0 005.1 -000.5 100 100 2.5e-020
00220 114.0 003.4 0000.0 100 100 1.8e-020
00280 116.0 003.4 0000.1 100 100 1.4e-020
00340 111.0 004.2 -000.0 100 100 8.6e-021
00400 109.0 005.4 -000.0 100 100 1.1e-020
00460 131.0 005.6 -000.2 100 100 2.3e-020
00520 149.0 007.4 -000.3 100 100 8.1e-020
00580 159.0 008.8 -000.3 100 100 2.2e-020
00640 176.0 010.5 -000.5 100 100 4.8e-021
00700 176.0 011.4 -000.4 100 100 5.7e-021
00760 174.0 012.6 -001.2 100 100 4.0e-021
00820 176.0 013.3 -000.1 100 100 1.0e-020
00880 178.0 014.4 -000.3 100 100 1.1e-020
00940 177.0 013.0 -000.2 100 100 6.1e-020
01000 179.0 013.2 -000.3 100 100 1.3e-019
01060 178.0 012.9 -000.3 100 100 4.4e-020
01120 181.0 011.6 -000.1 100 100 2.9e-020
01180 182.0 010.4 -000.1 100 100 4.2e-020
01240 187.0 009.6 -000.3 100 100 3.8e-020
01300 192.0 009.5 -000.3 100 100 3.6e-020
01360 196.0 008.9 -000.3 100 100 1.3e-020
01420 198.0 008.0 -000.2 100 100 2.1e-020
01480 199.0 006.8 -000.3 100 100 2.1e-020
01540 199.0 006.3 -000.5 100 100 2.5e-020
01600 199.0 006.1 -000.6 100 100 2.3e-020
01660 204.0 006.0 -000.7 100 100 1.9e-020
01720 210.0 006.9 -000.5 100 100 1.8e-020
01780 211.0 007.9 -000.4 100 100 1.6e-020
01840 220.0 009.2 -000.4 100 100 1.7e-020
01900 221.0 009.5 -000.3 100 100 1.5e-020
01960 222.0 009.6 -000.2 100 100 1.2e-020
02020 222.0 009.7 -000.2 100 100 1.0e-020
02080 222.0 009.5 -000.1 100 100 9.2e-021
02140 224.0 010.0 0000.0 100 100 8.6e-021
02200 224.0 009.8 -000.1 100 100 6.3e-021
02260 225.0 010.6 0000.0 100 100 8.3e-021
02320 219.0 011.0 -000.1 100 100 1.0e-020
02380 219.0 008.3 -000.2 100 100 9.8e-021
02440 234.0 009.9 0000.3 100 100 3.2e-021
02500 225.0 009.8 0000.2 100 100 4.1e-021
02560 229.0 008.7 0000.2 100 100 5.3e-021
02620 226.0 008.6 0000.1 100 100 1.2e-020
02680 229.0 009.6 0000.4 100 100 5.3e-021
02740 237.0 009.6 -000.1 100 100 3.6e-021
02800 238.0 009.2 -000.6 100 100 3.3e-021
02860 234.0 009.5 -001.0 100 100 3.8e-021
02920 247.0 008.5 0000.2 100 100 5.3e-021
02980 247.0 008.6 0000.2 100 100 4.8e-021
03040 250.0 008.6 0000.0 100 100 4.7e-021
03100 246.0 009.6 0000.2 100 100 4.9e-021
03160 243.0 007.5 0000.3 100 100 6.8e-021
03220 244.0 008.6 0000.2 100 100 6.3e-021
03280 242.0 008.9 0000.0 100 100 2.0e-021
03340 246.0 009.4 0000.3 100 100 4.7e-021
03400 247.0 008.8 -000.0 100 100 9.0e-021
03460 248.0 008.4 -000.1 100 100 1.7e-020
03520 243.0 009.3 0000.0 100 100 8.5e-021
03580 238.0 010.5 0000.0 100 100 7.8e-021
03640 230.0 010.7 0000.0 100 100 6.0e-021
03700 234.0 010.0 0000.0 100 100 1.9e-021
03760 227.0 008.6 0000.0 100 100 1.8e-021
03820 223.0 008.1 0000.0 100 100 1.7e-021
03880 221.0 008.0 -000.1 100 100 2.3e-021
03940 221.0 008.2 -000.1 100 100 3.6e-021
04000 215.0 009.2 0000.0 100 100 4.2e-021
04060 219.0 009.8 0000.0 100 100 5.5e-021
04120 217.0 009.9 0000.5 100 100 5.3e-021
04180 218.0 009.5 -000.6 100 100 3.0e-021
04240 ///// ///// 0000.0 000 000 1.0e-021
04300 ///// ///// 0000.0 000 000 1.5e-021
04360 ///// ///// -000.1 000 000 3.3e-021
04420 ///// ///// 0000.0 000 000 1.5e-021
04480 ///// ///// 0000.0 000 000 2.5e-021
04540 ///// ///// 0000.0 000 000 1.8e-021
04600 ///// ///// 0000.0 000 000 7.9e-022
04660 ///// ///// 0000.0 000 000 2.8e-021
04720 ///// ///// 0000.0 000 000 3.5e-021
04780 ///// ///// 0000.0 000 000 1.6e-021
04840 ///// ///// 0000.0 000 000 1.2e-021
04900 ///// ///// 0000.0 000 000 1.5e-021
04960 ///// ///// 0000.0 000 000 3.2e-021
05020 ///// ///// 0000.0 000 000 1.9e-021
05080 ///// ///// 0000.0 000 000 1.2e-021
05140 ///// ///// 0000.0 000 000 3.5e-021
05200 ///// ///// 0000.0 000 000 3.0e-021
05260 ///// ///// 0000.0 000 000 1.4e-021
05320 ///// ///// -001.2 000 000 1.3e-021
05380 ///// ///// 0000.0 000 000 4.4e-021
05440 ///// ///// -000.7 000 000 1.9e-021
05500 ///// ///// 0000.0 000 000 3.4e-021
05560 ///// ///// 0000.8 000 000 1.3e-021
05620 ///// ///// 0000.0 000 000 3.3e-021
05680 ///// ///// 0000.0 000 000 4.4e-021
05740 ///// ///// -000.0 000 000 5.4e-021
05800 ///// ///// 0000.4 000 000 1.6e-021
05860 ///// ///// 0000.0 000 000 4.6e-021
05920 ///// ///// 0000.0 000 000 2.1e-021
05980 ///// ///// 0000.0 000 000 3.6e-021
NNNN
