WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629192500
ROBS
00100 124.0 005.8 0000.3 100 100 4.1e-021
00160 123.0 006.4 0000.4 100 100 8.9e-021
00220 131.0 006.7 0000.3 100 100 6.6e-021
00280 122.0 004.8 0000.1 100 100 1.3e-020
00340 141.0 003.9 0000.1 100 100 2.0e-020
00400 149.0 003.9 -000.2 100 100 3.1e-020
00460 148.0 006.0 -000.2 100 100 8.9e-020
00520 157.0 006.9 -000.3 100 100 1.7e-019
00580 180.0 007.6 -000.4 100 100 6.6e-020
00640 181.0 007.8 -000.5 100 100 8.2e-020
00700 179.0 008.3 -000.5 100 100 6.0e-020
00760 182.0 007.6 -000.1 100 100 3.0e-020
00820 205.0 007.4 0000.0 100 100 1.5e-020
00880 196.0 005.5 0000.1 100 100 2.0e-020
00940 199.0 003.9 -000.0 100 100 2.1e-020
01000 199.0 003.9 -000.1 100 100 9.7e-021
01060 205.0 004.4 -000.0 100 100 2.3e-021
01120 198.0 004.6 -000.7 100 100 2.3e-021
01180 207.0 004.8 -000.1 100 100 1.4e-021
01240 214.0 004.6 -000.3 100 100 1.9e-021
01300 203.0 006.1 -000.4 100 100 2.3e-021
01360 201.0 006.5 -000.4 100 100 1.9e-021
01420 213.0 006.2 0000.0 100 100 1.9e-021
01480 207.0 007.2 0000.4 100 100 2.3e-021
01540 211.0 007.7 0000.7 100 100 2.2e-021
01600 219.0 008.7 -000.1 100 100 4.4e-021
01660 218.0 009.4 -000.3 100 100 4.7e-021
01720 222.0 010.2 -000.2 100 100 4.0e-021
01780 221.0 009.7 -000.3 100 100 3.4e-021
01840 224.0 009.5 -000.2 100 100 3.3e-021
01900 224.0 009.8 -000.4 100 100 3.4e-021
01960 222.0 009.9 -000.0 100 100 2.2e-021
02020 216.0 010.0 -000.3 100 100 1.4e-021
02080 225.0 009.8 -000.2 100 100 1.3e-021
02140 224.0 010.1 -000.2 100 100 1.1e-021
02200 223.0 010.4 -000.6 100 100 2.1e-021
02260 214.0 007.8 0000.0 100 100 2.3e-022
02320 212.0 007.8 -000.6 100 100 1.2e-021
02380 209.0 008.3 -000.1 100 100 1.3e-021
02440 210.0 008.3 -000.5 100 100 1.7e-021
02500 218.0 008.9 0000.0 100 100 1.7e-021
02560 209.0 009.0 0000.0 100 100 1.5e-021
02620 208.0 008.1 -000.5 100 100 2.1e-021
02680 222.0 007.6 -000.6 100 100 1.9e-021
02740 220.0 008.1 -000.1 100 100 1.8e-021
02800 224.0 008.5 0000.0 100 100 1.8e-021
02860 226.0 008.8 -000.7 100 100 1.5e-021
02920 232.0 008.4 0000.1 100 100 1.9e-021
02980 239.0 008.6 0000.0 100 100 1.3e-021
03040 229.0 005.7 -000.1 100 100 2.1e-021
03100 237.0 008.0 0000.0 100 100 9.0e-022
03160 244.0 007.6 0000.0 100 100 3.2e-021
03220 249.0 007.5 -000.1 100 100 1.7e-021
03280 244.0 007.8 0000.6 100 100 3.6e-021
03340 237.0 008.4 0000.5 100 100 5.0e-021
03400 221.0 007.5 0000.4 100 100 4.8e-021
03460 221.0 008.0 0000.3 100 100 5.5e-021
03520 222.0 009.6 -000.1 100 100 3.5e-021
03580 227.0 010.1 0000.3 100 100 4.6e-021
03640 235.0 010.2 0000.3 100 100 7.0e-021
03700 230.0 008.9 0000.5 100 100 6.5e-021
03760 228.0 009.1 0000.2 100 100 1.2e-020
03820 226.0 007.8 -000.1 100 100 1.1e-020
03880 218.0 007.0 0000.2 100 100 1.1e-020
03940 213.0 008.4 0000.0 100 100 4.1e-020
04000 212.0 008.8 0000.0 100 100 1.8e-020
04060 214.0 009.9 0000.2 100 100 8.9e-021
04120 208.0 010.5 0000.9 100 100 1.7e-020
04180 210.0 011.7 0000.3 100 100 1.1e-020
04240 210.0 010.4 0000.0 100 100 4.7e-021
04300 210.0 011.1 -001.1 100 100 5.1e-021
04360 ///// ///// 0000.0 000 000 2.6e-021
04420 ///// ///// -000.2 000 000 1.3e-021
04480 ///// ///// 0000.0 000 000 7.0e-022
04540 ///// ///// 0000.0 000 000 9.0e-022
04600 ///// ///// 0000.0 000 000 1.0e-021
04660 ///// ///// 0000.0 000 000 1.5e-021
04720 ///// ///// 0000.0 000 000 1.5e-021
04780 ///// ///// 0000.0 000 000 3.2e-021
04840 ///// ///// 0000.0 000 000 3.0e-021
04900 ///// ///// 0000.0 000 000 2.8e-021
04960 ///// ///// 0000.0 000 000 3.1e-021
05020 ///// ///// 0000.0 000 000 2.5e-021
05080 ///// ///// 0000.1 000 000 3.0e-021
05140 ///// ///// -000.3 000 000 3.1e-021
05200 ///// ///// 0000.0 000 000 3.2e-021
05260 ///// ///// 0000.0 000 000 3.1e-021
05320 ///// ///// 0000.5 000 000 1.4e-021
05380 ///// ///// 0000.0 000 000 4.4e-021
05440 ///// ///// 0001.3 000 000 3.1e-021
05500 ///// ///// 0000.0 000 000 2.4e-021
05560 ///// ///// 0000.0 000 000 3.5e-021
05620 ///// ///// 0000.0 000 000 4.4e-021
05680 ///// ///// -000.7 000 000 1.7e-021
05740 ///// ///// 0000.0 000 000 1.0e-021
05800 ///// ///// 0000.0 000 000 2.1e-021
05860 ///// ///// 0000.0 000 000 1.8e-021
05920 ///// ///// 0000.0 000 000 1.6e-021
05980 ///// ///// 0000.0 000 000 3.6e-021
NNNN
