WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629054000
ROBS
00100 064.0 002.5 0000.4 100 100 4.3e-021
00160 077.0 002.6 0000.4 100 100 9.1e-021
00220 083.0 002.3 0000.3 100 100 1.1e-020
00280 091.0 001.7 0000.1 100 100 1.4e-020
00340 087.0 001.8 0000.3 100 100 7.0e-021
00400 087.0 002.4 0000.1 100 100 3.4e-021
00460 088.0 002.6 -000.1 100 100 4.3e-021
00520 092.0 001.5 -000.2 100 100 4.4e-021
00580 168.0 005.1 -000.2 100 100 2.4e-020
00640 170.0 006.0 -000.2 100 100 9.3e-020
00700 181.0 005.0 -000.3 100 100 8.9e-020
00760 196.0 004.6 -000.4 100 100 8.3e-020
00820 213.0 005.4 -000.7 100 100 6.1e-020
00880 222.0 005.8 -000.7 100 100 5.6e-020
00940 227.0 006.7 -000.5 100 100 6.0e-020
01000 230.0 008.4 -000.3 100 100 2.7e-020
01060 235.0 007.3 -000.3 100 100 1.2e-020
01120 233.0 008.1 -000.2 100 100 4.2e-021
01180 232.0 009.0 -000.2 100 100 2.8e-021
01240 236.0 008.9 -000.2 100 100 2.6e-021
01300 237.0 009.2 -000.1 100 100 1.7e-021
01360 232.0 010.3 -000.3 100 100 1.6e-021
01420 230.0 010.6 -000.2 100 100 3.1e-021
01480 231.0 011.4 -000.2 100 100 1.1e-020
01540 233.0 011.9 -000.3 100 100 2.4e-020
01600 236.0 012.7 -000.2 100 100 9.0e-021
01660 239.0 012.2 0000.2 100 100 5.4e-021
01720 244.0 012.2 0000.0 100 100 2.2e-021
01780 249.0 013.6 -000.2 100 100 3.0e-021
01840 243.0 014.3 -000.2 100 100 2.3e-021
01900 244.0 014.3 -000.4 100 100 2.9e-021
01960 242.0 014.7 -000.3 100 100 3.3e-021
02020 246.0 014.4 -000.8 100 100 3.2e-021
02080 239.0 013.1 -000.1 100 100 4.7e-021
02140 237.0 014.4 -000.7 100 100 4.3e-021
02200 232.0 013.9 -001.4 100 100 3.3e-021
02260 240.0 014.1 -000.6 100 100 3.2e-021
02320 242.0 014.4 0000.2 100 100 4.5e-021
02380 244.0 013.4 0000.1 100 100 2.9e-021
02440 240.0 014.0 0000.3 100 100 2.6e-021
02500 240.0 014.1 0000.0 100 100 9.2e-022
02560 254.0 016.3 0000.0 100 100 1.6e-021
02620 250.0 013.1 0000.0 100 100 1.9e-021
02680 245.0 013.6 0000.0 100 100 9.2e-022
02740 226.0 007.4 0000.1 100 100 2.3e-021
02800 229.0 008.0 0000.0 100 100 1.9e-021
02860 224.0 007.7 -000.8 100 100 2.0e-021
02920 247.0 011.7 0000.0 100 100 1.2e-021
02980 244.0 012.7 0000.0 100 100 1.9e-021
03040 ///// ///// 0000.0 000 000 2.3e-021
03100 243.0 012.9 0000.0 100 100 3.0e-021
03160 165.0 005.1 0000.0 100 100 2.8e-021
03220 167.0 005.1 0000.0 100 100 1.8e-021
03280 167.0 004.4 0000.0 100 100 2.3e-021
03340 190.0 004.4 0000.0 100 100 2.7e-021
03400 213.0 005.0 0000.0 100 100 2.4e-021
03460 194.0 004.6 0000.0 100 100 2.7e-021
03520 ///// ///// 0000.0 000 000 2.0e-021
03580 191.0 004.1 0000.0 100 100 2.5e-021
03640 182.0 004.1 0000.4 100 100 2.5e-021
03700 152.0 004.5 0000.0 100 100 2.2e-021
03760 240.0 009.2 0000.0 100 100 8.6e-022
03820 240.0 009.3 0000.0 100 100 1.8e-021
03880 249.0 014.7 0000.0 100 100 2.1e-021
03940 253.0 019.8 0000.0 100 100 2.4e-021
04000 255.0 022.7 0000.0 100 100 2.8e-021
04060 251.0 011.7 0000.0 100 100 3.6e-021
04120 256.0 021.6 0000.0 100 100 1.0e-021
04180 251.0 016.2 0000.0 100 100 3.9e-022
04240 ///// ///// 0001.1 000 000 3.5e-021
04300 ///// ///// 0000.0 000 000 2.5e-021
04360 ///// ///// 0000.1 000 000 3.4e-021
04420 ///// ///// 0000.0 000 000 3.8e-022
04480 ///// ///// 0000.0 000 000 8.9e-022
04540 ///// ///// 0001.2 000 000 3.1e-021
04600 ///// ///// -000.1 000 000 3.9e-021
04660 ///// ///// -000.2 000 000 3.1e-021
04720 ///// ///// -000.1 000 000 3.3e-021
04780 ///// ///// 0000.0 000 000 3.7e-021
04840 ///// ///// 0000.0 000 000 3.2e-021
04900 ///// ///// -002.8 000 000 4.8e-021
04960 ///// ///// 0000.0 000 000 2.7e-021
05020 ///// ///// 0000.0 000 000 2.7e-021
05080 ///// ///// 0000.0 000 000 3.8e-021
05140 ///// ///// 0000.0 000 000 2.4e-021
05200 ///// ///// 0000.0 000 000 1.2e-021
05260 ///// ///// -000.3 000 000 3.4e-021
05320 ///// ///// 0000.0 000 000 5.5e-021
05380 ///// ///// 0000.0 000 000 7.8e-022
05440 ///// ///// 0000.0 000 000 3.5e-021
05500 ///// ///// -000.4 000 000 2.6e-021
05560 ///// ///// 0000.0 000 000 1.9e-021
05620 ///// ///// 0000.0 000 000 6.0e-021
05680 ///// ///// 0000.0 000 000 6.7e-021
05740 ///// ///// 0000.0 000 000 2.6e-021
05800 ///// ///// 0000.0 000 000 2.1e-021
05860 ///// ///// -000.5 000 000 5.9e-021
05920 ///// ///// 0000.8 000 000 2.4e-021
05980 ///// ///// 0000.0 000 000 4.5e-021
NNNN
