WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629074500
ROBS
00100 088.0 004.2 0001.8 100 100 1.4e-021
00160 099.0 004.7 -000.1 100 100 4.2e-021
00220 089.0 005.1 0000.2 100 100 1.1e-021
00280 110.0 005.6 0000.2 100 100 2.5e-021
00340 109.0 006.4 0000.1 100 100 3.0e-021
00400 095.0 006.6 0000.1 100 100 2.9e-021
00460 106.0 006.0 0000.1 100 100 2.9e-021
00520 110.0 005.6 0000.0 100 100 6.4e-021
00580 120.0 005.2 -000.0 100 100 1.1e-020
00640 144.0 007.6 -000.2 100 100 1.1e-020
00700 148.0 008.2 -000.1 100 100 4.4e-020
00760 144.0 007.3 -000.2 100 100 4.9e-020
00820 155.0 005.4 -000.3 100 100 2.1e-019
00880 163.0 004.6 -000.4 100 100 1.9e-019
00940 165.0 004.1 -000.6 100 100 8.5e-020
01000 168.0 004.8 0000.0 100 100 3.2e-020
01060 170.0 002.4 -000.1 100 100 1.8e-020
01120 199.0 002.7 0000.2 100 100 2.2e-020
01180 221.0 003.6 0000.3 100 100 2.2e-020
01240 222.0 004.8 0000.1 100 100 1.2e-020
01300 227.0 005.7 -000.0 100 100 4.8e-021
01360 226.0 006.6 -000.1 100 100 5.5e-021
01420 223.0 007.4 0000.2 100 100 3.1e-021
01480 224.0 007.4 0000.2 100 100 5.2e-021
01540 225.0 007.7 0000.3 100 100 4.8e-021
01600 226.0 008.5 0000.3 100 100 8.0e-021
01660 228.0 008.6 0000.1 100 100 1.7e-020
01720 231.0 009.6 -000.1 100 100 2.5e-020
01780 236.0 010.7 -000.2 100 100 3.0e-020
01840 239.0 012.0 0000.3 100 100 1.6e-020
01900 241.0 012.0 0000.1 100 100 3.5e-021
01960 243.0 012.3 -000.0 100 100 3.4e-021
02020 244.0 012.1 0000.0 100 100 3.6e-021
02080 241.0 012.4 -000.0 100 100 3.4e-021
02140 239.0 012.9 -000.2 100 100 4.4e-021
02200 234.0 013.9 0000.2 100 100 3.9e-021
02260 236.0 012.9 0000.1 100 100 5.5e-021
02320 242.0 012.5 -000.1 100 100 3.9e-021
02380 242.0 011.9 -000.1 100 100 9.1e-021
02440 245.0 011.6 -000.1 100 100 8.8e-021
02500 249.0 011.6 -000.2 100 100 1.1e-020
02560 249.0 010.8 -000.5 100 100 1.1e-020
02620 251.0 010.6 0000.0 100 100 5.2e-021
02680 252.0 011.5 -000.3 100 100 5.0e-021
02740 251.0 010.1 -000.5 100 100 5.3e-021
02800 245.0 010.5 0000.4 100 100 4.9e-021
02860 245.0 010.6 0000.1 100 100 5.5e-021
02920 241.0 011.1 0000.0 100 100 1.2e-021
02980 247.0 010.8 0000.0 100 100 3.8e-021
03040 247.0 011.4 0000.0 100 100 2.4e-021
03100 249.0 012.5 0000.0 100 100 2.0e-021
03160 249.0 012.6 0000.0 100 100 2.5e-021
03220 254.0 017.5 0000.0 100 100 2.3e-021
03280 245.0 013.8 0000.0 100 100 1.4e-021
03340 ///// ///// 0001.0 000 000 4.1e-022
03400 ///// ///// 0000.0 000 000 2.2e-021
03460 ///// ///// -000.2 000 000 1.9e-021
03520 ///// ///// 0000.0 000 000 1.5e-021
03580 ///// ///// 0000.0 000 000 1.8e-021
03640 ///// ///// 0000.1 000 000 3.2e-021
03700 ///// ///// 0000.1 000 000 1.2e-021
03760 ///// ///// 0000.0 000 000 1.1e-021
03820 ///// ///// 0000.0 000 000 1.2e-021
03880 ///// ///// 0000.0 000 000 9.3e-022
03940 ///// ///// 0000.0 000 000 2.0e-021
04000 ///// ///// 0000.0 000 000 1.6e-021
04060 ///// ///// 0000.0 000 000 1.8e-021
04120 ///// ///// 0000.0 000 000 2.7e-021
04180 ///// ///// 0000.1 000 000 1.1e-021
04240 ///// ///// 0000.0 000 000 7.7e-022
04300 ///// ///// 0000.0 000 000 1.2e-021
04360 ///// ///// 0000.0 000 000 8.9e-022
04420 ///// ///// 0000.0 000 000 2.7e-021
04480 ///// ///// -000.2 000 000 2.8e-021
04540 ///// ///// 0000.1 000 000 4.4e-021
04600 ///// ///// 0000.0 000 000 1.3e-021
04660 ///// ///// 0000.0 000 000 3.1e-021
04720 ///// ///// 0000.0 000 000 1.2e-021
04780 ///// ///// 0000.0 000 000 2.3e-021
04840 ///// ///// 0000.0 000 000 2.7e-021
04900 ///// ///// 0000.0 000 000 1.4e-021
04960 ///// ///// 0000.0 000 000 1.5e-021
05020 ///// ///// 0000.0 000 000 3.9e-021
05080 ///// ///// 0000.0 000 000 2.4e-021
05140 ///// ///// 0000.0 000 000 1.9e-021
05200 ///// ///// 0000.0 000 000 1.6e-021
05260 ///// ///// 0000.0 000 000 1.2e-021
05320 ///// ///// 0000.0 000 000 6.0e-022
05380 ///// ///// 0000.0 000 000 1.9e-021
05440 ///// ///// 0000.0 000 000 5.8e-022
05500 ///// ///// 0000.0 000 000 1.4e-021
05560 ///// ///// 0000.0 000 000 8.3e-022
05620 ///// ///// 0000.0 000 000 3.6e-021
05680 ///// ///// 0000.0 000 000 1.8e-021
05740 ///// ///// 0000.0 000 000 1.6e-021
05800 ///// ///// 0000.0 000 000 3.9e-021
05860 ///// ///// 0000.2 000 000 5.1e-021
05920 ///// ///// 0000.9 000 000 1.9e-021
05980 ///// ///// 0000.0 000 000 2.6e-021
NNNN
