WNDROBS 01.20
57793 0114.3600 027.7900 00130.0 LC 20130629180000
ROBS
00100 105.0 004.8 -000.2 100 100 4.0e-021
00160 091.0 005.1 -000.3 100 100 9.8e-021
00220 126.0 004.0 -000.3 100 100 7.2e-021
00280 101.0 004.0 -000.1 100 100 1.0e-020
00340 119.0 003.3 -000.0 100 100 6.4e-021
00400 125.0 003.9 -000.1 100 100 1.2e-020
00460 140.0 004.6 -000.2 100 100 1.5e-020
00520 154.0 007.2 -000.0 100 100 1.2e-020
00580 163.0 007.7 -000.1 100 100 3.6e-020
00640 170.0 008.2 -000.0 100 100 6.0e-020
00700 171.0 009.0 0000.0 100 100 8.4e-020
00760 178.0 008.7 -000.1 100 100 1.4e-019
00820 185.0 008.4 -000.4 100 100 1.4e-019
00880 187.0 007.6 0000.1 100 100 8.5e-020
00940 193.0 006.7 0000.1 100 100 3.6e-020
01000 191.0 005.6 -000.3 100 100 1.3e-020
01060 199.0 004.1 -000.1 100 100 7.7e-021
01120 203.0 003.5 0000.1 100 100 5.5e-021
01180 218.0 003.9 -000.2 100 100 4.7e-021
01240 224.0 004.1 -000.2 100 100 1.9e-021
01300 229.0 005.0 -000.2 100 100 1.2e-021
01360 222.0 005.7 -000.1 100 100 1.3e-021
01420 219.0 006.0 -000.1 100 100 2.3e-021
01480 219.0 007.3 -000.1 100 100 3.9e-021
01540 219.0 007.8 -000.1 100 100 7.8e-021
01600 221.0 008.7 -000.2 100 100 7.6e-021
01660 223.0 009.1 -000.3 100 100 3.5e-021
01720 227.0 010.2 -000.2 100 100 3.2e-021
01780 229.0 010.9 -000.2 100 100 3.2e-021
01840 233.0 012.3 -000.2 100 100 2.7e-021
01900 230.0 011.8 -000.4 100 100 1.6e-021
01960 228.0 011.9 0000.0 100 100 1.7e-021
02020 229.0 013.5 0000.0 100 100 1.8e-021
02080 212.0 010.2 -001.3 100 100 1.7e-021
02140 226.0 012.8 0000.2 100 100 2.2e-021
02200 226.0 012.8 -000.3 100 100 2.2e-021
02260 229.0 011.8 -000.1 100 100 2.7e-021
02320 227.0 011.9 -000.1 100 100 3.0e-021
02380 230.0 011.2 -000.1 100 100 2.7e-021
02440 226.0 012.1 0000.1 100 100 7.6e-021
02500 232.0 011.3 0000.2 100 100 7.9e-021
02560 235.0 010.5 0000.1 100 100 8.0e-021
02620 237.0 011.5 0000.2 100 100 4.7e-021
02680 233.0 010.1 0000.1 100 100 3.6e-021
02740 229.0 009.6 0000.5 100 100 3.2e-021
02800 224.0 010.9 0000.0 100 100 1.8e-021
02860 237.0 009.4 0000.1 100 100 2.7e-021
02920 237.0 009.5 0000.5 100 100 2.7e-021
02980 237.0 009.6 0000.4 100 100 3.7e-021
03040 234.0 009.9 0000.4 100 100 3.6e-021
03100 218.0 008.0 0000.0 100 100 1.1e-021
03160 231.0 007.8 0000.0 100 100 1.9e-021
03220 227.0 007.3 0000.0 100 100 2.5e-021
03280 227.0 007.4 0000.0 100 100 2.5e-021
03340 227.0 007.3 0000.1 100 100 3.1e-021
03400 227.0 006.7 -001.1 100 100 2.6e-021
03460 211.0 007.5 0000.0 100 100 2.6e-021
03520 217.0 007.7 0000.3 100 100 3.6e-021
03580 214.0 006.5 0000.2 100 100 3.8e-021
03640 235.0 007.8 -000.0 100 100 5.4e-021
03700 224.0 007.3 -000.4 100 100 5.0e-021
03760 224.0 005.9 -000.0 100 100 5.1e-021
03820 218.0 007.4 0000.0 100 100 4.5e-021
03880 214.0 007.1 -000.6 100 100 3.4e-021
03940 212.0 007.0 0000.0 100 100 3.2e-021
04000 214.0 007.3 0000.0 100 100 4.5e-021
04060 205.0 009.1 0000.0 100 100 1.1e-021
04120 207.0 008.8 -002.5 100 100 3.1e-021
04180 204.0 009.0 0000.0 100 100 2.3e-021
04240 201.0 008.7 0000.0 100 100 5.5e-021
04300 201.0 009.5 0000.0 100 100 9.2e-021
04360 ///// ///// 0000.0 000 000 1.5e-021
04420 ///// ///// 0000.0 000 000 2.5e-021
04480 ///// ///// -004.6 000 000 3.7e-021
04540 ///// ///// 0000.0 000 000 2.8e-021
04600 ///// ///// 0000.0 000 000 3.2e-021
04660 ///// ///// 0000.0 000 000 3.5e-021
04720 ///// ///// 0000.0 000 000 1.4e-021
04780 ///// ///// -000.2 000 000 3.7e-021
04840 ///// ///// -000.2 000 000 3.9e-021
04900 ///// ///// -000.1 000 000 3.0e-021
04960 ///// ///// -000.2 000 000 5.2e-021
05020 ///// ///// -000.1 000 000 5.6e-021
05080 ///// ///// -000.3 000 000 4.9e-021
05140 ///// ///// 0003.7 000 000 5.6e-021
05200 ///// ///// 0003.5 000 000 4.6e-021
05260 ///// ///// 0000.0 000 000 1.7e-021
05320 ///// ///// -000.2 000 000 4.4e-021
05380 ///// ///// -000.6 000 000 5.7e-021
05440 ///// ///// 0000.0 000 000 7.6e-022
05500 ///// ///// 0000.0 000 000 3.7e-021
05560 ///// ///// 0001.1 000 000 4.2e-021
05620 ///// ///// 0000.0 000 000 5.5e-021
05680 ///// ///// 0000.0 000 000 4.6e-021
05740 ///// ///// 0000.0 000 000 5.4e-021
05800 ///// ///// 0000.0 000 000 4.2e-021
05860 ///// ///// 0000.0 000 000 4.1e-021
05920 ///// ///// 0000.0 000 000 5.6e-021
05980 ///// ///// 0000.0 000 000 3.3e-021
NNNN
