,0,1
484,9.1,4420.0
485,9.3,4240.0
486,10.9,4300.0
487,9.7,4300.0
488,10.2,4300.0
489,11.6,4000.0
490,10.8,4240.0
491,9.4,4240.0
492,10.2,4240.0
493,10.4,4060.0
494,9.4,4060.0
495,10.7,4240.0
496,9.3,4000.0
497,10.4,4000.0
498,9.6,4000.0
499,9.3,4000.0
500,8.9,4300.0
501,9.7,4060.0
502,9.8,4240.0
503,9.6,4300.0
504,9.5,4300.0
505,10.4,4300.0
506,9.8,4300.0
507,9.8,4300.0
508,,
509,10.9,4120.0
510,10.4,4120.0
511,11.9,4120.0
512,11.8,4420.0
513,11.6,4060.0
514,11.1,4060.0
515,11.3,4120.0
516,11.7,4180.0
517,11.9,4180.0
518,11.9,4180.0
519,11.1,4180.0
520,11.4,4180.0
521,11.7,4180.0
522,11.9,4360.0
523,11.8,4420.0
524,10.6,4360.0
525,10.8,4360.0
526,9.7,4000.0
527,11.3,4300.0
528,11.3,4480.0
529,11.5,4300.0
530,11.9,4720.0
531,12.2,4420.0
532,11.3,4060.0
533,12.1,4240.0
534,12.7,4300.0
535,11.7,4240.0
536,12.4,4180.0
537,12.5,4420.0
538,13.2,4720.0
539,12.7,4540.0
540,10.7,4240.0
541,12.0,4000.0
542,12.9,4480.0
543,11.9,4180.0
544,12.9,4660.0
545,14.8,4840.0
546,13.9,4960.0
547,11.9,4480.0
548,11.5,4780.0
549,12.4,4720.0
550,11.8,4300.0
551,11.2,5020.0
552,10.5,4660.0
553,9.8,4420.0
554,9.8,4840.0
555,12.0,4480.0
556,11.3,4720.0
557,12.3,4720.0
558,11.1,5140.0
559,11.8,5140.0
560,9.5,4480.0
561,9.0,4660.0
562,10.0,4900.0
563,10.5,4660.0
564,11.5,5200.0
565,11.7,4720.0
566,9.2,4960.0
567,13.0,4780.0
568,11.1,4480.0
569,10.1,4600.0
570,10.3,4660.0
571,15.0,5560.0
572,10.2,4780.0
573,9.8,4720.0
574,10.1,4000.0
575,10.0,5200.0
576,10.8,4720.0
