,0,1
428,10.5,880.0
429,10.8,760.0
430,11.1,1780.0
431,10.2,1780.0
432,10.1,880.0
433,11.4,1720.0
434,14.0,940.0
435,12.6,820.0
436,12.9,880.0
437,12.4,880.0
438,12.1,880.0
439,11.1,820.0
440,12.1,880.0
441,12.6,940.0
442,12.8,940.0
443,14.2,1060.0
444,14.6,880.0
445,12.7,880.0
446,13.0,880.0
447,13.9,880.0
448,16.9,820.0
449,13.6,880.0
450,13.4,880.0
451,13.1,880.0
452,14.6,820.0
453,14.7,880.0
454,12.8,880.0
455,13.2,880.0
456,14.5,880.0
457,14.0,880.0
458,14.0,940.0
459,13.8,820.0
460,14.4,880.0
461,13.8,1060.0
462,14.5,1060.0
463,14.5,1060.0
464,14.6,880.0
465,13.5,940.0
466,16.2,880.0
467,13.9,880.0
468,14.4,880.0
469,14.0,880.0
470,14.7,940.0
471,13.5,1060.0
472,13.4,940.0
473,13.6,940.0
474,11.2,940.0
475,13.6,1000.0
476,12.2,940.0
477,13.8,1060.0
478,13.8,1000.0
479,12.2,940.0
480,11.7,1000.0
481,14.1,1000.0
482,13.6,1060.0
483,14.5,1000.0
484,13.1,940.0
485,12.7,940.0
486,13.0,880.0
487,11.7,820.0
488,12.4,1960.0
489,11.2,820.0
490,11.1,1960.0
491,11.1,1900.0
492,12.2,880.0
493,12.0,1960.0
494,11.6,1960.0
495,12.7,1960.0
496,13.1,1900.0
497,12.1,1900.0
498,12.7,760.0
499,13.0,1840.0
500,10.9,760.0
501,13.1,1960.0
502,12.6,1960.0
503,12.2,1780.0
504,12.3,1840.0
505,11.1,1840.0
506,9.9,1780.0
507,10.8,1900.0
508,,
509,10.5,1900.0
510,11.9,1960.0
511,11.5,1960.0
512,12.8,1960.0
513,12.4,1960.0
514,12.5,1960.0
515,11.6,1960.0
516,10.0,1960.0
517,10.8,1960.0
518,10.7,1960.0
519,11.2,1900.0
520,11.0,1720.0
521,10.2,1720.0
522,10.3,1780.0
523,9.9,1780.0
524,11.3,1840.0
525,12.9,1780.0
526,11.9,1780.0
527,13.2,1780.0
528,13.4,1780.0
529,11.3,1840.0
530,12.6,1780.0
531,12.2,1720.0
532,13.0,1780.0
533,12.0,1780.0
534,13.5,1720.0
535,14.0,1780.0
536,13.0,1780.0
537,13.9,1900.0
538,13.1,1720.0
539,12.6,1840.0
540,11.5,1720.0
541,12.4,1720.0
542,12.6,1840.0
543,11.5,1900.0
544,13.5,1780.0
545,12.9,1720.0
546,12.9,1900.0
547,12.1,1900.0
548,12.5,1900.0
549,12.4,1840.0
550,12.9,1960.0
551,12.0,1840.0
552,12.7,1780.0
553,11.6,1780.0
554,12.9,1840.0
555,12.3,1960.0
556,12.0,1900.0
557,11.5,1600.0
558,12.5,1660.0
559,15.6,1720.0
560,12.5,1780.0
561,13.9,1720.0
562,12.4,1720.0
563,13.5,1660.0
564,12.7,1780.0
565,12.8,1900.0
566,13.1,1780.0
567,12.2,1600.0
568,13.9,1660.0
569,13.2,1600.0
570,13.9,1720.0
571,13.9,1720.0
572,12.9,1660.0
573,12.9,1840.0
574,12.9,1600.0
575,12.9,1660.0
576,14.9,1660.0
