,0,1
356,0.1999999999999993,1660.0
357,0.09999999999999964,1480.0
358,0.5,1540.0
359,0.1999999999999993,1540.0
360,0.5999999999999996,1660.0
361,0.0,1660.0
362,0.1999999999999993,1720.0
363,0.3000000000000007,1720.0
364,0.5,2320.0
365,0.09999999999999964,2380.0
366,0.1999999999999993,1780.0
367,0.3000000000000007,2200.0
368,0.0,1900.0
369,0.0,2920.0
370,0.5999999999999996,2080.0
371,0.0,1900.0
372,0.40000000000000036,2620.0
373,0.09999999999999964,1720.0
374,0.0,1840.0
375,0.09999999999999964,1900.0
376,0.0,2380.0
377,0.0,3160.0
378,0.09999999999999964,1720.0
379,0.09999999999999964,3040.0
380,0.09999999999999964,2320.0
381,0.0,1840.0
382,0.0,2740.0
383,0.09999999999999964,2260.0
384,0.1999999999999993,2200.0
385,0.1999999999999993,3160.0
386,0.0,3520.0
387,0.0,3520.0
388,0.09999999999999964,3040.0
389,0.0,2980.0
390,0.0,3460.0
391,0.0,4300.0
392,0.0,1900.0
393,0.09999999999999964,2620.0
394,0.0,2560.0
395,0.1999999999999993,3340.0
396,0.0,3520.0
397,0.0,2980.0
398,0.0,4000.0
399,0.0,1900.0
400,0.09999999999999964,3940.0
401,0.1999999999999993,3160.0
402,0.0,520.0
403,0.09999999999999964,4240.0
404,0.0,340.0
405,0.09999999999999964,5260.0
406,0.1999999999999993,5680.0
407,0.09999999999999964,2260.0
408,0.0,2500.0
409,0.0,1780.0
410,0.09999999999999964,3220.0
411,0.0,4120.0
412,0.0,3700.0
413,0.0,3040.0
414,0.0,3100.0
415,0.09999999999999964,3340.0
416,0.0,3280.0
417,0.0,4540.0
418,0.0,3100.0
419,0.1999999999999993,3340.0
420,0.0,4300.0
421,0.0,4300.0
422,0.0,4720.0
423,0.3000000000000007,4300.0
424,0.09999999999999964,4600.0
425,0.0,4420.0
426,,
427,0.0,4600.0
428,0.09999999999999964,4240.0
429,0.0,2380.0
430,1.1999999999999993,4660.0
431,0.5,5140.0
432,0.0,2800.0
433,0.0,2920.0
434,0.0,2860.0
435,0.0,2260.0
436,0.0,3040.0
437,0.1999999999999993,2500.0
438,0.09999999999999964,880.0
439,0.0,3160.0
440,0.09999999999999964,880.0
441,0.1999999999999993,2500.0
442,0.0,1060.0
443,0.0,1000.0
444,0.40000000000000036,760.0
445,0.0,940.0
446,0.09999999999999964,1000.0
447,0.09999999999999964,2560.0
448,0.09999999999999964,1060.0
449,0.09999999999999964,760.0
450,1.4000000000000004,880.0
451,0.0,2860.0
452,0.0,760.0
453,0.1999999999999993,2980.0
454,0.1999999999999993,940.0
455,0.1999999999999993,820.0
456,0.8000000000000007,1060.0
457,0.0,1060.0
458,0.0,700.0
459,0.1999999999999993,3940.0
460,0.5999999999999996,760.0
